summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.5878117853833259,0.006607098369100783,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.5913014462867091,0.009343848121515485,simple annulus-matched diagnostic color summary
