summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.636721360815381,0.011469722433205598,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.6348659845292655,0.016220637021694292,simple annulus-matched diagnostic color summary
