region,role,status,kmin,kmax,mbar_spec_raw,mbar_spec,P0,Pr,P_fluc,Pr_over_P0,Imean,n_detected_sources,m_lim,lf_gamma,lf_fit_method
circular_inner_lit,science,ok,0.01,0.25,27.893877382474184,27.933882736913137,0.6959767902315789,0.025177468173595976,0.6707993220579829,0.03617572960330824,0.6313086819643257,9320,27.125,0.20799962713096234,local_histogram
circular_inner_lit,science,ok,0.03,0.25,28.128091727284637,28.177952775422487,0.5609304533919484,0.025177468173595976,0.5357529852183524,0.044885186784471655,0.6313086819643257,9320,27.125,0.20799962713096234,local_histogram
circular_inner_lit,science,ok,0.04,0.25,28.15933847555029,28.21069030776217,0.5450173397080413,0.025177468173595976,0.5198398715344453,0.046195719547350945,0.6313086819643257,9320,27.125,0.20799962713096234,local_histogram
circular_outer_lit,science,ok,0.01,0.25,27.58793547026745,27.602720729879586,0.3064475715211088,0.004144833815953285,0.30230273770515553,0.013525425557721476,0.20971351733687202,19727,27.875,0.16999148155423546,local_histogram
circular_outer_lit,science,ok,0.03,0.25,27.918896514434355,27.939000131139373,0.22592888885707993,0.004144833815953285,0.22178405504112664,0.01834574514539068,0.20971351733687202,19727,27.875,0.16999148155423546,local_histogram
circular_outer_lit,science,ok,0.04,0.25,27.979425218931446,28.00069278189781,0.21367823347486556,0.004144833815953285,0.20953339965891227,0.019397548119662975,0.20971351733687202,19727,27.875,0.16999148155423546,local_histogram
