galaxy,ring,requested_kmin,production_P0,recreated_P0,relative_P0_difference,production_P1,recreated_P1,relative_P1_difference,production_mbar,recreated_mbar,delta_mbar,passed
NGC 4472,inner,0.01,1.2304161071424389,1.230416138029011,2.510254204501905e-08,-0.1071732038585537,-0.10717320091837387,2.74339080663423e-08,27.774812571791703,27.774812544532278,-2.725942493952971e-08,True
NGC 4472,inner,0.03,1.223303054447347,1.2233030851755804,2.5119068602919015e-08,-0.1059081061400505,-0.1059081032137459,2.7630600792201632e-08,27.78110852638808,27.78110849911068,-2.727740167074444e-08,True
NGC 4472,inner,0.04,1.217907606964752,1.2179076376448799,2.519084985053155e-08,-0.1049215255445322,-0.10492152261016496,2.7967256671866322e-08,27.78590865088641,27.785908623531043,-2.7355365972425716e-08,True
NGC 4472,outer,0.01,1.2818398576780945,1.2818398532085526,-3.486817612419202e-09,-0.1117519123659278,-0.1117519137915576,-1.2757095413104383e-08,27.730401028071768,27.730401031858335,3.786567503993865e-09,True
NGC 4472,outer,0.03,1.271758989040645,1.2717589846086481,-3.4849346741694376e-09,-0.1099643537379045,-0.10996435514628157,-1.280757827307606e-08,27.73897523637475,27.738975240159274,3.784524693628555e-09,True
NGC 4472,outer,0.04,1.26294328075327,1.2629432763595485,-3.478953902735782e-09,-0.1084186192000418,-0.10841862058474197,-1.2771793112515399e-08,27.74652927476084,27.74652927853888,3.778040991164744e-09,True
