label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_err_img,snr,flux_jy,mag_ab,mask_brighter_than_mcut
28938,6900.787723785166,1969.6496163682864,391,6905.279038730799,6905.279038730799,6905.279038730799,4.2520390616033845,1623.992380758354,0.0001582432272503818,18.401752793658755,True
11207,8306.532934131737,2017.5289421157686,501,5995.684828936994,5995.684828936994,5995.684828936994,9.066560707163946,661.2964962777453,0.00013739872227980666,18.555108887078376,True
28843,8911.230483271374,1907.5043370508056,807,5733.042907818599,5733.042907818599,5733.042907818599,10.41710036663632,550.3492052529582,0.00013137994954435264,18.603742895422997,True
28942,6905.917992656059,1993.282741738066,817,5330.198674153628,5330.198674153628,5330.198674153628,6.1950985568640435,860.3896492087081,0.0001221482629960175,18.682847383562592,True
23956,8827.647435897436,3895.8878205128203,312,4121.94048655101,4121.94048655101,4121.94048655101,9.278946269750092,444.2250624932248,9.445949417356622e-05,18.96195158323455,True
29844,8231.338797814207,3956.0409836065573,732,3897.1366214080363,3897.1366214080363,3897.1366214080363,15.527590673397624,250.98141130708308,8.930782848141161e-05,19.0228417982058,True
28940,6939.9763313609465,1975.4319526627219,338,3664.5760370599564,3664.5760370599564,3664.5760370599564,4.003165835183308,915.4194924558134,8.39784077306987e-05,19.089646532390937,True
28939,6926.454545454545,1961.3772727272726,220,3544.4167681860963,3544.4167681860963,3544.4167681860963,3.20486631780921,1105.9483974386167,8.122480568449656e-05,19.12584391966202,True
29067,8830.0,2029.5698113207548,530,3303.5620964051172,3303.5620964051172,3303.5620964051172,9.377705622818647,352.2782895174917,7.57053154007326e-05,19.202249689444688,True
27531,9269.652312599681,1391.0095693779904,627,3023.519443014719,3023.519443014719,3023.519443014719,6.551726153190147,461.48440461641025,6.928778281563349e-05,19.2984239615646,True
28941,6923.61935483871,1989.6774193548385,155,2919.188640741148,2919.188640741148,2919.188640741148,2.709633116564648,1077.3372317069186,6.689691015707894e-05,19.336550474825305,True
19154,7916.789473684211,3091.9013157894738,152,2761.890973259575,2761.890973259575,2761.890973259575,10.559636648284217,261.55170535231827,6.329223460354524e-05,19.39668954928101,True
19387,8246.36,3154.5,50,2523.471232369271,2523.471232369271,2523.471232369271,36.54899175712199,69.04352517132142,5.782854384940361e-05,19.494709980539792,True
29651,9189.031630170317,3216.9878345498782,411,2522.0873278354147,2522.0873278354147,2522.0873278354147,12.123919764214715,208.02573564365503,5.7796829921781634e-05,19.49530557576521,True
16946,9007.979166666666,2658.0,240,2401.549356149324,2401.549356149324,2401.549356149324,9.234593422526599,260.06010727998637,5.503454942032227e-05,19.548477084372298,True
29765,7926.805555555556,3834.706597222222,576,2188.729371182201,2188.729371182201,2188.729371182201,13.153767614572994,166.3956240763535,5.015750954174768e-05,19.64922571117494,True
19884,8237.619047619048,3284.095238095238,42,2133.8083473972206,2133.8083473972206,2133.8083473972206,33.497704260265714,63.70013690545056,4.8898924624485936e-05,19.676817351507285,True
28818,6965.104651162791,1884.9883720930234,258,1926.316511665987,1926.316511665987,1926.316511665987,3.427055935250138,562.0907706384976,4.414398604343021e-05,19.787886757710936,True
29986,8899.206477732794,4146.283400809716,247,1773.1009557600487,1773.1009557600487,1773.1009557600487,6.911193880951498,256.5549435166384,4.0632857254060774e-05,19.877872216106734,True
18359,8133.55223880597,2886.582089552239,67,1638.0777246063335,1638.0777246063335,1638.0777246063335,13.351872043843239,122.68524737410716,3.7538628660010305e-05,19.963869614346525,True
12136,9805.779166666667,2081.8291666666664,240,1556.1378381716256,1556.1378381716256,1556.1378381716256,4.527533775389836,343.7054068222024,3.566087223666652e-05,20.019585718612205,True
29040,8469.668711656443,1994.2392638036808,163,1550.288381983062,1550.288381983062,1550.288381983062,5.167542083406247,300.00498437376456,3.552682452914503e-05,20.023674644869146,True
19414,8138.139534883721,3163.720930232558,43,1523.1754210848292,1523.1754210848292,1523.1754210848292,30.688420924446284,49.633554780639535,3.4905496642352154e-05,20.042831068245526,True
19132,8966.060975609756,3085.292682926829,82,1459.4137669016493,1459.4137669016493,1459.4137669016493,9.770772799398419,149.36523413905445,3.3444317466800156e-05,20.089259779089907,True
19014,8675.90625,3047.03125,32,1437.3967333696555,1437.3967333696555,1437.3967333696555,29.23919340569759,49.15993110430886,3.2939769218852315e-05,20.105764242008007,True
29672,6490.837078651685,3422.303370786517,178,1412.9893305894127,1412.9893305894127,1412.9893305894127,2.9813641004057043,473.9405463415666,3.23804426278366e-05,20.12435866955315,True
16155,8592.333333333334,2559.4666666666667,120,1335.1936646335841,1335.1936646335841,1335.1936646335841,8.752879620038712,152.54335973921218,3.059765627294866e-05,20.18584521839102,True
18299,8268.2,2871.075,40,1306.9774135229825,1306.9774135229825,1306.9774135229825,19.252275268807022,67.88690662659376,2.9951045091618405e-05,20.209035669859205,True
14583,7619.95205479452,2409.8972602739723,146,1186.5812585089723,1186.5812585089723,1186.5812585089723,4.389463024941998,270.3249239751032,2.719201449906816e-05,20.313962164418605,True
28943,6937.374074074074,1985.8111111111111,270,1159.9105226472464,1159.9105226472464,1159.9105226472464,3.5859932480733026,323.4558579468737,2.6580820759868056e-05,20.338644654996227,True
28936,6897.8089171974525,1963.184713375796,157,1107.6546576947467,1107.6546576947467,1107.6546576947467,2.687579691530322,412.1383493056693,2.5383311337516956e-05,20.388694930741597,True
19676,7499.196078431372,3232.245098039216,102,1053.137624954034,1053.137624954034,1053.137624954034,4.802314789372214,219.2979159310184,2.4133984387423023e-05,20.44349305366607,True
20058,7500.127388535032,3339.0955414012737,157,1006.3129644126218,1006.3129644126218,1006.3129644126218,5.961541153051971,168.8008081429492,2.3060937902637004e-05,20.492873206423194,True
13180,7563.612716763006,2155.06936416185,173,995.5317359131227,995.5317359131227,995.5317359131227,4.038975001996776,246.48128186506597,2.281387237756329e-05,20.504568102923248,True
19236,8081.027777777777,3109.083333333333,36,994.0691163311456,994.0691163311456,994.0691163311456,17.344970287977524,57.31166440914423,2.278035459477805e-05,20.506164422424433,True
28937,6934.905660377359,1967.440251572327,159,981.8632117891717,981.8632117891717,981.8632117891717,2.7355987641835697,358.9207688804486,2.2500640811251198e-05,20.51957840513412,True
4947,8475.313901345291,1621.6322869955156,223,979.6430662581266,979.6430662581266,979.6430662581266,4.585343260439075,213.64661501139608,2.2449763360560565e-05,20.52203620344884,True
