summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.5879222738221787,0.006597453985110691,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.5913051097603171,0.009330208902875963,simple annulus-matched diagnostic color summary
