summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.6683873907331171,0.0006398172122918933,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.6683140531667925,0.0009048381790629412,simple annulus-matched diagnostic color summary
