kmin,kmax,mbar_inner_raw,mbar_inner,sigma_inner,Pr_inner,Pr_over_P0_inner,mbar_outer_raw,mbar_outer,sigma_outer,Pr_outer,Pr_over_P0_outer,mbar_weighted_raw,mbar_weighted,sigma_weighted_formal,annulus_scatter,sigma_adopted,notes
0.01,0.25,27.906946077716952,27.909290739464847,0.029037899464845453,0.0023496992966127042,0.0021571832043071866,27.838961553726016,27.838980799033585,0.030094168979942125,2.0554918226577445e-05,1.772542623013612e-05,27.874167828287927,27.87539130721902,0.020896338872660705,0.035154970215630854,0.035154970215630854,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)"
0.03,0.25,27.913759074615843,27.916118511427136,0.023634856090927348,0.0023496992966127042,0.00217076209253236,27.845518323616712,27.845537685499533,0.02761030564041108,2.0554918226577445e-05,1.783279409666804e-05,27.884900947427877,27.886270796948196,0.0179549163845881,0.03529041296380164,0.03529041296380164,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)"
0.04,0.25,27.918115563820127,27.920484497187438,0.023444147882758188,0.0023496992966127042,0.002179489718792762,27.851782279118165,27.85180175302967,0.026304751023613702,2.0554918226577445e-05,1.7935974478905196e-05,27.888750571044135,27.890079425358273,0.01750182725724118,0.03434137207888455,0.03434137207888455,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)"
