summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.6414836215140046,0.0017003719116752136,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.6414926245023369,0.0024046890185693537,simple annulus-matched diagnostic color summary
