region,role,shape,rin_px,rout_px,rin_arcsec,rout_arcsec,resid_source,model_source,region_pixels,usable_pixels,usable_fraction,kmin,kmax,status,measurement_ok,failure_reason,region_name,region_role,n_use,Imean,P0,P1,P_fluc,Pr,Pr_over_P0,frac,corr,n_fit,fit_resid_std,P0_fit_sigma,mbar_fit_sigma_raw,mbar_fit_sigma,Pf_spec_raw,Pf_spec,Pf_spec_sigma_formal_raw,Pf_spec_sigma_formal,mbar_spec_raw,mbar_spec,n_detected_sources,n_detected_sources_total,m_lim,m_lim_method,lf_model,lf_gamma,lf_phi_mlim,lf_fit_method,lf_fit_rmse,lf_n_fit_bins,lf_n_fit_sources,lf_fit_mbright,lf_fit_mfaint,pr_note
circular_inner_lit,science,circle,262.58882388217324,525.1776477643465,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649858,649344,0.99920905797882,0.01,0.25,ok,True,,circular_inner_lit,science,649344,14.195436739638945,16.64505205292528,-1.235755032315639,16.218953005623703,0.4260990473015774,0.02559914177178513,1.0801954190812755,0.9984571812010857,27,0.12702266922699101,0.18513587932769265,0.01207618494352992,0.012393446538510284,1.1725635750569123,1.1425469538625992,0.013041929087727493,0.013041929087727491,27.826662243786018,27.85481809927396,7357,7357,25.625,region_turnover_hist,combined_power_law,0.24480223087781514,0.0068639066951916555,local_histogram,0.0465821829503235,6,4487,24.125,25.625,local combined contaminant LF
circular_inner_lit,science,circle,262.58882388217324,525.1776477643465,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649858,649344,0.99920905797882,0.03,0.25,ok,True,,circular_inner_lit,science,649344,14.195436739638945,16.61039707987567,-1.2290077620557402,16.184298032574095,0.4260990473015774,0.025652550342569337,1.0799022595853476,0.9976342914143849,25,0.13126095445039773,0.23866203711085718,0.01560010956670793,0.016010828141637512,1.1701222994776384,1.1401056782833252,0.016812588544347064,0.016812588544347064,27.82892510136371,27.85714046953343,7357,7357,25.625,region_turnover_hist,combined_power_law,0.24480223087781514,0.0068639066951916555,local_histogram,0.0465821829503235,6,4487,24.125,25.625,local combined contaminant LF
circular_inner_lit,science,circle,262.58882388217324,525.1776477643465,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649858,649344,0.99920905797882,0.04,0.25,ok,True,,circular_inner_lit,science,649344,14.195436739638945,16.47497410172928,-1.202956993741064,16.048875054427704,0.4260990473015774,0.025863412268238545,1.0787687039135023,0.9972496799200069,24,0.1297787995011868,0.26104615121235675,0.017203502459786645,0.017660256966473584,1.1605824043246953,1.1305657831303824,0.018389441339512907,0.01838944133951291,27.83781328645637,27.866263648009053,7357,7357,25.625,region_turnover_hist,combined_power_law,0.24480223087781514,0.0068639066951916555,local_histogram,0.0465821829503235,6,4487,24.125,25.625,local combined contaminant LF
circular_outer_lit,science,circle,525.1776477643465,1050.355295528693,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599451,2232123,0.8586901618841825,0.01,0.25,ok,True,,circular_outer_lit,science,2232123,4.7379920045643305,8.274625817851794,-0.7041197383601775,8.110727445758942,0.16389837209285155,0.01980734545594254,1.0930082785703887,0.9950505851870655,27,0.11362613297733029,0.16526735743377205,0.021685180379205728,0.02212338592691528,1.746441490378299,1.7118491204597848,0.03488130779337792,0.03488130779337792,27.39411814022742,27.415839531143106,11525,11525,26.125,region_turnover_hist,combined_power_law,0.3833968233576495,0.004976343067998546,local_histogram,0.030889183550947164,6,9208,24.625,26.125,local combined contaminant LF
circular_outer_lit,science,circle,525.1776477643465,1050.355295528693,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599451,2232123,0.8586901618841825,0.03,0.25,ok,True,,circular_outer_lit,science,2232123,4.7379920045643305,7.763220993584847,-0.5984704576704061,7.5993226214919956,0.16389837209285155,0.021112161076992306,1.0835298388507009,0.9978984372424525,25,0.05801351575756361,0.10511134035825932,0.014700494530803953,0.015017547410720452,1.638504452119415,1.603912082200901,0.022184786351897728,0.02218478635189773,27.463384176779947,27.486551843920132,11525,11525,26.125,region_turnover_hist,combined_power_law,0.3833968233576495,0.004976343067998546,local_histogram,0.030889183550947164,6,9208,24.625,26.125,local combined contaminant LF
circular_outer_lit,science,circle,525.1776477643465,1050.355295528693,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599451,2232123,0.8586901618841825,0.04,0.25,ok,True,,circular_outer_lit,science,2232123,4.7379920045643305,7.742915182266282,-0.5945572402620274,7.579016810173431,0.16389837209285155,0.021167527763733034,1.0831739603816377,0.9974314819114266,24,0.059047648788431426,0.1185461214245726,0.01662291435906439,0.016982389561604173,1.6342187101217494,1.5996263402032354,0.025020329563741676,0.025020329563741676,27.466227795185983,27.48945687417954,11525,11525,26.125,region_turnover_hist,combined_power_law,0.3833968233576495,0.004976343067998546,local_histogram,0.030889183550947164,6,9208,24.625,26.125,local combined contaminant LF
