galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 4486,y96_x4192,96,4192,512,0.00504302978515625,261.3766784667969,0.2437309947791063,0.849919934461915,0.07978824898600578,1.968160018028215,1.755992698115324,-0.002432741379590835,7.632605233408063e-05,False,False,relaxed_0.55
NGC 4486,y96_x5216,96,5216,512,0.02544403076171875,1040.3363647460938,0.9701026831154527,0.010960711207494618,0.03244505822658539,1.6900827167088137,0.9822818615572924,-0.00031719825428317094,4.519757464176921e-05,False,False,relaxed_0.55
NGC 4486,y96_x5728,96,5728,512,0.13115310668945312,1046.606689453125,0.9759496947440242,0.003542136662358193,0.029414569959044456,1.7936236968044146,0.8256044095024929,-0.0002352736959884533,1.146701092782119e-05,False,False,relaxed_0.55
NGC 4486,y96_x6240,96,6240,512,0.19511795043945312,1050.78369140625,0.9798447049920741,0.003614345807746729,0.027785494923591614,1.6333187035236143,0.7123041392763498,-0.00016303471229896726,1.0932020427131904e-05,False,False,relaxed_0.55
NGC 4486,y96_x6752,96,6752,512,0.2626686096191406,1054.4237060546875,0.9832389802444734,0.0034645564706635534,0.02673293836414814,1.5344000879291793,0.6420970883667918,-0.00013093539761938487,-1.5703494474879996e-05,False,False,relaxed_0.55
NGC 4486,y96_x7264,96,7264,512,0.2554435729980469,1056.6961669921875,0.9853580260910365,0.0035934375676879276,0.026033341884613037,1.4025547284126605,0.5735828714166525,-6.342480974432809e-05,1.3164366395563576e-05,False,False,relaxed_0.55
NGC 4486,y96_x7776,96,7776,512,0.3644142150878906,1059.0894775390625,0.9875897629232088,0.0034885968413546193,0.027472294867038727,1.2335596089796488,0.5538859621994726,-7.668849509016371e-05,-2.3169716601023713e-05,False,False,relaxed_0.55
NGC 4486,y96_x8288,96,8288,512,0.42766571044921875,1060.5830688476562,0.9889825210589857,0.0032849697636354834,0.02739165537059307,1.1678049041604048,0.5218545287898303,-4.434393326677827e-05,-3.0001789292332986e-05,False,False,relaxed_0.55
NGC 4486,y96_x8800,96,8800,512,0.45320892333984375,1060.9542846679688,0.9893286758945786,0.0030438944984014257,0.026498342864215374,1.112011530640386,0.5003924799518009,-3.776525219969623e-05,-3.194392316381235e-05,False,False,relaxed_0.55
NGC 4486,y608_x4192,608,4192,512,0.0060882568359375,302.7471466064453,0.2823085198027657,1.0839932031194046,0.06795765459537506,1.9899255119835586,1.819044465006314,-0.00243978667384391,-0.00014365788560917364,False,False,relaxed_0.55
NGC 4486,y608_x5216,608,5216,512,0.0233001708984375,1050.9046020507812,0.9799574528923223,0.00707880791874978,0.031471677124500275,1.7606854208673217,1.0552396927682162,-0.0004226320807097227,-5.71757598354823e-05,False,False,relaxed_0.55
NGC 4486,y608_x5728,608,5728,512,0.11689376831054688,1056.7677001953125,0.9854247300481749,0.0031283962037375124,0.029085664078593254,1.7971511838396301,0.8204005199934129,-0.00015494184774609914,-6.8914154226012e-05,False,False,relaxed_0.55
NGC 4486,y608_x6240,608,6240,512,0.15859222412109375,1060.9038696289062,0.9892816644026023,0.0031622592280027284,0.027498449198901653,1.656584290816844,0.7534107493425393,-0.0002490509267116124,-5.255193492519331e-05,False,False,relaxed_0.55
NGC 4486,y608_x6752,608,6752,512,0.2850341796875,1063.9872436523438,0.9921568781455298,0.0033496427077286746,0.026663945987820625,1.5155098080444085,0.6411867328360337,-9.144334569436126e-05,-5.504814219091984e-05,False,False,relaxed_0.55
NGC 4486,y608_x7264,608,7264,512,0.24277877807617188,1066.24462890625,0.9942618660762115,0.003509657393130552,0.02599738910794258,1.407701632973391,0.5980734535068126,-3.156044700410485e-05,-9.645821665117723e-05,False,False,relaxed_0.55
NGC 4486,y608_x7776,608,7776,512,0.4026069641113281,1068.524658203125,0.996387969338035,0.0035856703613266414,0.027389677241444588,1.2321135720754819,0.5395158265575853,-6.406011820326622e-05,1.6769562670225915e-05,False,False,relaxed_0.55
NGC 4486,y608_x8288,608,8288,512,0.4793815612792969,1069.9193115234375,0.9976884688436743,0.0033292948059500415,0.027258144691586494,1.1600852479766142,0.5029181807551072,-3.766196322091969e-05,2.9675855917827404e-05,False,False,relaxed_0.55
NGC 4486,y608_x8800,608,8800,512,0.51953125,1070.018798828125,0.9977812397055646,0.0033117331238476247,0.026541772298514843,1.1110326099725223,0.4851505867932548,-3.2999225825333016e-05,1.9094211461030856e-05,False,False,relaxed_0.55
NGC 4486,y1120_x4192,1120,4192,512,0.004779815673828125,266.07080078125,0.24810821430774838,0.9211838225207509,0.07714838534593582,2.0072830699403337,1.801701225110174,-0.003135556775692574,-0.000190843291853363,False,False,relaxed_0.55
NGC 4486,y1120_x5216,1120,5216,512,0.02907562255859375,1060.2505493164062,0.9886724501046432,0.007058912823535811,0.030711920000612736,1.7404560284310444,1.0330817965017842,-0.0004478961197995281,-6.986876260723364e-05,False,False,relaxed_0.55
NGC 4486,y1120_x5728,1120,5728,512,0.1305389404296875,1065.4771118164062,0.9935461644883158,0.0031133553920062104,0.028501047752797604,1.7889960345293219,0.8104578834404864,-0.00022755163214399832,-7.92865106450295e-05,False,False,relaxed_0.55
NGC 4486,y1120_x6240,1120,6240,512,0.21808624267578125,1069.4628295898438,0.997262804257124,0.002951902351313448,0.02729686349630356,1.6331929918746104,0.6908810425535721,-0.00013561854655347723,-3.451287414498537e-05,False,False,relaxed_0.55
NGC 4486,y1120_x6752,1120,6752,512,0.2892951965332031,1072.714111328125,1.000294590172481,0.002956874321919543,0.026676040142774582,1.4853004485933727,0.6418250406280606,-0.0001437449273916276,-2.4179431198638268e-05,False,False,relaxed_0.55
NGC 4486,y1120_x7264,1120,7264,512,0.29677581787109375,1075.1243896484375,1.0025421492743498,0.003195762538378156,0.025661030784249306,1.3634149093413057,0.5685839478585221,-7.526527490025804e-05,-4.0038409465794243e-05,False,False,relaxed_0.55
NGC 4486,y1120_x7776,1120,7776,512,0.4191780090332031,1077.869140625,1.0051016005990152,0.0030068730985070733,0.027084412053227425,1.2279682081188656,0.537301818905461,-6.664863258795185e-05,1.195524645405427e-06,False,False,relaxed_0.55
NGC 4486,y1120_x8288,1120,8288,512,0.4878730773925781,1078.7994384765625,1.005969093529648,0.003064506657689794,0.026953106746077538,1.1354602721952782,0.5151639730360046,-4.83636700988471e-05,-4.145922061469244e-05,False,False,relaxed_0.55
NGC 4486,y1120_x8800,1120,8800,512,0.5208358764648438,1079.12451171875,1.0062722208980084,0.002952558588120524,0.02639863919466734,1.0706156882116595,0.4889393850012622,-3.456108691977105e-05,-2.4722083995166577e-05,False,False,relaxed_0.55
NGC 4486,y1632_x3168,1632,3168,512,0.004974365234375,539.2793579101562,0.5028723110963285,0.9908438226588647,0.07455926761031151,2.308660496204314,3.290898584770924,-0.001890403822690592,-0.0010187199243891936,False,False,relaxed_0.55
NGC 4486,y1632_x3680,1632,3680,512,0.007671356201171875,1065.8353271484375,0.9938801965057599,0.01420295577199469,0.05111277475953102,2.166889748804448,2.31714641245798,-0.001372724500788407,-0.0005534999365141657,False,False,relaxed_0.55
NGC 4486,y1632_x4192,1632,4192,512,0.00487518310546875,267.95436096191406,0.24986461430201137,0.7212835803580697,0.07781701162457466,2.018724115476958,1.7078306603172204,-0.002068049425798219,-0.0004974719260001355,False,False,relaxed_0.55
