galaxy,ring,variant,noise_model,P0_129,mbar_129,aicc_129,physical_129,P0_257,mbar_257,aicc_257,physical_257,delta_P0_257_minus_129,delta_mbar_257_minus_129
NGC 4486,inner,raw,constant,1.2257996009369445,27.7807937433793,1033.536930171555,True,1.2434361328107866,27.765254148538247,1033.4807964043437,True,0.017636531873842065,-0.015539594841051496
NGC 4486,inner,raw,N(k),-1.4310379840921745,,1160.6089060586942,False,-1.4516032112429555,,1160.7328947089695,False,-0.020565227150781018,
NGC 4486,inner,winsor_3.0,constant,0.9308774528170751,28.080271996183757,865.3058248430449,True,0.9442703266524715,28.064723449996745,865.281106610963,True,0.013392873835396335,-0.015548546187012846
NGC 4486,inner,winsor_3.0,N(k),-1.0169884204226391,,1018.753566710086,False,-1.0316072198677746,,1018.8246059928648,False,-0.014618799445135444,
NGC 4486,inner,winsor_3.5,constant,1.0787361103945465,27.91983870343312,902.6933465431023,True,1.0942564310241087,27.90429536062707,902.6589726472375,True,0.015520320629562212,-0.015543342806047633
NGC 4486,inner,winsor_3.5,N(k),-1.2192904092500376,,1065.9030958989708,False,-1.2368157771778576,,1065.9914311297873,False,-0.01752536792782,
NGC 4486,inner,winsor_4.0,constant,1.1523628021019865,27.848002247896147,923.1283838003155,True,1.1689425243639286,27.83246096669199,923.0854916471934,True,0.016579722261942154,-0.015541281204157542
NGC 4486,inner,winsor_4.0,N(k),-1.3185278680929258,,1099.8976694519502,False,-1.3374784742671624,,1099.9993263694769,False,-0.018950606174236606,
NGC 4486,outer,raw,constant,1.1512302672770451,27.846873106968403,3206.3912816748143,True,1.1677932510715139,27.831363427465657,3206.415624608374,True,0.016562983794468744,-0.0155096795027454
NGC 4486,outer,raw,N(k),-1.2854520419855506,,2992.2374216136504,False,-1.3039313513311348,,2992.3967595973613,False,-0.01847930934558417,
NGC 4486,outer,winsor_3.0,constant,1.1266230798791574,27.870332418688168,3308.173680251667,True,1.1428320320194871,27.85482273607633,3308.199071099389,True,0.01620895214032969,-0.015509682611838826
NGC 4486,outer,winsor_3.0,N(k),-1.2691825274264197,,3048.613454819075,False,-1.2874279937265627,,3048.7748674799454,False,-0.01824546630014301,
NGC 4486,outer,winsor_3.5,constant,1.1467493844025425,27.851107391605478,3234.9632701431397,True,1.1632478976213405,27.835597714018157,3234.9881228413424,True,0.016498513218798028,-0.015509677587321136
NGC 4486,outer,winsor_3.5,N(k),-1.2843090750099677,,3009.0280459907267,False,-1.3027719724432838,,3009.1879544942776,False,-0.018462897433316083,
NGC 4486,outer,winsor_4.0,constant,1.1504192395885637,27.847638278108747,3213.7396834750307,True,1.166970554219608,27.832128599103697,3213.7641945666937,True,0.01655131463104431,-0.015509679005049293
NGC 4486,outer,winsor_4.0,N(k),-1.285675966007221,,2995.769675429207,False,-1.304158498212781,,2995.9291609843885,False,-0.018482532205559954,
