galaxy,ring,variant,k,Pk,Pk_error,Pk_count,E_median,E_mad,N_windowed
NGC 4486,inner,raw,0.004475359374598403,152.10989105699394,43.27541420387624,437,0.9199039718036256,0.006192142978377818,7.178324064871015
NGC 4486,inner,raw,0.013426078123795208,3.8062489472368743,0.1169442428653713,1296,0.8378186887595296,0.0038617376139502427,4.42404189248148
NGC 4486,inner,raw,0.022376796872992013,1.4749445021972687,0.035857867356379705,2144,0.7589218571755152,0.003664588969964789,3.5128159896270947
NGC 4486,inner,raw,0.031327515622188815,1.002528516376674,0.01843256255646985,3000,0.695665174537967,0.005445830916883776,2.8237475700934183
NGC 4486,inner,raw,0.04027823437138563,0.8391403216253881,0.013567444813213808,3888,0.6465606510009644,0.004258521788466234,2.4876866385216525
NGC 4486,inner,raw,0.049228953120582425,0.7599961975352992,0.010518184259358025,4760,0.6013772231390736,0.003743298825522263,2.0825984273456783
NGC 4486,inner,raw,0.05817967186977923,0.6754028706236668,0.009064081189484091,5556,0.5672045175712654,0.003966711549096389,1.981522832394373
NGC 4486,inner,raw,0.06713039061897604,0.61465727541626,0.00769053483036813,6500,0.5366578290015475,0.0007875646069106433,1.923475647930589
NGC 4486,inner,raw,0.07608110936817285,0.5689505399780773,0.006671466653851437,7304,0.5031242334862165,0.0010488526793100915,1.76093944247198
NGC 4486,inner,raw,0.08503182811736965,0.511457934828168,0.005582499513569043,8184,0.472629079675635,0.001056979556174994,1.6422780763932638
NGC 4486,inner,raw,0.09398254686656646,0.45837800663128786,0.004847059503112833,9016,0.44307088124991656,0.002744053841423587,1.4918308329173315
NGC 4486,inner,raw,0.10293326561576326,0.4189954946813736,0.004216916121571761,9952,0.41508962855114606,0.0015128049948045692,1.4118626957764981
NGC 4486,inner,raw,0.11188398436496007,0.3745582051774165,0.00362003716493489,10752,0.38823208848621865,0.0012517731723623766,1.3306502955830855
NGC 4486,inner,raw,0.12083470311415687,0.33455816716310777,0.0030952101951737827,11588,0.36325867989856814,0.0016055049683359975,1.234303202998189
NGC 4486,inner,raw,0.12978542186335368,0.30618641459451684,0.002738511382884523,12524,0.3412071457455077,0.001183509055252535,1.1446827101640848
NGC 4486,inner,raw,0.13873614061255046,0.2908132734505371,0.0025643207340207237,13344,0.31924895074110093,0.0007494911353245571,1.0489872084258343
NGC 4486,inner,raw,0.1476868593617473,0.2601145303821762,0.0021905646131056365,14208,0.30025608372771145,0.0017848577867426252,0.9510127915741657
NGC 4486,inner,raw,0.1566375781109441,0.23321359278452977,0.0019056808456396454,15040,0.2809294339438586,0.0011688792385021467,0.8894969914900729
NGC 4486,inner,raw,0.1655882968601409,0.20621325817511227,0.001637020269832773,16000,0.26222914380027496,0.0020047670442229887,0.8069113344607155
NGC 4486,inner,raw,0.1745390156093377,0.18487533497482486,0.0014447879345839516,16776,0.24384499182451716,0.0005821443511253992,0.7374860707975153
NGC 4486,inner,raw,0.1834897343585345,0.16983321119112751,0.0012765132664792898,17612,0.22735995346212032,0.0017493185340778463,0.6707324551414643
