galaxy,ring,winsor_effect_with_constant_noise,winsor_effect_with_Nk,Nk_effect_on_raw,Nk_effect_on_winsor_3p5,interaction
NGC 4486,inner,0.13923262593025498,,,,
NGC 4486,outer,0.00423298853600329,,,,
