galaxy,psf_size_pix,radius_pix,encircled_energy
NGC 4486,129,1,0.5774712859523353
NGC 4486,129,2,0.6673831522868479
NGC 4486,129,3,0.7615395730592089
NGC 4486,129,5,0.8268805094894305
NGC 4486,129,10,0.8928232553504603
NGC 4486,129,20,0.9514427429540417
NGC 4486,129,32,0.976787808124758
NGC 4486,129,48,0.9916876328367594
NGC 4486,129,64,0.9984127458229589
NGC 4486,257,1,0.5733616727349523
NGC 4486,257,2,0.6626336734880812
NGC 4486,257,3,0.7561200221654668
NGC 4486,257,5,0.8209959537737231
NGC 4486,257,10,0.8864694129821584
NGC 4486,257,20,0.9446717307843946
NGC 4486,257,32,0.969836425934945
NGC 4486,257,48,0.9846302149852255
NGC 4486,257,64,0.9913115836737278
NGC 4486,257,96,0.9963768746397117
NGC 4486,257,128,0.999248558687426
