galaxy,ring,production_P0,recreated_P0,relative_P0_difference,production_P1,recreated_P1,relative_P1_difference,production_Imean,recreated_Imean,relative_Imean_difference,production_mbar,recreated_mbar,delta_mbar,production_n_use,recreated_n_use,same_n_use,same_crop,passed
NGC 4486,inner,1.0780960682458385,1.0780960696166282,1.2714911346023428e-09,-0.0902762448625097,-0.09027624564935714,-8.715996655675665e-09,31.30758374360407,31.30758374360407,0.0,27.92048449718744,27.92048449580392,-1.3835226297942427e-09,640239,640239,True,True,True
NGC 4486,outer,1.1460162507898544,1.146016251965228,1.025616924721362e-09,-0.0929965290435375,-0.09299653345000446,-4.738313354841591e-08,12.275808497723968,12.275808497723968,0.0,27.85180175302967,27.8518017519161,-1.1135696809105866e-09,2070508,2070508,True,True,True
