galaxy,variant,sigma_limit,median,scale,lower,upper,changed_pixels,changed_fraction
NGC 4486,raw,,-0.11366783827543259,1.0535706281661987,-inf,inf,0,0.0
NGC 4486,winsor_3.0,3.0,-0.11973094195127487,0.8792852163314819,-2.7575865909457207,2.518124707043171,164645,0.02717132100033105
NGC 4486,winsor_3.5,3.5,-0.11751817911863327,0.9434409141540527,-3.419561378657818,3.1845250204205513,74275,0.012257583694005822
NGC 4486,winsor_4.0,4.0,-0.11612700670957565,0.9831540584564209,-4.048743240535259,3.816489227116108,35463,0.005852449552884934
