galaxy,ring,variant,noise_model,psf_id,n_fit,effective_kmin,kmax,P0,noise_coefficient,noise_coefficient_nonnegative,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,P0_sigma_formal,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,24,0.04,0.25,1.2257996009369445,-0.10375128588195963,False,True,0.0023496992966127,1.2234499016403317,27.7807937433793,0.025911167780734937,0.02919771444831607,0.0008525065290054051,-0.00015312764884350787,-0.00015312764884350792,3.007176129697894e-05,1028.9655016001263,46.7711591636421,1033.536930171555,18.81373253216239,,-0.9563686353452888
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,24,0.04,0.25,-1.4310379840921745,0.7141097060710244,True,False,0.0023496992966127,-1.4333876833887873,,,0.12004409932198461,0.014410585782026506,-0.004807244782746854,-0.004807244782746854,0.0016128045589117626,1156.0374774872655,52.54715806760298,1160.6089060586942,44.104325268499366,0.9969554852947123,-0.9971593092488659
NGC 4486,inner,raw,constant,stpsf_field_1280_1024,24,0.04,0.25,1.2252834750324908,-0.10316464218219491,False,True,0.0023496992966127,1.222933775735878,27.781251869873664,0.024993055359648218,0.028151268626949198,0.0007924939253066541,-0.00014202868441119259,-0.00014202868441119259,2.7844269157145783e-05,958.1592675573314,43.552693979878704,962.73069612876,18.795101331808013,,-0.9561151101374352
NGC 4486,inner,raw,N(k),stpsf_field_1280_1024,24,0.04,0.25,-1.4558078213195171,0.7214528982801335,True,False,0.0023496992966127,-1.45815752061613,,,0.12222025541251608,0.014937790833100664,-0.004973677766847751,-0.004973677766847753,0.0016651954326064315,1157.6495625477237,52.62043466126017,1162.2209911191524,44.855470979676625,0.9975836725742756,-0.9972449653779343
NGC 4486,inner,raw,constant,stpsf_field_768_1024,24,0.04,0.25,1.2251256233434498,-0.10404033111302934,False,True,0.0023496992966127,1.222775924046837,27.781392021661937,0.024766060420539093,0.027891989124992602,0.0007779630573487055,-0.00013999853292354954,-0.00013999853292354962,2.754099599285992e-05,941.0285617941915,42.774025536099614,945.5999903656201,18.795568386475235,,-0.9564321722981315
NGC 4486,inner,raw,N(k),stpsf_field_768_1024,24,0.04,0.25,-1.4239289459725428,0.712591123818463,True,False,0.0023496992966127,-1.4262786452691556,,,0.12203625522877315,0.014892847590262262,-0.004977043867912879,-0.00497704386791288,0.0016727743807920725,1199.638750495861,54.529034113448226,1204.2101790672896,44.02977021026558,0.9976596126929266,-0.9971578485206961
NGC 4486,inner,raw,constant,stpsf_field_1024_1280,24,0.04,0.25,1.230919218263416,-0.10159988073413646,False,True,0.0023496992966127,1.2285695189668033,27.77625987882954,0.024374341097634873,0.027580891551944764,0.0007607055788001381,-0.00013474044861248077,-0.00013474044861248071,2.6140683606426736e-05,911.834839896955,41.44703817713432,916.4062684683836,18.86256767417583,,-0.9555011586653149
NGC 4486,inner,raw,N(k),stpsf_field_1024_1280,24,0.04,0.25,-1.4992707566725554,0.7304841459145296,True,False,0.0023496992966127,-1.5016204559691682,,,0.13295331014727377,0.01767658267911717,-0.005821444273572572,-0.005821444273572575,0.0019272480019055327,1271.8664718830069,57.812112358318494,1276.4379004544355,46.451158775690466,0.997393102954854,-0.997384897909183
NGC 4486,inner,raw,constant,stpsf_field_1024_768,24,0.04,0.25,1.221126738212722,-0.10456189335192059,False,True,0.0023496992966127,1.2187770389161092,27.78494855990891,0.02615780189788092,0.02936305172650621,0.0008621888066934794,-0.00015603174776401133,-0.00015603174776401138,3.085266599044993e-05,1048.3846031062203,47.65384559573729,1052.956031677649,18.75310503064204,,-0.9566772230965587
NGC 4486,inner,raw,N(k),stpsf_field_1024_768,24,0.04,0.25,-1.403474851578434,0.7082467193159308,True,False,0.0023496992966127,-1.4058245508750469,,,0.11631420695171084,0.013528994738805419,-0.004545271424914085,-0.004545271424914087,0.0015360126799065653,1131.9958667720964,51.45435758054984,1136.567295343525,43.24727794867124,0.9974494853375173,-0.9970792038597943
NGC 4486,inner,winsor_3.0,constant,stpsf_O2024062601-NRCA3_FP1-1,24,0.04,0.25,0.9308774528170751,-0.07666960900749246,False,True,0.0023496992966127,0.9285277535204625,28.080271996183757,0.02398764601257561,0.020514370771363134,0.00042083940814495804,-7.597615985998901e-05,-7.597615985998901e-05,1.5033414609290015e-05,860.7343962716163,39.12429073961892,865.3058248430449,18.459671076858935,,-0.95519121743162
NGC 4486,inner,winsor_3.0,N(k),stpsf_O2024062601-NRCA3_FP1-1,24,0.04,0.25,-1.0169884204226391,0.5225477228137806,True,False,0.0023496992966127,-1.019338119719252,,,0.08634173298697057,0.007454894855193321,-0.0024819652241558337,-0.0024819652241558337,0.000831166570725497,1014.1821381386575,46.0991880972117,1018.753566710086,43.5830626291858,0.9969554852947123,-0.9970820479414229
NGC 4486,inner,winsor_3.0,constant,stpsf_field_1280_1024,24,0.04,0.25,0.9302786147122157,-0.07618981925644522,False,True,0.0023496992966127,0.9279289154156031,28.08097244908919,0.02317748920132786,0.019808736525863724,0.0003923860427510876,-7.068256527080214e-05,-7.068256527080208e-05,1.3962893153314399e-05,804.137402747985,36.55170012490841,808.7088313194135,18.438741696597788,,-0.9549218264072575
NGC 4486,inner,winsor_3.0,N(k),stpsf_field_1280_1024,24,0.04,0.25,-1.0359496463810047,0.5282255436334496,True,False,0.0023496992966127,-1.0382993456776175,,,0.08743003355093279,0.007644010766717233,-0.0025402425684094513,-0.0025402425684094513,0.0008489624175764027,1003.8153509460928,45.627970497549676,1008.3867795175214,44.343329310045924,0.9975836725742756,-0.9971725433753161
NGC 4486,inner,winsor_3.0,constant,stpsf_field_768_1024,24,0.04,0.25,0.9301059519661674,-0.07684495521952052,False,True,0.0023496992966127,0.9277562526695547,28.081174494348122,0.022923570675443664,0.01958807851709531,0.0003836928199918907,-6.939970047266829e-05,-6.939970047266826e-05,1.3756452626320168e-05,786.7832267020501,35.762873941002276,791.3546552734787,18.438105545256562,,-0.9552400692421765
NGC 4486,inner,winsor_3.0,N(k),stpsf_field_768_1024,24,0.04,0.25,-1.0138971181347884,0.5221350864084053,True,False,0.0023496992966127,-1.0162468174314012,,,0.08727438032390858,0.007616817460922241,-0.0025405060800233296,-0.002540506080023329,0.000852317966993105,1038.5643029958933,47.20746831799515,1043.135731567322,43.549542108124115,0.9976596126929266,-0.9970860564216611
NGC 4486,inner,winsor_3.0,constant,stpsf_field_1024_1280,24,0.04,0.25,0.9344102403040254,-0.07497685243438418,False,True,0.0023496992966127,0.9320605410074128,28.076148913286694,0.022646383000112645,0.019441002242020913,0.00037795256817426217,-6.729092693999178e-05,-6.729092693999179e-05,1.3155797919465998e-05,768.0671373892424,34.912142608601926,772.6385659606709,18.502983138328002,,-0.9542875623685546
NGC 4486,inner,winsor_3.0,N(k),stpsf_field_1024_1280,24,0.04,0.25,-1.0678375061121959,0.5349804211064444,True,False,0.0023496992966127,-1.0701872054088086,,,0.09473865247400186,0.008975412272589698,-0.0029503981437504117,-0.0029503981437504117,0.000975078567888831,1093.7403795275304,49.71547179670593,1098.311808098959,45.93368687402184,0.997393102954854,-0.9973179083785474
