galaxy,ring,psf_id,k,E,N
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.004475359374598403,0.9188121692764699,7.178324064871015
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.013426078123795208,0.8411007846842068,4.42404189248148
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.022376796872992013,0.7591140542208943,3.5128159896270947
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.031327515622188815,0.6862933014173567,2.8237475700934183
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.04027823437138563,0.6373240555131173,2.4876866385216525
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.049228953120582425,0.6013772231390736,2.0825984273456783
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.05817967186977923,0.5640888255157889,1.981522832394373
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.06713039061897604,0.5330418012834632,1.923475647930589
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.07608110936817285,0.5018381360156292,1.76093944247198
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.08503182811736965,0.4726534817089401,1.6422780763932638
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.09398254686656646,0.4412200422903701,1.4918308329173315
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.10293326561576326,0.41508962855114606,1.4118626957764981
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.11188398436496007,0.3889229489615305,1.3306502955830855
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.12083470311415687,0.36217578163313174,1.234303202998189
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.12978542186335368,0.3412071457455077,1.1446827101640848
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.13873614061255046,0.31924895074110093,1.0489872084258343
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.1476868593617473,0.30105454849330715,0.9510127915741657
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.1566375781109441,0.28118093775324515,0.8894969914900729
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.1655882968601409,0.26222914380027496,0.8069113344607155
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.1745390156093377,0.24375554965949012,0.7374860707975153
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.1834897343585345,0.22735995346212032,0.6707324551414643
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.1924404531077313,0.21290033466066322,0.63106480959228
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.20139117185692812,0.19718705216952023,0.5881885279303154
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.2103418906061249,0.18406998067006927,0.5280402536665183
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.21929260935532174,0.17236869656394643,0.4902153850251539
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.22824332810451853,0.16048979549994433,0.46225056533892483
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.23719404685371534,0.15004820961611867,0.4301273455364654
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.24614476560291212,0.14095055206321666,0.3800120369738224
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.25509548435210894,0.1334818537129405,0.35402235321644226
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.2640462031013058,0.12675109729051356,0.32807123534064797
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.27299692185050256,0.12016060102789587,0.31366026175523637
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.28194764059969935,0.11466042402385535,0.28971531648792187
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.2908983593488962,0.10932778194631057,0.26599262879838265
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.29984907809809297,0.10473635923211012,0.2532960947998994
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.30879979684728975,0.09949506673639553,0.2379459869295475
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.3177505155964866,0.09468107115443387,0.21994069834628888
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.32670123434568343,0.08982942782251907,0.20533249502245524
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.33565195309488016,0.08479758783129368,0.18886182494282466
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.344602671844077,0.07948658869703203,0.17738321808916374
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.35355339059327384,0.07404323439423202,0.16635772951488453
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.36250410934247057,0.06860395789845472,0.1571360853542405
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.3714548280916674,0.06332705824766503,0.14438693919378753
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.38040554684086425,0.05809357863331417,0.13622852462981538
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.389356265590061,0.05302984468199888,0.12630771967542825
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.3983069843392578,0.04826230277371434,0.11860661594081442
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.40725770308845466,0.043671524026097266,0.11332037369900282
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.41620842183765144,0.039519673841315085,0.10648658560733915
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.4251591405868482,0.03557331679109368,0.10153075125006361
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.43410985933604507,0.03200333375019998,0.09710668887469685
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.44306057808524185,0.028884827158714828,0.09353685841392977
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.45201129683443864,0.026058717368707053,0.09092709235865762
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.4609620155836355,0.023824069375376063,0.08452530817541054
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.4699127343328323,0.021668019904258467,0.08229647554261611
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.47886345308202904,0.01995887092234051,0.07971521253093965
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.4878141718312259,0.018393054168508862,0.08406723253281265
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.49676489058042267,0.017048252695912116,0.07787695957371255
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5057156093296195,0.012719184583061661,0.06994964411801073
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5146663280788163,0.009674798285238383,0.06634325969706183
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5236170468280131,0.0075541253104711905,0.06572890572418001
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5325677655772099,0.00585749185692652,0.06261820013047995
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5415184843264067,0.004579301426036892,0.06091069265071715
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5504692030756035,0.0035179422799139558,0.06014553244600022
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5594199218248004,0.00268587409809524,0.0599057089363987
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5683706405739971,0.002031756420930051,0.060021884651663464
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.577321359323194,0.0014819703475166006,0.05784914611929592
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5862720780723907,0.0010628117528989247,0.0564768158553267
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.5952227968215875,0.000758670817939976,0.05631185559688345
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6041735155707844,0.000552582570025861,0.05463160372589615
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6131242343199812,0.0004122182944549802,0.05502001784511398
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6220749530691779,0.0003249168424857895,0.05349086374614585
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6310256718183748,0.00027157256085837605,0.05457703808267459
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6399763905675716,0.00023859785208049666,0.05512944154345523
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6489271093167683,0.00022269375786871358,0.052513180739636345
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6578778280659652,0.00021352357278505397,0.0514901329640947
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.666828546815162,0.00021105857838276976,0.05299572948930567
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6757792655643589,0.00020896989505641607,0.05223230318037498
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6847299843135556,0.00020935728502259016,0.05561320541609486
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.6936807030627524,0.00021067066838111357,0.0566418114102801
NGC 4486,inner,stpsf_O2024062601-NRCA3_FP1-1,0.7026314218119492,0.0002090706215667538,0.055252715871122966
NGC 4486,inner,stpsf_field_1280_1024,0.004475359374598403,0.9199039718036256,7.178324064871015
NGC 4486,inner,stpsf_field_1280_1024,0.013426078123795208,0.8404233950956622,4.42404189248148
NGC 4486,inner,stpsf_field_1280_1024,0.022376796872992013,0.761637142933838,3.5128159896270947
NGC 4486,inner,stpsf_field_1280_1024,0.031327515622188815,0.695665174537967,2.8237475700934183
NGC 4486,inner,stpsf_field_1280_1024,0.04027823437138563,0.6465606510009644,2.4876866385216525
NGC 4486,inner,stpsf_field_1280_1024,0.049228953120582425,0.6010875707980984,2.0825984273456783
NGC 4486,inner,stpsf_field_1280_1024,0.05817967186977923,0.5689949578064449,1.981522832394373
NGC 4486,inner,stpsf_field_1280_1024,0.06713039061897604,0.5371890340513995,1.923475647930589
NGC 4486,inner,stpsf_field_1280_1024,0.07608110936817285,0.5024167920459696,1.76093944247198
NGC 4486,inner,stpsf_field_1280_1024,0.08503182811736965,0.4716402801255714,1.6422780763932638
NGC 4486,inner,stpsf_field_1280_1024,0.09398254686656646,0.4439851700122199,1.4918308329173315
NGC 4486,inner,stpsf_field_1280_1024,0.10293326561576326,0.41555133096780994,1.4118626957764981
NGC 4486,inner,stpsf_field_1280_1024,0.11188398436496007,0.3871312700482694,1.3306502955830855
NGC 4486,inner,stpsf_field_1280_1024,0.12083470311415687,0.36414640107918433,1.234303202998189
NGC 4486,inner,stpsf_field_1280_1024,0.12978542186335368,0.3385514304550562,1.1446827101640848
NGC 4486,inner,stpsf_field_1280_1024,0.13873614061255046,0.31914336749405403,1.0489872084258343
NGC 4486,inner,stpsf_field_1280_1024,0.1476868593617473,0.2990522136435737,0.9510127915741657
NGC 4486,inner,stpsf_field_1280_1024,0.1566375781109441,0.28014103569854487,0.8894969914900729
NGC 4486,inner,stpsf_field_1280_1024,0.1655882968601409,0.26087694695404334,0.8069113344607155
NGC 4486,inner,stpsf_field_1280_1024,0.1745390156093377,0.24384499182451716,0.7374860707975153
NGC 4486,inner,stpsf_field_1280_1024,0.1834897343585345,0.22730745820897694,0.6707324551414643
NGC 4486,inner,stpsf_field_1280_1024,0.1924404531077313,0.21150174004567499,0.63106480959228
NGC 4486,inner,stpsf_field_1280_1024,0.20139117185692812,0.1978633318014307,0.5881885279303154
NGC 4486,inner,stpsf_field_1280_1024,0.2103418906061249,0.1844321455721499,0.5280402536665183
NGC 4486,inner,stpsf_field_1280_1024,0.21929260935532174,0.1709520367870616,0.4902153850251539
NGC 4486,inner,stpsf_field_1280_1024,0.22824332810451853,0.16015464919160957,0.46225056533892483
NGC 4486,inner,stpsf_field_1280_1024,0.23719404685371534,0.15003404244832902,0.4301273455364654
NGC 4486,inner,stpsf_field_1280_1024,0.24614476560291212,0.1403821470459633,0.3800120369738224
NGC 4486,inner,stpsf_field_1280_1024,0.25509548435210894,0.13325666123320848,0.35402235321644226
NGC 4486,inner,stpsf_field_1280_1024,0.2640462031013058,0.12633680256123384,0.32807123534064797
NGC 4486,inner,stpsf_field_1280_1024,0.27299692185050256,0.12041965599712025,0.31366026175523637
NGC 4486,inner,stpsf_field_1280_1024,0.28194764059969935,0.11458929387550477,0.28971531648792187
