galaxy,ring,variant,noise_model,psf_size_pix,P0,noise_coefficient,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise
NGC 4486,inner,raw,constant,129,1.2257996009369445,-0.10375128588195963,True,0.0023496992966127,1.2234499016403317,27.7807937433793,0.025911167780734937,1028.9655016001263,46.7711591636421,1033.536930171555,18.81373253216239,,-0.9563686353452888,0.0008525065290054051,-0.00015312764884350787,-0.00015312764884350792,3.007176129697894e-05
NGC 4486,inner,raw,N(k),129,-1.4310379840921745,0.7141097060710244,False,0.0023496992966127,-1.4333876833887873,,,1156.0374774872655,52.54715806760298,1160.6089060586942,44.104325268499366,0.9969554852947123,-0.9971593092488659,0.014410585782026506,-0.004807244782746854,-0.004807244782746854,0.0016128045589117626
NGC 4486,inner,raw,constant,257,1.2434361328107866,-0.10375161927674584,True,0.0023496992966127,1.2410864335141738,27.765254148538247,0.02590974638014468,1028.909367832915,46.76860762876886,1033.4807964043437,19.067520804646843,,-0.9563687311625156,0.0008771659007602833,-0.00015532247094916397,-0.00015532247094916405,3.007018533756889e-05
NGC 4486,inner,raw,N(k),257,-1.4516032112429555,0.7141023941751451,False,0.0023496992966127,-1.4539529105395683,,,1156.1614661375409,52.55279391534277,1160.7328947089695,44.61220993429178,0.9969560922661911,-0.9971592695649015,0.014829583057680482,-0.004876858239131919,-0.004876858239131917,0.0016129550366100012
NGC 4486,inner,winsor_3.0,constant,129,0.9308774528170751,-0.07666960900749246,True,0.0023496992966127,0.9285277535204625,28.080271996183757,0.02398764601257561,860.7343962716163,39.12429073961892,865.3058248430449,18.459671076858935,,-0.95519121743162,0.00042083940814495804,-7.597615985998901e-05,-7.597615985998901e-05,1.5033414609290015e-05
NGC 4486,inner,winsor_3.0,N(k),129,-1.0169884204226391,0.5225477228137806,False,0.0023496992966127,-1.019338119719252,,,1014.1821381386575,46.0991880972117,1018.753566710086,43.5830626291858,0.9969554852947123,-0.9970820479414229,0.007454894855193321,-0.0024819652241558337,-0.0024819652241558337,0.000831166570725497
NGC 4486,inner,winsor_3.0,constant,257,0.9442703266524715,-0.07666980374493623,True,0.0023496992966127,0.9419206273558588,28.064723449996745,0.023986436980565136,860.7096780395344,39.1231671836152,865.281106610963,18.70851172853409,,-0.9551913015632667,0.0004330234921896844,-7.706710902691536e-05,-7.706710902691537e-05,1.5033010464267153e-05
NGC 4486,inner,winsor_3.0,N(k),257,-1.0316072198677746,0.5225438119268376,False,0.0023496992966127,-1.0339569191643874,,,1014.2531774214362,46.10241715551983,1018.8246059928648,44.08542841815954,0.9969560922661911,-0.9970820130967999,0.007671379997047825,-0.002517817710543175,-0.0025178177105431745,0.0008312148791008468
NGC 4486,inner,winsor_3.5,constant,129,1.0787361103945465,-0.09027624564935714,True,0.0023496992966127,1.0763864110979338,27.91983870343312,0.024299413535370195,898.1219179716737,40.82372354416699,902.6933465431023,18.625261498859537,,-0.9557137224519783,0.0005803357927041505,-0.00010447440472776195,-0.00010447440472776205,2.0591349506757665e-05
NGC 4486,inner,winsor_3.5,N(k),129,-1.2192904092500376,0.6167549070539747,False,0.0023496992966127,-1.2216401085466504,,,1061.3316673275422,48.24234851488828,1065.9030958989708,43.71667150437681,0.9969554852947123,-0.9971042868302903,0.010271014910688088,-0.003422877043064376,-0.0034228770430643762,0.001147329263599957
NGC 4486,inner,winsor_3.5,constant,257,1.0942564310241087,-0.09027649741152259,True,0.0023496992966127,1.091906731727496,27.90429536062707,0.024298191107582367,898.087544075809,40.82216109435495,902.6589726472375,18.876430050054246,,-0.9557138123840035,0.0005971319843090265,-0.00010597356749323288,-0.0001059735674932328,2.0590602278741512e-05
NGC 4486,inner,winsor_3.5,N(k),257,-1.2368157771778576,0.6167497369799191,False,0.0023496992966127,-1.2391654764744704,,,1061.4200025583586,48.24636375265266,1065.9914311297873,44.2203413353615,0.9969560922661911,-0.9971042499345013,0.010569409306932369,-0.003472364206213747,-0.003472364206213748,0.0011474101579071734
NGC 4486,inner,winsor_4.0,constant,129,1.1523628021019865,-0.09697492098554071,True,0.0023496992966127,1.1500131028053737,27.848002247896147,0.024501741190741187,918.556955228887,41.75258887404032,923.1283838003155,18.693190885258197,,-0.9559320241003844,0.0006735205225822068,-0.00012112085351919923,-0.00012112085351919921,2.3835978767099014e-05
NGC 4486,inner,winsor_4.0,N(k),129,-1.3185278680929258,0.6632703319003562,False,0.0023496992966127,-1.3208775673895385,,,1095.3262408805215,49.78755640366007,1099.8976694519502,43.802714032388366,0.9969554852947123,-0.9971172175688703,0.012024019556240977,-0.004008484155003851,-0.004008484155003853,0.001344058703984917
NGC 4486,inner,winsor_4.0,constant,257,1.1689425243639286,-0.09697520297628033,True,0.0023496992966127,1.1665928250673159,27.83246096669199,0.024500452729575753,918.5140630757649,41.75063923071659,923.0854916471934,18.945311526905037,,-0.9559321147543044,0.0006930078932341967,-0.00012285785660326684,-0.00012285785660326695,2.3834913669549377e-05
NGC 4486,inner,winsor_4.0,N(k),257,-1.3374784742671624,0.6632643545259785,False,0.0023496992966127,-1.3398281735637751,,,1095.4278977980482,49.79217717263855,1099.9993263694769,44.30729104376247,0.9969560922661911,-0.9971171800380557,0.01237345796508591,-0.004066475790198313,-0.004066475790198313,0.0013441659713160174
NGC 4486,outer,raw,constant,129,1.1512302672770451,-0.09363138252760383,True,2.0554918226577445e-05,1.1512097123588185,27.846873106968403,0.026033125516535784,3201.819853103386,145.5372660501539,3206.3912816748143,18.49077878901828,,-0.9558146696243512,0.000761926141758289,-0.00013841109197084399,-0.00013841109197084393,2.7522097687696286e-05
NGC 4486,outer,raw,N(k),129,-1.2854520419855506,0.6517755889294325,False,2.0554918226577445e-05,-1.2854725969037772,,,2987.665993042222,135.80299968373737,2992.2374216136504,45.53601679519898,0.9974829077898767,-0.9972848076930956,0.011329565065806941,-0.0037360271780554526,-0.003736027178055451,0.0012387064798690098
NGC 4486,outer,raw,constant,257,1.1677932510715139,-0.0936315623183304,True,2.0554918226577445e-05,1.1677726961532873,27.831363427465657,0.026033219138209513,3201.8441960369455,145.5383725471339,3206.415624608374,18.739836827482844,,-0.9558147446067502,0.0007840138626215019,-0.00014040364214089058,-0.0001404036421408905,2.7522352584093552e-05
NGC 4486,outer,raw,N(k),257,-1.3039313513311348,0.651771109957347,False,2.0554918226577445e-05,-1.3039519062493614,,,2987.825331025933,135.81024231936058,2992.3967595973613,46.06310682276578,0.9974831414176208,-0.997284772300803,0.011658363463780123,-0.003789927846784741,-0.003789927846784741,0.0012387564173428314
NGC 4486,outer,winsor_3.0,constant,129,1.1266230798791574,-0.09196512166804093,True,2.0554918226577445e-05,1.1266025249609308,27.870332418688168,0.026409548357285196,3303.6022516802386,150.1637387127381,3308.173680251667,18.53024357636214,,-0.9559514971928482,0.0007509564449931346,-0.000136349341014506,-0.00013634934101450604,2.7090662278714423e-05
NGC 4486,outer,winsor_3.0,N(k),129,-1.2691825274264197,0.6410000043369452,False,2.0554918226577445e-05,-1.2692030823446463,,,3044.0420262476464,138.36554664762028,3048.613454819075,45.597226417128084,0.9974829077898767,-0.9972929496363401,0.011026273671601992,-0.003636757316997584,-0.003636757316997586,0.0012060196321836037
NGC 4486,outer,winsor_3.0,constant,257,1.1428320320194871,-0.09196529665937399,True,2.0554918226577445e-05,1.1428114771012605,27.85482273607633,0.0264096443333469,3303.6276425279607,150.16489284218002,3308.199071099389,18.77985023523529,,-0.955951571769539,0.000772726224788354,-0.00013831222151083065,-0.0001383122215108306,2.709091532588375e-05
NGC 4486,outer,winsor_3.0,N(k),257,-1.2874279937265627,0.6409955947303952,False,2.0554918226577445e-05,-1.2874485486447893,,,3044.203438908517,138.37288358675076,3048.7748674799454,46.12497829489021,0.9974831414176208,-0.9972929143644054,0.011346266778461062,-0.0036892246871215494,-0.0036892246871215516,0.0012060678889483517
NGC 4486,outer,winsor_3.5,constant,129,1.1467493844025425,-0.09338720787524002,True,2.0554918226577445e-05,1.1467288294843159,27.851107391605478,0.026137541923501855,3230.391841571711,146.83599279871416,3234.9632701431397,18.503433176989123,,-0.9558604703438404,0.0007620830583372174,-0.00013842044272014325,-0.00013842044272014314,2.7517511548822468e-05
NGC 4486,outer,winsor_3.5,N(k),129,-1.2843090750099677,0.6503193582977825,False,2.0554918226577445e-05,-1.2843296299281943,,,3004.4566174192983,136.56620988269538,3009.0280459907267,45.55736074105621,0.9974829077898767,-0.997287617594897,0.011295022022799217,-0.0037248733720018773,-0.003724873372001879,0.0012350800055189696
NGC 4486,outer,winsor_3.5,constant,257,1.1632478976213405,-0.09338738646112815,True,2.0554918226577445e-05,1.163227342703114,27.835597714018157,0.026137637103480934,3230.416694269914,146.83712246681426,3234.9881228413424,18.75266631238951,,-0.9558605451431141,0.0007841753963105793,-0.00014041313977810292,-0.00014041313977810295,2.7517768831558426e-05
NGC 4486,outer,winsor_3.5,N(k),257,-1.3027719724432838,0.6503148895159244,False,2.0554918226577445e-05,-1.3027925273615104,,,3004.616525922849,136.5734784510386,3009.1879544942776,46.0846833426193,0.9974831414176208,-0.9972875822502076,0.011622816712465078,-0.00377861272605584,-0.003778612726055839,0.0012351296681805083
NGC 4486,outer,winsor_4.0,constant,129,1.1504192395885637,-0.09360094159586735,True,2.0554918226577445e-05,1.1503986846703371,27.847638278108747,0.02605967911904786,3209.1682549036022,145.8712843138001,3213.7396834750307,18.494635233901814,,-0.9558284328136671,0.0007624058861797385,-0.00013849203733272503,-0.00013849203733272503,2.753616638548841e-05
NGC 4486,outer,winsor_4.0,N(k),129,-1.285675966007221,0.6516322160109923,False,2.0554918226577445e-05,-1.2856965209254476,,,2991.1982468577785,135.96355667535357,2995.769675429207,45.54172706826594,0.9974829077898767,-0.9972855726363704,0.011323850435551333,-0.00373421730625798,-0.0037342173062579797,0.00123812923246998
NGC 4486,outer,winsor_4.0,constant,257,1.166970554219608,-0.09360112120267781,True,2.0554918226577445e-05,1.1669499993013814,27.832128599103697,0.026059773295812817,3209.1927659952653,145.87239845433024,3213.7641945666937,18.743746724038804,,-0.9558285077812856,0.0007845075414599631,-0.00014048575766579505,-0.00014048575766579513,2.753642238124174e-05
