galaxy,ring,variant,noise_model,psf_id,k,observed,predicted,residual,residual_sigma
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.04027823437138563,0.8391403216253881,0.6774802870335347,0.1616600345918534,11.915289637618946
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.049228953120582425,0.7599961975352992,0.6334166742544847,0.12657952328081457,12.034351192145813
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.05817967186977923,0.6754028706236668,0.5877085713282841,0.08769429929538264,9.674924293167548
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.06713039061897604,0.61465727541626,0.5496511414140197,0.06500613400224031,8.452745541902527
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.07608110936817285,0.5689505399780773,0.5114017009809387,0.057548838997138585,8.626115063307052
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.08503182811736965,0.511457934828168,0.4756271633783165,0.03583077144985153,6.4184101338047315
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.09398254686656646,0.45837800663128786,0.43709606588295785,0.021281940748330008,4.390691043644609
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.10293326561576326,0.4189954946813736,0.4050654151490997,0.013930079532273876,3.303380748081314
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.11188398436496007,0.3745582051774165,0.3729903097503041,0.0015678954271123868,0.43311583712444757
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.12083470311415687,0.33455816716310777,0.3402036427129592,-0.005645475549851453,-1.8239393106982462
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.12978542186335368,0.30618641459451684,0.31450029720971756,-0.008313882615200718,-3.0359131121973126
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.13873614061255046,0.2908132734505371,0.28758395053602015,0.003229322914516941,1.2593287850749963
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.1476868593617473,0.2601145303821762,0.26528125952138826,-0.005166729139212067,-2.3586289618214105
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.1566375781109441,0.23321359278452977,0.24092019540704412,-0.0077066026225143525,-4.044015366029256
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.1655882968601409,0.20621325817511227,0.21768909394245406,-0.011475835767341791,-7.010197722545052
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.1745390156093377,0.18487533497482486,0.19504416961680893,-0.010168834641984065,-7.038288733295889
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.1834897343585345,0.16983321119112751,0.17494645434094974,-0.0051132431498222275,-4.005632596302661
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.1924404531077313,0.14761617259888743,0.15722185938442323,-0.009605686785535805,-8.942279670198712
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.20139117185692812,0.13314838762279876,0.13796052397737074,-0.0048121363545719775,-5.028335194317093
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.2103418906061249,0.11813869626172657,0.12188162296788237,-0.003742926706155794,-4.439881317228802
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.21929260935532174,0.10423946930599005,0.1075381935801472,-0.0032987242741571443,-4.587325683142704
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.22824332810451853,0.09344564552908972,0.09297704139632397,0.0004686041327657542,0.736751154855392
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.23719404685371534,0.0840103266518556,0.08017774958678163,0.003832577065073964,6.980644543272314
NGC 4486,inner,raw,constant,stpsf_O2024062601-NRCA3_FP1-1,0.24614476560291212,0.07336469089005333,0.06902584458897339,0.004338846301079946,9.223873776654804
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.04027823437138563,0.8391403216253881,0.8644462426165715,-0.02530592099118345,-1.8651943191644407
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.049228953120582425,0.7599961975352992,0.6266101017359104,0.13338609579938887,12.681475481922206
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.05817967186977923,0.6754028706236668,0.6077921516991326,0.06761071892453419,7.459191672176807
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.06713039061897604,0.61465727541626,0.6107695648329375,0.00388771058332249,0.5055188838064717
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.07608110936817285,0.5689505399780773,0.5393545131681586,0.029596026809918685,4.436209958845091
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.08503182811736965,0.511457934828168,0.49638162878117187,0.015076306046996168,2.7006372343340304
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.09398254686656646,0.45837800663128786,0.43392823774201195,0.024449768889275914,5.044247728663948
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.10293326561576326,0.4189954946813736,0.41421582943419766,0.004779665247175935,1.1334503958296476
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.11188398436496007,0.3745582051774165,0.39366677861306654,-0.019108573435650034,-5.278557253705356
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.12083470311415687,0.33455816716310777,0.36314059706027635,-0.028582429897168582,-9.234406742952656
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.12978542186335368,0.30618641459451684,0.3291486476943622,-0.022962233099845353,-8.384932501415722
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.13873614061255046,0.2908132734505371,0.29223457218914994,-0.0014212987386128528,-0.5542593481995246
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.1476868593617473,0.2601145303821762,0.24830697088316983,0.01180755949900636,5.390190012366898
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.1566375781109441,0.23321359278452977,0.23281783281648538,0.0003957599680443902,0.20767379225641142
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.1655882968601409,0.20621325817511227,0.20096335056295722,0.005249907612155047,3.2069899859525517
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.1745390156093377,0.18487533497482486,0.17782251085269168,0.007052824122133178,4.881563552206812
NGC 4486,inner,raw,N(k),stpsf_O2024062601-NRCA3_FP1-1,0.1834897343585345,0.16983321119112751,0.15361582692764436,0.016217384263483153,12.70443848046468
