galaxy,ring,variant,noise_model,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,noise_coefficient,noise_coefficient_negative_fraction,P0_negative_fraction,physical_solution_fraction,Pr,P_fluctuation,mbar_observed,mbar_sigma_with_psf,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation,delta_P0_vs_raw,delta_P0_fraction_vs_raw,delta_mbar_vs_raw,delta_mbar_from_production_branch
NGC 4486,inner,raw,constant,5,1.2252834750324908,0.028151268626949198,0.0007652082659430742,0.028161666658721066,-0.10375128588195963,1.0,0.0,1.0,0.0023496992966127,1.222933775735878,27.781251869873664,0.02500228686488336,958.1592675573314,43.552693979878704,962.73069612876,18.795568386475235,,-0.9563686353452888,0.0,0.0,0.0,-0.13923262593025498
NGC 4486,inner,raw,N(k),5,-1.4310379840921745,0.12203625522877315,0.036723760673258145,0.12744207385415934,0.7141097060710244,0.0,1.0,0.0,0.0023496992966127,-1.4333876833887873,,,1157.6495625477237,52.62043466126017,1162.2209911191524,44.104325268499366,0.9974494853375173,-0.9971593092488659,0.0,,,
NGC 4486,inner,winsor_3.0,constant,5,0.9302786147122157,0.019808736525863724,0.0008878373742645307,0.01982862319865473,-0.07666960900749246,1.0,0.0,1.0,0.0023496992966127,0.9279289154156031,28.08097244908919,0.023200757880946173,804.137402747985,36.55170012490841,808.7088313194135,18.438741696597788,,-0.95519121743162,-0.29500486032027506,-0.2407645792435521,0.29972057921552775,0.16048795328527277
NGC 4486,inner,winsor_3.0,N(k),5,-1.0169884204226391,0.08727438032390858,0.027752054267379932,0.09158053274021637,0.5225477228137806,0.0,1.0,0.0,0.0023496992966127,-1.019338119719252,,,1014.1821381386575,46.0991880972117,1018.753566710086,43.5830626291858,0.9974494853375173,-0.9970860564216611,0.4140495636695354,,,
NGC 4486,inner,winsor_3.5,constant,5,1.0780960696166282,0.02320904882170746,0.0009489244573417445,0.023228439569504915,-0.09027624564935714,1.0,0.0,1.0,0.0023496992966127,1.0757463703200154,27.92048449580392,0.02344414865480358,835.2558655710457,37.9661757077748,839.8272941424742,18.604689993954015,,-0.9557137224519783,-0.14718740541586262,-0.12012518606109468,0.13923262593025498,0.0
NGC 4486,inner,winsor_3.5,N(k),5,-1.2192904092500376,0.10257890506746513,0.033071594554547966,0.10777830083658041,0.6167549070539747,0.0,1.0,0.0,0.0023496992966127,-1.2216401085466504,,,1061.3316673275422,48.24234851488828,1065.9030958989708,43.71667150437681,0.9974494853375173,-0.9971067172572319,0.2117475748421369,,,
NGC 4486,inner,winsor_4.0,constant,5,1.1517170979837266,0.024987035869384465,0.000957320925732167,0.02500536792156337,-0.09697492098554071,1.0,0.0,1.0,0.0023496992966127,1.1493673986871138,27.84861203332029,0.0236210225701117,853.1326962708231,38.77875892140105,857.7041248422516,18.672990111614002,,-0.9559320241003844,-0.07356637704876423,-0.06004029153075252,0.06736016344662588,-0.07187246248362911
NGC 4486,inner,winsor_4.0,N(k),5,-1.3185278680929258,0.11108934705300087,0.035432701206230544,0.1166032561442093,0.6632703319003562,0.0,1.0,0.0,0.0023496992966127,-1.3208775673895385,,,1095.3262408805215,49.78755640366007,1099.8976694519502,43.802714032388366,0.9974494853375173,-0.9971190557397638,0.11251011599924876,,,
NGC 4486,outer,raw,constant,5,1.1504928967183117,0.02760300965036764,0.002971055573463656,0.02776244429042404,-0.09323894695754067,1.0,0.0,1.0,2.0554918226577445e-05,1.150472341800085,27.847568763380096,0.026200274273027086,3202.7678284092126,145.5803558367824,3207.339256980641,18.477508758062797,,-0.9556594267617347,0.0,0.0,0.0,-0.00423298853600329
NGC 4486,outer,raw,N(k),5,-1.2919050406550678,0.10699443989443783,0.009567215827426211,0.10742132836179705,0.6543514937698046,0.0,1.0,0.0,2.0554918226577445e-05,-1.2919255955732944,,,2987.665993042222,135.80299968373737,2992.2374216136504,45.845289992279305,0.9974390962742391,-0.9973250999890559,0.0,,,
NGC 4486,outer,winsor_3.0,constant,5,1.1259039193464784,0.027403584528180515,0.002924430830665333,0.027559186139588382,-0.09158142558785949,1.0,0.0,1.0,2.0554918226577445e-05,1.1258833644282518,27.871025713733943,0.02657647062812282,3304.5397894144066,150.20635406429122,3309.111217985835,18.51698480068941,,-0.9557967634294987,-0.024588977371833298,-0.021372559050100493,0.02345695035384665,0.01922396181784336
NGC 4486,outer,winsor_3.0,N(k),5,-1.2756289987240625,0.10555197649431898,0.009557538345885309,0.10598380197506757,0.6435679766928003,0.0,1.0,0.0,2.0554918226577445e-05,-1.2756495536422892,,,3044.0420262476464,138.36554664762028,3048.613454819075,45.908318358753654,0.9974390962742391,-0.9973331017010744,0.01627604193100529,,,
NGC 4486,outer,winsor_3.5,constant,5,1.146016251965228,0.027605851885736426,0.0029656471118458894,0.027764691986932204,-0.09299653345000446,1.0,0.0,1.0,2.0554918226577445e-05,1.1459956970470013,27.8518017519161,0.02630475086586111,3231.21881462317,146.87358248287137,3235.7902431945986,18.49017169309298,,-0.9557054289141291,-0.004476644753083736,-0.003891066833922263,0.00423298853600329,0.0
NGC 4486,outer,winsor_3.5,N(k),5,-1.2907705562586067,0.10683357107760333,0.009579792099232166,0.10726222226794406,0.65289767460367,0.0,1.0,0.0,2.0554918226577445e-05,-1.2907911111768333,,,3004.4566174192983,136.56620988269538,3009.0280459907267,45.86704881870585,0.9974390962742391,-0.9973278528566721,0.0011344843964611329,,,
