schema_version,pipeline_version,record_type,target_id,program_id,observation_id,signal_filter,color_filter,method_id,method_variant,quantity_family,quantity_name,primary_unit,region,role,status,ring_qc_status,ring_qc_reasons,ring_k_stability_mag,selected_for_final,selection_reason,rin_arcsec,rout_arcsec,usable_fraction,kmin,kmax,mbar_spec_raw,mbar_spec,P0,Pr,P_fluc,Pr_over_P0,Imean,n_detected_sources,m_lim,lf_gamma,lf_fit_method,psf_method,psf_detector_set,psf_opd_corr_id,psf_opd_delta_days,psf_input_count,psf_extension,psf_native_scale_rel_error,psf_method_limitations,psf_siaf_prd_version,calibration_applied,distance_computed,region_id
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3470,7763,054,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.010..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_inner_lit,science,ok,PASS,all encoded checks passed,0.04906470320095835,False,diagnostic ring or diagnostic k-window,8.2,16.4,1.0,0.01,0.25,28.165311541271148,28.25187882668111,0.6526347657423498,0.05001511322551108,0.6026196525168387,0.0766356863760094,0.7601350775207101,9735,26.875,0.33328654812211056,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.447777430555556,4,OVERDIST,0.014288273564717846,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_inner_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3470,7763,054,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.030..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_inner_lit,science,ok,PASS,all encoded checks passed,0.04906470320095835,False,diagnostic ring or diagnostic k-window,8.2,16.4,1.0,0.03,0.25,28.612079921930363,28.74551710671499,0.4324768375223809,0.05001511322551108,0.38246172429686986,0.11564807380677994,0.7601350775207101,9735,26.875,0.33328654812211056,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.447777430555556,4,OVERDIST,0.014288273564717846,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_inner_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3470,7763,054,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.040..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_inner_lit,science,ok,PASS,all encoded checks passed,0.04906470320095835,True,single_annulus_qc_rank_then_k03_k04_stability_v1,8.2,16.4,1.0,0.04,0.25,28.65535568349365,28.794581809915947,0.41557799932751943,0.05001511322551108,0.3655628861020084,0.12035072430793883,0.7601350775207101,9735,26.875,0.33328654812211056,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.447777430555556,4,OVERDIST,0.014288273564717846,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_inner_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3470,7763,054,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.010..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_outer_lit,science,ok,PASS,all encoded checks passed,0.11219347254637668,False,diagnostic ring or diagnostic k-window,16.4,32.8,0.8637920225838336,0.01,0.25,27.528300241366715,27.63027280589298,0.17022413047321477,0.015259673547922802,0.15496445692529198,0.08964459683537025,0.11026487100414653,15580,27.625,0.5381272020196983,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.447777430555556,4,OVERDIST,0.014288273564717846,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_outer_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3470,7763,054,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.030..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_outer_lit,science,ok,PASS,all encoded checks passed,0.11219347254637668,False,diagnostic ring or diagnostic k-window,16.4,32.8,0.8637920225838336,0.03,0.25,28.135942272743605,28.321225004335776,0.0972667291607799,0.015259673547922802,0.0820070556128571,0.1568848225861371,0.11026487100414653,15580,27.625,0.5381272020196983,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.447777430555556,4,OVERDIST,0.014288273564717846,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_outer_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3470,7763,054,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.040..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_outer_lit,science,ok,PASS,all encoded checks passed,0.11219347254637668,False,diagnostic ring or diagnostic k-window,16.4,32.8,0.8637920225838336,0.04,0.25,28.229749292881916,28.433418476882153,0.08921574446341787,0.015259673547922802,0.07395607091549507,0.1710423831544655,0.11026487100414653,15580,27.625,0.5381272020196983,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.447777430555556,4,OVERDIST,0.014288273564717846,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_outer_lit
