schema_version,pipeline_version,target_id,program_id,observation_id,method_variant,summary,record_type,method_id,quantity_family,quantity_name,primary_unit,selected_region,selected_for_final,selection_reason,signal_filter,color_filter,color_name,sampling_mode,color_index,sigma_proxy,calibration_applied,distance_computed,notes,region_id
sbf-table-2,sbf-3.1,NGC 4550,7763,026,default,selected SBF-annulus color,selected_color,selected_sbf_annulus_color_v1,color_index,color_index,AB mag,circular_inner_lit,True,single_annulus_qc_rank_then_k03_k04_stability_v1,F150W,F115W,F115W-F150W,wcs_bilinear,0.1927265923968208,0.04238367881937324,False,False,single selected SBF annulus; no averaging between annuli,
sbf-table-2,sbf-3.1,NGC 4550,7763,026,default,diagnostic mean of available annulus colors,diagnostic_color,unweighted_annulus_mean_diagnostic_v1,color_index,color_index,AB mag,,False,diagnostic only,F150W,F115W,F115W-F150W,wcs_bilinear,0.19330362837388104,0.0008160521047357844,False,False,diagnostic only; never used as the calibration color,
