experiment,model_variant,main_kmin,main_kmax,weighted_corrected_mbar,elliptical_corrected_mbar,circular_inner_corrected_mbar,circular_outer_corrected_mbar,formal_sigma,annulus_scatter,adopted_sigma,residual_score
exp01_baseline_current_k,baseline,0.03,0.4,27.316376515552506,27.109940784697276,27.36431221383074,27.180399016280155,0.052639041149759355,0.09195659877529216,0.09195659877529216,0.9570314511656761
exp02_conservative_lowk_cut,baseline,0.05,0.35,27.179981229834798,26.67341714966021,27.364971340915684,26.985378740621968,0.16949829747883646,0.1897963001468579,0.1897963001468579,0.9570314511656761
exp03_conservative_highk_cut,baseline,0.03,0.25,27.45850868593191,27.270950290961192,27.47776786524316,27.379598654494206,0.057408396018164734,0.04908460537447645,0.057408396018164734,0.9570314511656761
exp04_conservative_both_cuts,baseline,0.05,0.25,27.394094077748814,26.851399374766753,27.56347993394521,27.21313227012232,0.19606055965025612,0.17517383191144553,0.19606055965025612,0.9570314511656761
exp05_literature_closer_lowk,baseline,0.01,0.25,27.185650554382438,27.097308633816755,27.178518417552677,27.190828617519664,0.04110262211921491,0.006155099983493173,0.04110262211921491,0.9570314511656761
exp06_fitted_splice_best_k,fitted_splice,0.01,0.25,27.463220900478998,27.5099740869455,27.584720435275855,27.282868113532555,0.04065683847832833,0.15092616087165034,0.15092616087165034,0.30359767004847527
