program,target,mast_target_name,observation_number,obsid,ra_deg,dec_deg,morphology,redshift,science_frame_class,signal_role,color_role,parallel_role,observed_start_utc,observed_end_utc,mast_inventory_utc,signal_filter,signal_instrument,signal_product,signal_product_uri,signal_exposure_time_s,signal_content_length_bytes,signal_data_rights,signal_release_utc,signal_http_status,signal_last_modified,color_filter,color_instrument,color_product,color_product_uri,color_exposure_time_s,color_content_length_bytes,color_data_rights,color_release_utc,color_http_status,color_last_modified,parallel_filter,parallel_instrument,parallel_product,parallel_product_uri,parallel_exposure_time_s,parallel_content_length_bytes,parallel_data_rights,parallel_release_utc,parallel_http_status,parallel_last_modified,download_ready_nircam_pair,notes
5989,IC 4026,IC-4026,11,o011_t011,195.09223000,28.04701111,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T18:41:34.808000+00:00,2025-05-02T18:58:48.276000+00:00,2026-07-16T15:07:19.878580+00:00,F150W,NIRCAM,jw05989-o011_t011_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o011_t011_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-02T22:53:14.989344+00:00,200,"Wed, 08 Jul 2026 02:58:22 GMT",F356W,NIRCAM,jw05989-o011_t011_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o011_t011_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T22:53:14.989344+00:00,200,"Wed, 08 Jul 2026 02:55:17 GMT",F150W,NIRISS,jw05989-o011_t011_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o011_t011_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T22:50:54.991968+00:00,200,"Tue, 07 Jul 2026 23:43:27 GMT",yes,
5989,IC 4030,IC-4030,12,o012_t012,195.11654000,27.95598056,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-03T14:23:34.343000+00:00,2025-05-03T14:40:44.995000+00:00,2026-07-16T15:07:19.878589+00:00,F150W,NIRCAM,jw05989-o012_t012_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o012_t012_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-03T16:45:43.993440+00:00,200,"Wed, 08 Jul 2026 00:38:12 GMT",F356W,NIRCAM,jw05989-o012_t012_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o012_t012_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-03T16:45:43.993440+00:00,200,"Wed, 08 Jul 2026 00:37:22 GMT",F150W,NIRISS,jw05989-o012_t012_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o012_t012_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-03T16:46:59.986560+00:00,200,"Wed, 08 Jul 2026 00:06:11 GMT",yes,
5989,IC 3955,IC-3955,13,o013_t013,194.77511000,27.99670000,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-03T15:01:23.652000+00:00,2025-05-03T15:18:25.985000+00:00,2026-07-16T15:07:19.878597+00:00,F150W,NIRCAM,jw05989-o013_t013_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o013_t013_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-03T17:30:49.993920+00:00,200,"Wed, 08 Jul 2026 01:55:08 GMT",F356W,NIRCAM,jw05989-o013_t013_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o013_t013_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-03T17:30:49.993920+00:00,200,"Wed, 08 Jul 2026 01:54:47 GMT",F150W,NIRISS,jw05989-o013_t013_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o013_t013_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-03T17:22:10.989984+00:00,200,"Tue, 07 Jul 2026 23:55:43 GMT",yes,
5989,IC 4041,IC-4041,14,o014_t014,195.17021000,27.99661111,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-04T20:53:12.211000+00:00,2025-05-04T21:10:20.752000+00:00,2026-07-16T15:07:19.878606+00:00,F150W,NIRCAM,jw05989-o014_t014_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o014_t014_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-05T17:09:50.996448+00:00,200,"Wed, 08 Jul 2026 00:35:56 GMT",F356W,NIRCAM,jw05989-o014_t014_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o014_t014_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-05T17:09:50.996448+00:00,200,"Wed, 08 Jul 2026 00:35:50 GMT",F150W,NIRISS,jw05989-o014_t014_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o014_t014_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-05T17:06:53.991360+00:00,200,"Tue, 07 Jul 2026 23:43:20 GMT",yes,
5989,IC 4042,IC-4042,15,o015_t015,195.17821000,27.97138889,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-24T04:05:49.943000+00:00,2025-05-24T04:22:59.891000+00:00,2026-07-16T15:07:19.878615+00:00,F150W,NIRCAM,jw05989-o015_t015_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o015_t015_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-24T13:53:20.988960+00:00,200,"Wed, 08 Jul 2026 00:28:20 GMT",F356W,NIRCAM,jw05989-o015_t015_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o015_t015_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-24T13:53:20.988960+00:00,200,"Wed, 08 Jul 2026 00:27:22 GMT",F150W,NIRISS,jw05989-o015_t015_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o015_t015_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-24T13:51:38.987712+00:00,200,"Tue, 07 Jul 2026 23:44:03 GMT",yes,
5989,NGC 4864,NGC-4864,16,o016_t016,194.80462000,27.97700000,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-27T04:26:36.460000+00:00,2025-05-27T04:43:57.977000+00:00,2026-07-16T15:07:19.878623+00:00,F150W,NIRCAM,jw05989-o016_t016_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o016_t016_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-27T20:06:24.991200+00:00,200,"Wed, 08 Jul 2026 01:38:55 GMT",F356W,NIRCAM,jw05989-o016_t016_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o016_t016_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-27T20:06:24.991200+00:00,200,"Wed, 08 Jul 2026 01:38:46 GMT",F150W,NIRISS,jw05989-o016_t016_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o016_t016_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-27T20:05:49.994880+00:00,200,"Wed, 08 Jul 2026 01:22:51 GMT",yes,
5989,NGC 4895A,NGC-4895A,17,o017_t017,195.03798000,28.17040000,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-27T05:02:51.497000+00:00,2025-05-27T05:20:23.767000+00:00,2026-07-16T15:07:19.878632+00:00,F150W,NIRCAM,jw05989-o017_t017_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o017_t017_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-27T20:43:12.995904+00:00,200,"Wed, 08 Jul 2026 02:01:30 GMT",F356W,NIRCAM,jw05989-o017_t017_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o017_t017_nircam_clear-f356w_i2d.fits,773.048,306630720,PUBLIC,2026-05-27T20:43:12.995904+00:00,200,"Wed, 08 Jul 2026 02:01:09 GMT",F150W,NIRISS,jw05989-o017_t017_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o017_t017_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-27T20:30:42.993792+00:00,200,"Tue, 07 Jul 2026 23:15:30 GMT",yes,
5989,IC 3960,IC-3960,18,o018_t018,194.78317000,27.85500000,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-26T00:57:04.401000+00:00,2025-05-26T01:14:15.309000+00:00,2026-07-16T15:07:19.878641+00:00,F150W,NIRCAM,jw05989-o018_t018_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o018_t018_nircam_clear-f150w_i2d.fits,773.048,1290240000,PUBLIC,2026-05-26T13:00:46.994112+00:00,200,"Wed, 08 Jul 2026 03:20:48 GMT",F356W,NIRCAM,jw05989-o018_t018_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o018_t018_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-26T13:00:46.994112+00:00,200,"Wed, 08 Jul 2026 03:18:30 GMT",F150W,NIRISS,jw05989-o018_t018_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o018_t018_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-26T12:56:08.991744+00:00,200,"Wed, 08 Jul 2026 01:24:51 GMT",yes,
5989,NGC 4906,NGC-4906,19,o019_t019,195.16570000,27.92390000,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-29T03:35:06.998000+00:00,2025-05-29T03:52:28.579000+00:00,2026-07-16T15:07:19.878650+00:00,F150W,NIRCAM,jw05989-o019_t019_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o019_t019_nircam_clear-f150w_i2d.fits,773.048,1290119040,PUBLIC,2026-05-29T11:30:02.002176+00:00,200,"Wed, 08 Jul 2026 03:15:48 GMT",F356W,NIRCAM,jw05989-o019_t019_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o019_t019_nircam_clear-f356w_i2d.fits,773.048,306630720,PUBLIC,2026-05-29T11:30:02.002176+00:00,200,"Wed, 08 Jul 2026 03:09:42 GMT",F150W,NIRISS,jw05989-o019_t019_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o019_t019_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-29T11:30:00.002880+00:00,200,"Tue, 07 Jul 2026 23:26:13 GMT",yes,
5989,IC 4051,IC-4051,20,o020_t020,195.21483000,28.04281111,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-29T04:11:52.564000+00:00,2025-05-29T04:29:03.393000+00:00,2026-07-16T15:07:19.878658+00:00,F150W,NIRCAM,jw05989-o020_t020_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o020_t020_nircam_clear-f150w_i2d.fits,773.048,1290240000,PUBLIC,2026-05-29T12:14:14.997984+00:00,200,"Wed, 08 Jul 2026 00:02:50 GMT",F356W,NIRCAM,jw05989-o020_t020_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o020_t020_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-29T12:14:14.997984+00:00,200,"Wed, 08 Jul 2026 00:02:36 GMT",F150W,NIRISS,jw05989-o020_t020_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o020_t020_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-29T11:53:29.000256+00:00,200,"Tue, 07 Jul 2026 23:32:41 GMT",yes,
5989,IC 4045,IC-4045,21,o021_t021,195.20267000,28.09078056,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-29T04:48:15.282000+00:00,2025-05-29T05:05:36.863000+00:00,2026-07-16T15:07:19.878667+00:00,F150W,NIRCAM,jw05989-o021_t021_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o021_t021_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-29T13:45:39.993984+00:00,200,"Wed, 08 Jul 2026 00:46:57 GMT",F356W,NIRCAM,jw05989-o021_t021_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o021_t021_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-29T13:45:39.993984+00:00,200,"Wed, 08 Jul 2026 00:43:58 GMT",F150W,NIRISS,jw05989-o021_t021_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o021_t021_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-29T13:21:54.991008+00:00,200,"Wed, 08 Jul 2026 01:28:17 GMT",yes,
5989,IC 3959,IC-3959,22,o022_t022,194.78417000,27.78413056,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-29T05:28:57.711000+00:00,2025-05-29T05:46:08.540000+00:00,2026-07-16T15:07:19.878676+00:00,F150W,NIRCAM,jw05989-o022_t022_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o022_t022_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-29T13:28:04.990368+00:00,200,"Tue, 07 Jul 2026 23:49:13 GMT",F356W,NIRCAM,jw05989-o022_t022_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o022_t022_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-29T13:28:04.990368+00:00,200,"Tue, 07 Jul 2026 23:48:19 GMT",F150W,NIRISS,jw05989-o022_t022_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o022_t022_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-29T13:27:19.994112+00:00,200,"Wed, 08 Jul 2026 01:11:17 GMT",yes,
