program,target,mast_target_name,observation_number,obsid,ra_deg,dec_deg,morphology,redshift,science_frame_class,signal_role,color_role,parallel_role,observed_start_utc,observed_end_utc,mast_inventory_utc,signal_filter,signal_instrument,signal_product,signal_product_uri,signal_exposure_time_s,signal_content_length_bytes,signal_data_rights,signal_release_utc,signal_http_status,signal_last_modified,color_filter,color_instrument,color_product,color_product_uri,color_exposure_time_s,color_content_length_bytes,color_data_rights,color_release_utc,color_http_status,color_last_modified,parallel_filter,parallel_instrument,parallel_product,parallel_product_uri,parallel_exposure_time_s,parallel_content_length_bytes,parallel_data_rights,parallel_release_utc,parallel_http_status,parallel_last_modified,download_ready_nircam_pair,notes
5989,NGC 4860,NGC-4860,1,o001_t001,194.76625000,28.12370000,elliptical; giant elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T10:19:20.117000+00:00,2025-05-02T10:36:24.946000+00:00,2026-07-16T15:07:19.878459+00:00,F150W,NIRCAM,jw05989-o001_t001_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o001_t001_nircam_clear-f150w_i2d.fits,773.048,1290401280,PUBLIC,2026-05-02T18:07:48.998208+00:00,200,"Wed, 08 Jul 2026 00:45:45 GMT",F356W,NIRCAM,jw05989-o001_t001_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o001_t001_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T18:07:48.998208+00:00,200,"Wed, 08 Jul 2026 00:44:41 GMT",F150W,NIRISS,jw05989-o001_t001_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o001_t001_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T17:42:59.996160+00:00,200,"Wed, 08 Jul 2026 01:40:59 GMT",yes,
5989,NGC 4865,NGC-4865,2,o002_t002,194.83279000,28.08431111,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T10:56:00.194000+00:00,2025-05-02T11:13:11.023000+00:00,2026-07-16T15:07:19.878490+00:00,F150W,NIRCAM,jw05989-o002_t002_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o002_t002_nircam_clear-f150w_i2d.fits,773.048,1290401280,PUBLIC,2026-05-02T18:08:21.994368+00:00,200,"Wed, 08 Jul 2026 00:35:26 GMT",F356W,NIRCAM,jw05989-o002_t002_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o002_t002_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T18:08:21.994368+00:00,200,"Wed, 08 Jul 2026 00:35:48 GMT",F150W,NIRISS,jw05989-o002_t002_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o002_t002_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T18:09:21.999168+00:00,200,"Wed, 08 Jul 2026 00:05:54 GMT",yes,
5989,NGC 4869,NGC-4869,3,o003_t003,194.84735000,27.91158889,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-04-27T07:11:52.834000+00:00,2025-04-27T07:29:10.526000+00:00,2026-07-16T15:07:19.878504+00:00,F150W,NIRCAM,jw05989-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o003_t003_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-04-27T13:08:09.989376+00:00,200,"Wed, 08 Jul 2026 00:15:34 GMT",F356W,NIRCAM,jw05989-o003_t003_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o003_t003_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-04-27T13:08:09.989376+00:00,200,"Wed, 08 Jul 2026 00:15:11 GMT",F150W,NIRISS,jw05989-o003_t003_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o003_t003_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-04-27T13:05:40.991712+00:00,200,"Tue, 07 Jul 2026 23:55:09 GMT",yes,
5989,NGC 4889,NGC-4889,4,o004_t004,195.03373750,27.97702500,BCG; elliptical; giant elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T15:55:49.425000+00:00,2025-05-02T16:13:11.006000+00:00,2026-07-16T15:07:19.878517+00:00,F150W,NIRCAM,jw05989-o004_t004_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o004_t004_nircam_clear-f150w_i2d.fits,773.048,1290525120,PUBLIC,2026-05-02T21:10:18.995520+00:00,200,"Wed, 08 Jul 2026 02:03:28 GMT",F356W,NIRCAM,jw05989-o004_t004_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o004_t004_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T21:10:18.995520+00:00,200,"Wed, 08 Jul 2026 02:02:49 GMT",F150W,NIRISS,jw05989-o004_t004_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o004_t004_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T21:03:44.996832+00:00,200,"Tue, 07 Jul 2026 23:43:52 GMT",yes,
5989,NGC 4883,NGC-4883,5,o005_t005,194.98339000,28.03471944,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T16:26:30.063000+00:00,2025-05-02T16:43:40.828000+00:00,2026-07-16T15:07:19.878526+00:00,F150W,NIRCAM,jw05989-o005_t005_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o005_t005_nircam_clear-f150w_i2d.fits,773.048,1290401280,PUBLIC,2026-05-02T21:20:04.992288+00:00,200,"Wed, 08 Jul 2026 01:48:47 GMT",F356W,NIRCAM,jw05989-o005_t005_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o005_t005_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T21:20:04.992288+00:00,200,"Wed, 08 Jul 2026 01:48:38 GMT",F150W,NIRISS,jw05989-o005_t005_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o005_t005_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T21:00:37.999584+00:00,200,"Tue, 07 Jul 2026 23:44:10 GMT",yes,
5989,NGC 4876,NGC-4876,6,o006_t006,194.93502000,27.91246111,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-04-27T14:20:40.312000+00:00,2025-04-27T14:38:01.893000+00:00,2026-07-16T15:07:19.878535+00:00,F150W,NIRCAM,jw05989-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o006_t006_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-04-27T19:06:42.988032+00:00,200,"Wed, 08 Jul 2026 01:17:06 GMT",F356W,NIRCAM,jw05989-o006_t006_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o006_t006_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-04-27T19:06:42.988032+00:00,200,"Wed, 08 Jul 2026 01:17:09 GMT",F150W,NIRISS,jw05989-o006_t006_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o006_t006_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-04-27T19:06:28.987776+00:00,200,"Wed, 08 Jul 2026 00:05:08 GMT",yes,
5989,NGC 4874,NGC-4874,7,o007_t007,194.89878000,27.95926944,BCG; elliptical; giant elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-04-27T14:58:10.870000+00:00,2025-04-27T15:15:32.387000+00:00,2026-07-16T15:07:19.878544+00:00,F150W,NIRCAM,jw05989-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o007_t007_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-04-27T18:58:29.993088+00:00,200,"Wed, 08 Jul 2026 00:03:02 GMT",F356W,NIRCAM,jw05989-o007_t007_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o007_t007_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-04-27T18:58:29.993088+00:00,200,"Wed, 08 Jul 2026 00:02:49 GMT",F150W,NIRISS,jw05989-o007_t007_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o007_t007_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-04-27T18:54:42.999552+00:00,200,"Wed, 08 Jul 2026 00:09:11 GMT",yes,
5989,NGC 4875,NGC-4875,8,o008_t008,194.90795000,27.90733056,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T17:02:22.061000+00:00,2025-05-02T17:19:54.394000+00:00,2026-07-16T15:07:19.878553+00:00,F150W,NIRCAM,jw05989-o008_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o008_t008_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-02T22:43:26.993280+00:00,200,"Wed, 08 Jul 2026 03:23:15 GMT",F356W,NIRCAM,jw05989-o008_t008_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o008_t008_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T22:43:26.993280+00:00,200,"Wed, 08 Jul 2026 03:19:21 GMT",F150W,NIRISS,jw05989-o008_t008_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o008_t008_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T22:43:29.993088+00:00,200,"Tue, 07 Jul 2026 23:43:51 GMT",yes,
5989,NGC 4898,NGC-4898,9,o009_t009,195.07500000,27.95721944,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T17:38:08.796000+00:00,2025-05-02T17:55:35.640000+00:00,2026-07-16T15:07:19.878562+00:00,F150W,NIRCAM,jw05989-o009_t009_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o009_t009_nircam_clear-f150w_i2d.fits,773.048,1290522240,PUBLIC,2026-05-02T22:47:04.986528+00:00,200,"Wed, 08 Jul 2026 01:15:43 GMT",F356W,NIRCAM,jw05989-o009_t009_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o009_t009_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T22:47:04.986528+00:00,200,"Wed, 08 Jul 2026 01:12:55 GMT",F150W,NIRISS,jw05989-o009_t009_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o009_t009_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T22:47:37.986144+00:00,200,"Wed, 08 Jul 2026 01:14:42 GMT",yes,
5989,IC 4012,IC-4012,10,o010_t010,195.03329000,28.07856944,elliptical,,NIRCam target-centered galaxy; NIRISS coordinated parallel field,SBF signal candidate,long-wave color candidate,auxiliary parallel field; not centered on named target,2025-05-02T18:12:22.057000+00:00,2025-05-02T18:29:43.574000+00:00,2026-07-16T15:07:19.878571+00:00,F150W,NIRCAM,jw05989-o010_t010_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o010_t010_nircam_clear-f150w_i2d.fits,773.048,1290401280,PUBLIC,2026-05-02T22:50:40.991712+00:00,200,"Wed, 08 Jul 2026 02:02:22 GMT",F356W,NIRCAM,jw05989-o010_t010_nircam_clear-f356w_i2d.fits,mast:JWST/product/jw05989-o010_t010_nircam_clear-f356w_i2d.fits,773.048,306570240,PUBLIC,2026-05-02T22:50:40.991712+00:00,200,"Wed, 08 Jul 2026 02:02:10 GMT",F150W,NIRISS,jw05989-o010_t010_niriss_clear-f150w_i2d.fits,mast:JWST/product/jw05989-o010_t010_niriss_clear-f150w_i2d.fits,687.152,128972160,PUBLIC,2026-05-02T22:47:39.986304+00:00,200,"Tue, 07 Jul 2026 23:53:53 GMT",yes,
