summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.5414898977636483,0.01134274793192075,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.54754551419813,0.0160410679599017,simple annulus-matched diagnostic color summary
