model_intensity,residual_median,residual_sigma,n_pixels,residual_sigma_monotonic
0.5186923146247864,-0.00018111415556631982,0.1252288520336151,8085,0.1252288520336151
0.588310718536377,0.0025244003627449274,0.13920506834983826,8084,0.13920506834983826
0.6488744020462036,0.004684174433350563,0.15100419521331787,8084,0.15100419521331787
0.7191863059997559,-0.0018266792176291347,0.1561994105577469,8084,0.1561994105577469
0.8038642406463623,0.001266086590476334,0.1730014830827713,8084,0.1730014830827713
0.9085147380828857,0.00025575808831490576,0.18792743980884552,8084,0.18792743980884552
1.0395499467849731,-0.0016194934723898768,0.20310838520526886,8084,0.20310838520526886
1.2002898454666138,-0.00915822945535183,0.23814234137535095,8084,0.23814234137535095
1.3839714527130127,-0.0029826515819877386,0.2611275017261505,8084,0.2611275017261505
1.605074405670166,-0.00851658545434475,0.28034597635269165,8084,0.28034597635269165
1.8606654405593872,-0.017755066975951195,0.31616559624671936,8084,0.31616559624671936
2.1025891304016113,-0.0025815123226493597,0.33321911096572876,8084,0.33321911096572876
2.4260506629943848,0.06385716050863266,0.3713904619216919,8084,0.3713904619216919
2.8807411193847656,0.01737591065466404,0.42322295904159546,8084,0.42322295904159546
3.3270137310028076,0.049638476222753525,0.46131888031959534,8084,0.46131888031959534
4.079573631286621,0.11676438897848129,0.5024731755256653,8084,0.5024731755256653
5.180912971496582,0.1841937005519867,0.5730071663856506,8084,0.5730071663856506
6.6280999183654785,0.4726451337337494,0.7185990214347839,8084,0.7185990214347839
9.470203399658203,1.5589112043380737,1.2141705751419067,8084,1.2141705751419067
19.892318725585938,7.607048988342285,9.360577583312988,8085,9.360577583312988
