schema_version,pipeline_version,record_type,target_id,program_id,observation_id,signal_filter,color_filter,method_id,method_variant,quantity_family,quantity_name,primary_unit,region,role,status,ring_qc_status,ring_qc_reasons,ring_k_stability_mag,selected_for_final,selection_reason,rin_arcsec,rout_arcsec,usable_fraction,kmin,kmax,mbar_spec_raw,mbar_spec,P0,Pr,P_fluc,Pr_over_P0,Imean,n_detected_sources,m_lim,lf_gamma,lf_fit_method,psf_method,psf_detector_set,psf_opd_corr_id,psf_opd_delta_days,psf_input_count,psf_extension,psf_native_scale_rel_error,psf_method_limitations,psf_siaf_prd_version,calibration_applied,distance_computed,region_id
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3461,7763,059,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.010..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_inner_lit,science,ok,PASS,all encoded checks passed,0.0626718378747384,False,diagnostic ring or diagnostic k-window,8.2,16.4,1.0,0.01,0.25,28.362282136454628,28.433592654300337,0.2143500022167751,0.013626010421995639,0.20072399179477948,0.06356897728517617,0.29931778309401874,8218,27.625,0.32750755132348724,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.511859953703704,4,OVERDIST,0.014288523527764108,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_inner_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3461,7763,059,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.030..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_inner_lit,science,ok,PASS,all encoded checks passed,0.0626718378747384,False,diagnostic ring or diagnostic k-window,8.2,16.4,1.0,0.03,0.25,28.577521257355986,28.665113547503758,0.17580363235526347,0.013626010421995639,0.16217762193326785,0.07750699026775645,0.29931778309401874,8218,27.625,0.32750755132348724,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.511859953703704,4,OVERDIST,0.014288523527764108,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_inner_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3461,7763,059,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.040..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_inner_lit,science,ok,PASS,all encoded checks passed,0.0626718378747384,True,single_annulus_qc_rank_then_k03_k04_stability_v1,8.2,16.4,1.0,0.04,0.25,28.635204137903617,28.727785385378496,0.16670732842551825,0.013626010421995639,0.15308131800352262,0.08173612132524509,0.29931778309401874,8218,27.625,0.32750755132348724,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.511859953703704,4,OVERDIST,0.014288523527764108,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_inner_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3461,7763,059,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.010..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_outer_lit,science,ok,WARN,k03-k04 shift>0.15 mag,0.20228922960028228,False,diagnostic ring or diagnostic k-window,16.4,32.8,0.8220679071699448,0.01,0.25,27.32803386375114,27.348072942992676,0.11746209367700482,0.0021480754348718874,0.11531401824213293,0.018287392703714503,0.06327140173858158,12505,28.125,0.26138384529821734,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.511859953703704,4,OVERDIST,0.014288523527764108,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_outer_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3461,7763,059,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.030..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_outer_lit,science,ok,WARN,k03-k04 shift>0.15 mag,0.20228922960028228,False,diagnostic ring or diagnostic k-window,16.4,32.8,0.8220679071699448,0.03,0.25,28.120067087803008,28.16204865625633,0.056634940416350074,0.0021480754348718874,0.054486864981478186,0.037928448747016855,0.06327140173858158,12505,28.125,0.26138384529821734,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.511859953703704,4,OVERDIST,0.014288523527764108,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_outer_lit
sbf-table-2,sbf-3.1,11_sbf:comparison,IC 3461,7763,059,F150W,F115W,fft_psf_window_pr_corrected_v1,k=0.040..0.250,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,circular_outer_lit,science,ok,WARN,k03-k04 shift>0.15 mag,0.20228922960028228,False,diagnostic ring or diagnostic k-window,16.4,32.8,0.8220679071699448,0.04,0.25,28.313955097790902,28.364337885856614,0.04737282063820533,0.0021480754348718874,0.045224745203333444,0.04534404761914267,0.06327140173858158,12505,28.125,0.26138384529821734,local_histogram,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026062201,-7.511859953703704,4,OVERDIST,0.014288523527764108,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,False,False,circular_outer_lit
