galaxy,status,production_closure,candidate_physical_fit,mbar_no_winsor,mbar_raw_global_3p5,mbar_normalized_full_3p5,mbar_normalized_union,mbar_candidate,candidate_minus_no_winsor,candidate_minus_raw_global_3p5,normalized_full_minus_raw_global_3p5,normalized_union_minus_raw_global_3p5,annulus_abs_no_winsor,annulus_abs_raw_global_3p5,annulus_abs_candidate,annulus_abs_normalized_union,candidate_k_window_span,candidate_changed_inner,candidate_changed_outer,candidate_changed_abs_difference
NGC 1380,ready_for_scientific_comparison,True,True,28.087325649809497,28.119741892231684,28.09615266996923,28.096685864146473,28.09615266996923,0.008827020159731802,-0.023589222262454967,-0.023589222262454967,-0.02305602808521101,0.1039468868893145,0.0458423572542869,0.0991702995227292,0.0989754137501783,0.007407122053155746,0.0029129591118876,0.0023927095038297,0.0005202496080579
NGC 1399,ready_for_scientific_comparison,True,True,28.147249425137023,28.186334446132506,28.163689900008688,28.163643915375307,28.163689900008688,0.01644047487166489,-0.022644546123817832,-0.022644546123817832,-0.022690530757198957,0.0798109870269918,0.0185383974320174,0.0470168698731932,0.0470341323759591,0.003352500060028518,0.0021746444788107,0.0019458590051682,0.00022878547364250023
NGC 1404,ready_for_scientific_comparison,True,True,28.172080608367526,28.21231633310232,28.182952140722463,28.182864518406824,28.182952140722463,0.010871532354936875,-0.029364192379855325,-0.029364192379855325,-0.02945181469549496,0.1275748145182049,0.0261402193445619,0.1098843835100851,0.1099205437439252,0.0032652283026237683,0.0028944541457121,0.0022570937695149,0.0006373603761971997
NGC 1549,ready_for_scientific_comparison,True,True,27.923322861297414,27.991928614400297,27.93623163899253,27.93082299928624,27.93623163899253,0.012908777695116669,-0.0556969754077663,-0.0556969754077663,-0.061105615114058764,0.1479048572633452,0.0463254760193017,0.1333736651536021,0.137094272815478,0.004313963041802538,0.0069969701929996,0.005044932791347,0.0019520374016525994
NGC 3379,ready_for_scientific_comparison,True,True,27.011527533085644,27.05461085582799,27.024344778597968,27.0235130577881,27.024344778597968,0.012817245512323439,-0.030266077230020727,-0.030266077230020727,-0.031097798039887437,0.286805636272387,0.1680011198953686,0.2692869490958003,0.2701642286068946,0.004967251212026014,0.0071289064010156,0.0034752552728687,0.0036536511281469
NGC 4374,ready_for_scientific_comparison,True,True,27.959984149440825,27.985434948362855,27.967384875266827,27.967525486665046,27.967384875266827,0.0074007258260024855,-0.018050073096027575,-0.018050073096027575,-0.017909461697808382,0.1034446388132472,0.0428381714235222,0.093871527929366,0.0937898897197335,0.005065696269248576,0.0023511466847445,0.0017243623877507,0.0006267842969938
NGC 4406,ready_for_scientific_comparison,True,True,27.85863845046808,27.87845835537498,27.864553561002513,27.864859913460776,27.864553561002513,0.005915110534431278,-0.013904794372468388,-0.013904794372468388,-0.013598441914204784,0.1034950919317871,0.061576510742352,0.0965294713317561,0.0963146280376179,0.005387420894447104,0.0022217459747235,0.0014171035745148,0.0008046424002087001
NGC 4472,ready_for_scientific_comparison,True,True,27.71898033937821,27.774798073260968,27.724240677169863,27.722416663845905,27.724240677169863,0.005260337791654024,-0.05055739609110432,-0.05055739609110432,-0.05238140941506231,0.0360318054693635,0.0393793449921631,0.029474764129997,0.0316354371034712,0.01163906746051424,0.0015555751225382,0.0002454116780899,0.0013101634444483
NGC 4486,ready_for_scientific_comparison,True,True,27.812859547786775,27.890079422774967,27.81940944898372,27.81785857302209,27.81940944898372,0.006549901196944319,-0.07066997379124729,-0.07066997379124729,-0.07222084975287757,0.066316893506432,0.0686827438878197,0.0535081712753182,0.0558750859157974,0.009058976974998245,0.0030597948578577,0.0004438524265542,0.0026159424313035
NGC 4552,ready_for_scientific_comparison,True,True,27.86107413072546,27.896802443857105,27.871676655290575,27.87119864594155,27.871676655290575,0.010602524565115345,-0.02512578856653036,-0.02512578856653036,-0.025603797915554338,0.1897878025612946,0.0857909612640028,0.1747174204688235,0.175124794265006,0.0039939828881969675,0.0043865138262483,0.0025698545276137,0.0018166592986345997
NGC 4621,ready_for_scientific_comparison,True,True,27.693160455345,27.73405541730899,27.7043464482745,27.703629998909857,27.7043464482745,0.011185992929497957,-0.02970896903449116,-0.02970896903449116,-0.030425418399133264,0.1849516702283899,0.0718590139129524,0.173211306601086,0.1738167924583749,0.0031224599757031513,0.0055742688899759,0.0031626316137076,0.0024116372762683
NGC 4636,ready_for_scientific_comparison,True,True,27.89780553967666,27.94053744264623,27.905385850346313,27.903959036159943,27.905385850346313,0.00758031066965259,-0.03515159229991838,-0.03515159229991838,-0.03657840648628863,0.1232305831113222,0.0219528607422141,0.1099153933797723,0.1114752018798519,0.011516964936255647,0.0033246856357763,0.0016990812872723,0.001625604348504
NGC 4649,ready_for_scientific_comparison,True,True,27.879353666728832,27.974186647197744,27.88620541106203,27.88476735515717,27.88620541106203,0.0068517443331970185,-0.08798123613571462,-0.08798123613571462,-0.0894192920405743,0.0545673024896267,0.1186952347938188,0.0428015496205915,0.0446557122622124,0.00818592524363737,0.0019202887373908,0.0005711674663011,0.0013491212710897
NGC 4697,ready_for_scientific_comparison,True,True,27.09838937636317,27.12425953493368,27.110189593437784,27.110801357347825,27.110189593437784,0.011800217074615205,-0.014069941495897353,-0.014069941495897353,-0.0134581775858571,0.1872489117416016,0.113931065486355,0.173425579920341,0.1728945596706275,0.0033487077812317523,0.0061957289216626,0.0033747876398856,0.0028209412817769997
