galaxy,ring,branch,space,sigma,threshold_median,threshold_scale,threshold_n_pixels,lower,upper,changed_pixels,changed_fraction,subtracted_mean,n_use
NGC 1380,inner,no_winsor,none,,,,,,,0,0.0,-0.0007805632804745,646765
NGC 1380,inner,raw_global_3p5,raw,3.5,-0.0712094828486442,0.5905730128288269,3318734.0,-2.1382150277495384,1.99579606205225,14707,0.0227393257210888,-0.002700623032942,646765
NGC 1380,inner,normalized_full_3p5,normalized_full,3.5,-0.029434856160153,0.2142370706549096,3318734.0,-0.7792646034523366,0.7203948911320305,1884,0.0029129591118876,-0.0010857914065548,646765
NGC 1380,inner,normalized_union_3p5,normalized_union,3.5,-0.0284319513094918,0.2120149448881794,2586825.0,-0.77048425841812,0.7136203557991361,1995,0.0030845824990529,-0.0011060798150615,646765
NGC 1380,outer,no_winsor,none,,,,,,,0,0.0,-0.0108945897132784,1940060
NGC 1380,outer,raw_global_3p5,raw,3.5,-0.0712094828486442,0.5905730128288269,3318734.0,-2.1382150277495384,1.99579606205225,3849,0.0019839592589919,-0.0110960548876632,1940060
NGC 1380,outer,normalized_full_3p5,normalized_full,3.5,-0.029434856160153,0.2142370706549096,3318734.0,-0.7792646034523366,0.7203948911320305,4642,0.0023927095038297,-0.0111236076932048,1940060
NGC 1380,outer,normalized_union_3p5,normalized_union,3.5,-0.0284319513094918,0.2120149448881794,2586825.0,-0.77048425841812,0.7136203557991361,4956,0.0025545601682422,-0.0111403476964691,1940060
NGC 1399,inner,no_winsor,none,,,,,,,0,0.0,0.0001678843566196,647922
NGC 1399,inner,raw_global_3p5,raw,3.5,-0.0593656152486801,0.5900931358337402,3620940.0,-2.124691590666771,2.0059603601694107,17833,0.0275233747272048,-0.0017108308911478,647922
NGC 1399,inner,normalized_full_3p5,normalized_full,3.5,-0.021341877684444,0.1899524306600548,3620940.0,-0.6861753849946359,0.6434916296257478,1409,0.0021746444788107,-0.0002558143610697,647922
NGC 1399,inner,normalized_union_3p5,normalized_union,3.5,-0.020116413044063,0.1898053851532581,2968234.0,-0.6844352610804666,0.6442024349923404,1402,0.0021638407092211,-0.0002542548944872,647922
NGC 1399,outer,no_winsor,none,,,,,,,0,0.0,-0.0066857385656143,2320312
NGC 1399,outer,raw_global_3p5,raw,3.5,-0.0593656152486801,0.5900931358337402,3620940.0,-2.124691590666771,2.0059603601694107,2173,0.000936511986319,-0.0067611679123151,2320312
