branch,branch_label,zero_point_all_14_mag,intrinsic_scatter_all_14_mag,loo_rmse_vs_trgb_mpc,loo_median_abs_vs_trgb_mpc,median_internal_sigma_distance_mpc,median_absolute_sigma_distance_mpc,within_combined_1sigma_count
no_winsor,Без винзорирования,-3.217518693044646,0.08075558257574464,0.6923835678765736,0.5692345612981242,0.6638339853977733,0.7527442546505434,8.0
raw_global_3p5,"До нормировки, 3.5 sigma",-3.1721536949449645,0.08373390746441134,0.717859050499935,0.5652429000367656,0.6819268450425704,0.7747358018046486,9.0
normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",-3.2078190480376545,0.08052490128980899,0.6868051540714446,0.5631779284921974,0.6632431166626516,0.7519518016482676,8.0
normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",-3.208690247772185,0.08077628671659844,0.6884441780692461,0.5614369186799077,0.6632164654828662,0.7519507753796161,8.0
