region,role,shape,rin_px,rout_px,rin_arcsec,rout_arcsec,resid_source,model_source,region_pixels,usable_pixels,usable_fraction,kmin,kmax,status,measurement_ok,failure_reason,region_name,region_role,n_use,Imean,P0,P1,P_fluc,Pr,Pr_over_P0,frac,corr,n_fit,fit_resid_std,P0_fit_sigma,mbar_fit_sigma_raw,mbar_fit_sigma,Pf_spec_raw,Pf_spec,Pf_spec_sigma_formal_raw,Pf_spec_sigma_formal,mbar_spec_raw,mbar_spec,n_detected_sources,n_detected_sources_total,m_lim,m_lim_method,lf_model,lf_gamma,lf_phi_mlim,lf_fit_method,lf_fit_rmse,lf_n_fit_bins,lf_n_fit_sources,lf_fit_mbright,lf_fit_mfaint,pr_note
circular_inner_lit,science,circle,262.6196951416756,525.2393902833512,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650037,650037,1.0,0.01,0.25,ok,True,,circular_inner_lit,science,650037,0.35919356218970033,0.3544410369652512,-0.042389853163772015,0.3481026684827877,0.006338368482463488,0.017882716224771937,1.1358426289154526,0.9691318908807859,27,0.012379389504076523,0.018033645387023078,0.05524129448470143,0.05624714623935303,0.9867689019940197,0.9691227937402308,0.05020592595559661,0.0502059259555966,28.01421987978642,28.033811494700604,8184,8184,27.625,region_turnover_hist,combined_power_law,0.11554671137946487,0.005008759443638932,local_histogram,0.014979132209553395,6,4024,26.125,27.625,local combined contaminant LF
circular_inner_lit,science,circle,262.6196951416756,525.2393902833512,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650037,650037,1.0,0.03,0.25,ok,True,,circular_inner_lit,science,650037,0.35919356218970033,0.2999398655016818,-0.031083319515272132,0.2936014970192183,0.006338368482463488,0.021132130841833522,1.115613028506449,0.991004404367331,25,0.004644337173936611,0.008445896645881674,0.030572847509753805,0.031232864488694147,0.835036863336863,0.8173907550830741,0.02351349671857748,0.023513496718577477,28.195494394994107,28.218684211881165,8184,8184,27.625,region_turnover_hist,combined_power_law,0.11554671137946487,0.005008759443638932,local_histogram,0.014979132209553395,6,4024,26.125,27.625,local combined contaminant LF
circular_inner_lit,science,circle,262.6196951416756,525.2393902833512,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650037,650037,1.0,0.04,0.25,ok,True,,circular_inner_lit,science,650037,0.35919356218970033,0.2914538550603291,-0.029455256670882196,0.2851154865778656,0.006338368482463488,0.02174741686347393,1.112425245218673,0.990772924035834,24,0.00423479286076496,0.00850016282245881,0.03166516538534803,0.03236910991210622,0.8114116892395862,0.7937655809857973,0.023664574528119275,0.023664574528119275,28.226655365704445,28.25052785731518,8184,8184,27.625,region_turnover_hist,combined_power_law,0.11554671137946487,0.005008759443638932,local_histogram,0.014979132209553395,6,4024,26.125,27.625,local combined contaminant LF
circular_outer_lit,science,circle,525.2393902833512,1050.4787805667024,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600052,2287355,0.8797343283903553,0.01,0.25,ok,True,,circular_outer_lit,science,2287355,0.1213116123868746,0.16660003276761717,-0.022926580603023206,0.16406511688123218,0.002534915886384998,0.015215578558263774,1.159574230712841,0.8937910710087301,27,0.011219744316372855,0.0167192046375143,0.10895943709104544,0.11064293333512275,1.373323043768583,1.3524271391102483,0.1378203150428429,0.1378203150428429,27.655326746929287,27.671973822525796,17312,17312,28.125,region_turnover_hist,combined_power_law,0.23218907836666605,0.0041742280418507055,local_histogram,0.04717724164077993,6,10312,26.625,28.125,local combined contaminant LF
circular_outer_lit,science,circle,525.2393902833512,1050.4787805667024,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600052,2287355,0.8797343283903553,0.03,0.25,ok,True,,circular_outer_lit,science,2287355,0.1213116123868746,0.11526534594968658,-0.012372555468753443,0.11273043006330159,0.002534915886384998,0.021992003455153734,1.1202470592052431,0.984603536337024,25,0.0022982257753359093,0.0042669820894085655,0.040192625991402456,0.04109641857060157,0.9501592113217828,0.929263306663448,0.03517373156166404,0.03517373156166404,28.055267557964697,28.079411543590012,17312,17312,28.125,region_turnover_hist,combined_power_law,0.23218907836666605,0.0041742280418507055,local_histogram,0.04717724164077993,6,10312,26.625,28.125,local combined contaminant LF
circular_outer_lit,science,circle,525.2393902833512,1050.4787805667024,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600052,2287355,0.8797343283903553,0.04,0.25,ok,True,,circular_outer_lit,science,2287355,0.1213116123868746,0.10843692407005544,-0.011073309567612093,0.10590200818367045,0.002534915886384998,0.023376870084836795,1.113731496352102,0.9893620737445907,24,0.0016551273145623013,0.0033993508911904177,0.03403636138607009,0.034851070329479844,0.8938709323575675,0.8729750276992327,0.028021644624997274,0.028021644624997274,28.121571478520465,28.14725396424418,17312,17312,28.125,region_turnover_hist,combined_power_law,0.23218907836666605,0.0041742280418507055,local_histogram,0.04717724164077993,6,10312,26.625,28.125,local combined contaminant LF
