radius_type,r_in_px,r_out_px,r_mid_px,r_mid_arcsec,n_pix,img_median,img_mean,img_std,model_median,model_mean,model_std,resid_raw_median,resid_raw_mean,resid_raw_std,resid_clip_median,resid_clip_mean,resid_clip_std,science_resid_name,science_model_name
ellipse,0.0,75.20458608797395,37.602293043986975,1.174188139217048,10309,171.83483713055472,200.55652618939962,101.82426465394022,175.502197265625,194.93263755204063,67.48910733581991,0.21596519742828946,5.6238886373589905,51.894098497071205,0.21596519649028778,-0.03269147217903562,2.0157985798200477,resid_full_clip_3p5sigma,model_full
ellipse,75.20458608797395,150.4091721759479,112.80687913196093,3.5225644176511435,31902,88.62968838074474,93.9864724933358,20.94295369099517,89.08056640625,93.91533134923924,20.36205116909398,0.488680262166433,0.07114114409655976,5.200980402803756,0.48868025839328766,0.16333940880415385,1.750735715732262,resid_full_clip_3p5sigma,model_full
ellipse,150.4091721759479,225.61375826392185,188.01146521993488,5.870940696085239,53237,54.900359623805194,55.87793605575397,8.4293676994044,54.8074951171875,55.79932513382907,8.226199042929407,0.005219092401823389,0.07861092192489914,1.9351845441843563,0.005219092592597008,0.011362251564476036,1.3548898688650546,resid_full_clip_3p5sigma,model_full
ellipse,225.61375826392185,300.8183443518958,263.21605130790886,8.219316974519336,74573,36.659754510134626,37.01880405336099,5.121477932354888,36.67092514038086,37.03366810164836,4.946579886515,-0.07943355586350975,-0.014864048287362755,1.5260677055547738,-0.07943355292081833,-0.05040284199489163,1.2201426806766995,resid_full_clip_3p5sigma,model_full
ellipse,300.8183443518958,376.02293043986975,338.42063739588275,10.567693252953429,95842,26.09884143290753,26.346188427645696,3.4478726478109993,26.08466339111328,26.321470453341096,3.235237540371604,-0.03437724096969497,0.024717974304597143,1.3320573608297825,-0.034377241507172585,-0.006764242871362896,1.0768303167799151,resid_full_clip_3p5sigma,model_full
ellipse,376.02293043986975,451.2275165278437,413.62522348385676,12.916069531387528,117174,19.726268023879836,19.931313337200983,2.398302632390171,19.765466690063477,19.92409381722884,2.0991353930671313,-0.059953647573056656,0.007219519972145758,1.2025381244600843,-0.05995364673435688,-0.016015346298210553,0.9538778183515141,resid_full_clip_3p5sigma,model_full
ellipse,451.2275165278437,526.4321026158177,488.8298095718307,15.264445809821623,138438,15.644979908117715,15.8048007087928,1.657216071401401,15.595080375671387,15.783929365427545,1.3741358590441168,-0.045532276978509145,0.020871343365258838,0.9781789464668195,-0.04553227685391903,0.005255420952617839,0.8699044359307512,resid_full_clip_3p5sigma,model_full
ellipse,526.4321026158177,601.6366887037916,564.0343956598047,17.61282208825572,159759,12.815132100896493,12.916772453254383,1.2717279157174197,12.86346435546875,12.915052743949865,0.8821036970513961,-0.07088274879616563,0.0017197093045174339,0.9341763315839869,-0.07088274508714676,-0.0158897688772076,0.8125560346841441,resid_full_clip_3p5sigma,model_full
ellipse,601.6366887037916,676.8412747917655,639.2389817477786,19.961198366689814,181086,10.641223820264448,10.725043014511984,1.2369815117363903,10.6397705078125,10.736887787623978,0.6396206579162688,-0.08673707220942362,-0.011844773111993147,1.0702431208858654,-0.08673707395792007,-0.03370846145692161,0.732730746919238,resid_full_clip_3p5sigma,model_full
ellipse,676.8412747917655,752.0458608797395,714.4435678357524,22.309574645123906,202347,8.984321720613483,9.04054195870034,0.8809746633061871,8.987441062927246,9.035949810520705,0.47103421735286344,-0.05661663908375125,0.004592148179635235,0.7485048915268634,-0.056616637855768204,-0.0020511857966048035,0.6746545680238953,resid_full_clip_3p5sigma,model_full
