region,n_pix,resid_raw_median,resid_raw_mean,resid_raw_std,resid_clip_median,resid_clip_mean,resid_clip_std,raw_sign,clip_sign
elliptical_chosen,126665,-0.059848810164936594,0.009324380399526329,1.1352976234904475,-0.059848811477422714,-0.011022932498497848,0.9092729599173954,negative,negative
circular_inner_lit,649908,-0.06361987785070644,0.00503835477654169,1.0056859949138868,-0.06361987814307213,-0.01190989376936269,0.8347892523998031,negative,negative
circular_outer_lit,2561511,-0.18109376697659485,-0.10727517910510584,0.8510788072458417,-0.18109376728534698,-0.11744438067820467,0.5340633831067834,negative,negative
