region,n_use,resid_median,resid_mean,resid_std,resid_p01,resid_p99,model_mean,science_resid_name,science_model_name
elliptical_chosen,126665,-0.059848811477422714,-0.011022929102182388,0.9092729687690735,-1.9529099464416504,2.0326242446899414,17.843801498413086,resid_full_clip_3p5sigma,model_full
circular_inner_lit,649908,-0.06361988186836243,-0.011909893713891506,0.8347892165184021,-1.8552545309066772,2.0326242446899414,14.628067016601562,resid_full_clip_3p5sigma,model_full
circular_outer_lit,2561511,-0.18109376728534698,-0.11744437366724014,0.5340633988380432,-1.1344753503799438,1.5264729261398315,4.906818389892578,resid_full_clip_3p5sigma,model_full
