sma,intens,x0_crop,y0_crop,x0_full,y0_full,eps,pa,grad,real_data_frac,sampled_real,sampled_total,pa_unwrap
20.0,66.04306545200262,1086.0289085608717,3024.7475038446582,1086.0289085608717,3083.7475038446582,0.30322254015863714,1.293591349331571,-2.2911360562261223,1.0,105,105,1.293591349331571
30.0,43.238606612515085,1086.863469132755,3024.086642044578,1086.863469132755,3083.086642044578,0.11624392743886336,1.0483530816122417,-1.1214072778407218,1.0,178,178,1.0483530816122417
40.0,33.72755204162409,1087.983630432356,3026.032006235549,1087.983630432356,3085.032006235549,0.11624392743886336,1.0483530816122417,-0.7773863900418849,1.0,238,238,1.0483530816122417
50.0,26.923194959345324,1087.983630432356,3026.032006235549,1087.983630432356,3085.032006235549,0.11624392743886336,1.0483530816122417,-0.4512809860535583,1.0,297,297,1.0483530816122417
60.0,24.01247236629449,1085.5426371021972,3025.227856100011,1085.5426371021972,3084.227856100011,0.22953895973706712,1.3286019052120972,-0.3377987479141063,1.0,332,332,1.3286019052120972
70.0,20.673830001380775,1085.9001407214357,3024.8298022366885,1085.9001407214357,3083.8298022366885,0.24139062742451683,1.277571993424745,-0.3095535244253997,1.0,384,384,1.277571993424745
80.0,18.10466530902958,1085.8230700227962,3025.765482190803,1085.8230700227962,3084.765482190803,0.2630898999553348,1.3135913659207483,-0.23846273114431457,1.0,431,431,1.3135913659207483
90.0,16.163347436810888,1085.916730058422,3024.9664719884927,1085.916730058422,3083.9664719884927,0.28771681240971964,1.2870682631701638,-0.21755166038398738,1.0,477,477,1.2870682631701638
100.0,13.987506780826369,1085.916730058422,3024.9664719884927,1085.916730058422,3083.9664719884927,0.28771681240971964,1.2870682631701638,-0.1517841172483777,1.0,529,529,1.2870682631701638
110.0,13.053844057871062,1086.095468840809,3025.5794412778623,1086.095468840809,3084.5794412778623,0.3281014326344822,1.2990449095179748,-0.13402225133529522,1.0,564,564,1.2990449095179748
120.0,12.029823928696535,1086.0986836244406,3025.134413052324,1086.0986836244406,3084.134413052324,0.3502233921782698,1.2725103388787498,-0.12153496600574847,1.0,604,604,1.2725103388787498
130.0,10.82303571862837,1085.9648061998732,3023.82344948333,1085.9648061998732,3082.82344948333,0.34841947442253507,1.2895312397893892,-0.09637114414815154,1.0,656,656,1.2895312397893892
140.0,9.913538348717385,1085.0682901308594,3024.1115765435893,1085.0682901308594,3083.1115765435893,0.3643204165661419,1.2598372919224854,-0.08381181162044195,1.0,696,696,1.2598372919224854
150.0,9.137830400969785,1085.8207965961421,3025.7561760088406,1085.8207965961421,3084.7561760088406,0.3678847818665964,1.279036187702247,-0.0793281159946415,1.0,744,744,1.279036187702247
160.0,8.447203151384125,1086.1922188315473,3025.8653599338572,1086.1922188315473,3084.8653599338572,0.38392806370721305,1.2909756265939816,-0.06919425030926113,1.0,782,782,1.2909756265939816
170.0,8.002506239544518,1085.8731752500075,3023.4875436766515,1085.8731752500075,3082.4875436766515,0.4046530618652569,1.2845092071328206,-0.05996578885583137,1.0,815,815,1.2845092071328206
180.0,7.3893096769991695,1085.8731752500075,3023.4875436766515,1085.8731752500075,3082.4875436766515,0.4046530618652569,1.2662589181297523,-0.04879785268780389,1.0,863,863,1.2662589181297523
190.0,6.951809996823712,1086.1600310289557,3023.081968073567,1086.1600310289557,3082.081968073567,0.41839805926072293,1.271637338918538,-0.04111791130466372,1.0,899,899,1.271637338918538
200.0,6.551358844751654,1086.1600310289557,3023.081968073567,1086.1600310289557,3082.081968073567,0.41839805926072293,1.271637338918538,-0.04237808651924233,1.0,946,946,1.271637338918538
210.0,6.383607950661482,1085.4442782827937,3023.5354275310133,1085.4442782827937,3082.5354275310133,0.4475903562864568,1.2719862582537014,-0.039481214931124185,1.0,965,965,1.2719862582537014
220.0,5.969829618646455,1083.4907021090648,3022.1905443341366,1083.4907021090648,3081.1905443341366,0.4475903562864568,1.2719862582537014,-0.03325095134235497,1.0,1011,1011,1.2719862582537014
230.0,5.651408018236608,1083.8465274006098,3022.0809384255826,1083.8465274006098,3081.0809384255826,0.4529494123351859,1.283099321297217,-0.02977529223416529,1.0,1051,1051,1.283099321297217
240.0,5.380310246447854,1085.226768893889,3023.0146833047415,1085.226768893889,3082.0146833047415,0.460526861751847,1.2601894267403895,-0.02806605493592884,1.0,1088,1088,1.2601894267403895
250.0,5.1650122907069775,1084.9895749869431,3025.415302793856,1084.9895749869431,3084.415302793856,0.4635221500788506,1.2739298622076922,-0.027332600789194497,1.0,1130,1130,1.2739298622076922
260.0,4.9458271641953715,1084.9895749869431,3025.415302793856,1084.9895749869431,3084.415302793856,0.4716017507198548,1.2739298622076922,-0.023392567081693256,1.0,1165,1165,1.2739298622076922
270.0,4.747670957828213,1084.9895749869431,3025.415302793856,1084.9895749869431,3084.415302793856,0.48471014654474825,1.2739298622076922,-0.021887044958560403,1.0,1192,1192,1.2739298622076922
280.0,4.64736610580199,1084.9895749869431,3025.415302793856,1084.9895749869431,3084.415302793856,0.5028833660082409,1.2739298622076922,-0.019329322661716768,1.0,1211,1211,1.2739298622076922
290.0,4.577318502840816,1084.8804901747528,3025.058707150529,1084.8804901747528,3084.058707150529,0.5141554865787195,1.2739298622076922,-0.02213130903244773,1.0,1238,1238,1.2739298622076922
300.0,4.17194988545833,1084.8804901747528,3025.058707150529,1084.8804901747528,3084.058707150529,0.49869812466063707,1.2727437651331492,-0.018760557269209006,1.0,1304,1304,1.2727437651331492
310.0,4.169182762640269,1085.35339218178,3026.6373017789074,1085.35339218178,3085.6373017789074,0.517457762467554,1.2797326710097376,-0.02066298420273722,1.0,1318,1318,1.2797326710097376
320.0,3.9052288164586297,1084.7420611152152,3024.578630900158,1084.7420611152152,3083.578630900158,0.514131783803535,1.2767302852724964,-0.01671508344021606,1.0,1366,1366,1.2767302852724964
330.0,3.7159872749181084,1085.2908270794187,3021.377639682531,1085.2908270794187,3080.377639682531,0.511687605486778,1.2711925419770456,-0.015720750916590816,1.0,1412,1412,1.2711925419770456
340.0,3.5536318592064347,1085.0318828000431,3021.3597531664145,1085.0318828000431,3080.3597531664145,0.5189390378541889,1.276269711500113,-0.01342811915066354,1.0,1443,1443,1.276269711500113
350.0,3.4065511107888167,1085.731131680541,3021.147636578163,1085.731131680541,3080.147636578163,0.5189390378541889,1.276269711500113,-0.012842650619802436,1.0,1485,1485,1.276269711500113
360.0,3.2985919619957946,1083.4148501453346,3021.901588763985,1083.4148501453346,3080.901588763985,0.5209316007149349,1.26396058790964,-0.014015291482784908,1.0,1524,1524,1.26396058790964
370.0,3.1264874928570565,1082.853885619651,3019.67385312694,1082.853885619651,3078.67385312694,0.5177008127807804,1.273952600733389,-0.013374153843717599,1.0,1572,1572,1.273952600733389
380.0,2.9827873438922174,1082.853885619651,3019.67385312694,1082.853885619651,3078.67385312694,0.5177008127807804,1.273952600733389,-0.011985576796848628,1.0,1615,1615,1.273952600733389
390.0,2.9554111425625096,1083.2369471040788,3020.7271090105755,1083.2369471040788,3079.7271090105755,0.530418433502017,1.2765573954240286,-0.01215245357479223,1.0,1631,1631,1.2765573954240286
400.0,2.778069026761473,1083.0128822348715,3019.9467674846574,1083.0128822348715,3078.9467674846574,0.530418433502017,1.291181888788045,-0.009279824927282986,1.0,1673,1673,1.291181888788045
410.0,2.7261665442124263,1083.0128822348715,3019.9467674846574,1083.0128822348715,3078.9467674846574,0.5376967970941228,1.291181888788045,-0.00943728723618963,1.0,1699,1699,1.291181888788045
420.0,2.596968501691467,1084.5648165032333,3019.4782337935517,1084.5648165032333,3078.4782337935517,0.5370963944652054,1.2775945294137807,-0.0075862100772404574,1.0,1742,1742,1.2775945294137807
430.0,2.5462320037923987,1084.0614287688636,3026.015522095794,1084.0614287688636,3085.015522095794,0.5427517371383097,1.2895740329006535,-0.007861808416804944,1.0,1771,1771,1.2895740329006535
440.0,2.465074802813131,1086.253463852507,3025.38229104732,1086.253463852507,3084.38229104732,0.5427517371383097,1.2895740329006535,-0.007997552802689363,1.0,1812,1812,1.2895740329006535
450.0,2.4064652495514363,1084.4818285035556,3023.4618637766707,1084.4818285035556,3082.4618637766707,0.5487476054092802,1.2803252400029144,-0.008457264366635363,1.0,1839,1839,1.2803252400029144
460.0,2.2872601954453025,1086.9817318462658,3027.0170181760295,1086.9817318462658,3086.0170181760295,0.5379427203998615,1.2900177667237667,-0.007792692058859164,1.0,1906,1906,1.2900177667237667
470.0,2.211099160469145,1086.9817318462658,3027.0170181760295,1086.9817318462658,3086.0170181760295,0.5404480001750497,1.2900177667237667,-0.008017776945452047,1.0,1941,1941,1.2900177667237667
