galaxy,ring,winsor_effect_with_constant_noise,winsor_effect_with_Nk,Nk_effect_on_raw,Nk_effect_on_winsor_3p5,interaction
NGC 1380,inner,0.06416998269136798,0.07960645371011665,0.5857969411478088,0.6012334121665575,0.015436471018748676
NGC 1380,outer,0.006065453056336878,0.0015093102204737363,0.5940057590625649,0.5894496162267018,-0.004556142835863142
