galaxy,variant,sigma_limit,median,scale,lower,upper,changed_pixels,changed_fraction
NGC 1380,raw,,-0.06812780350446701,1.2636981010437012,-inf,inf,0,0.0
NGC 1380,winsor_3.0,3.0,-0.07471518963575363,0.5483563542366028,-1.719784252345562,1.5703538730740547,116965,0.03524386106268233
NGC 1380,winsor_3.5,3.5,-0.07120948284864426,0.5905730128288269,-2.1382150277495384,1.99579606205225,64130,0.019323633650663176
NGC 1380,winsor_4.0,4.0,-0.0695367380976677,0.6187265515327454,-2.544442944228649,2.4053694680333138,39883,0.01201753439715265
