galaxy,k,N_reference,N_p16,N_p84,y3168_x96,y96_x1120,y1120_x96,y2656_x1120
NGC 1380,0.004475359374598403,21.572678641220076,14.10249014965283,31.208074377015908,36.333157018236044,17.756880558545333,24.86093371118536,10.397605362883695
NGC 1380,0.013426078123795208,8.155513734371668,7.650591636745394,8.779510194797789,8.152563542665892,7.959027205344813,7.185988376243062,9.151791655448415
NGC 1380,0.022376796872992013,3.8836773561700735,3.7917667097909398,4.5122291974741735,4.989460258071087,3.702306049528455,3.792094201781656,3.880288213101155
NGC 1380,0.031327515622188815,3.2753558032422614,3.041596434101371,3.7770676807242585,4.1026592603155025,3.142485660934381,3.3281296767058888,2.876948815115167
NGC 1380,0.04027823437138563,2.8130700208611086,2.603360415504451,3.0378289092615574,3.1501199274779337,2.83879724983173,2.718551360912039,2.435815748285921
NGC 1380,0.049228953120582425,2.539357963217286,2.207370768962203,2.7741675962024375,2.84291004842032,2.3875880773153177,1.9891129375116412,2.6290298328022756
NGC 1380,0.05817967186977923,2.1562687251740584,2.098298292552058,2.1801620245723305,2.036710254367885,2.1482391716971216,2.15836565790953,2.1115684105429158
NGC 1380,0.06713039061897604,1.9918810796721536,1.916891569677955,2.1344638467551307,2.1798092600565493,1.9040841208606103,1.8836406698644337,2.0309681418961962
NGC 1380,0.07608110936817285,1.8583781267534594,1.733045325148552,1.9079245642959917,1.8760805969883163,1.8924566826229487,1.634893392693333,1.79523047040863
NGC 1380,0.08503182811736965,1.6113639173561818,1.5653437721464276,1.7248717659532382,1.5688209773256627,1.6145022109044074,1.525327063747632,1.7861932857143101
NGC 1380,0.09398254686656646,1.449852916948468,1.4235203310599407,1.491511735876392,1.3963354700726287,1.4970284918068641,1.416709057292591,1.4475417555328716
NGC 1380,0.10293326561576326,1.388817150195458,1.2373665582733036,1.5584683694931882,1.4676686033285755,1.6056382236846036,1.2760032580114598,1.1726068805586252
NGC 1380,0.11188398436496007,1.2611041361624693,1.2302235837835465,1.3139296258382775,1.3358565752060123,1.2567055107802956,1.1971981765399002,1.2346634445364943
NGC 1380,0.12083470311415687,1.2657294154598666,1.1631724347956678,1.3070194465023086,1.320369401197954,1.2592630996727867,1.2412433066448938,1.0637565591328335
