galaxy,ring,variant,mbar_constant,aicc_constant,mbar_Nk,aicc_Nk,Pn,E_N_correlation,E_N_condition_number,delta_mbar_Nk_minus_constant,delta_aicc_Nk_minus_constant,Pn_nonnegative
NGC 1380,inner,raw,28.02983784203205,660.5653061037558,28.61563478317986,16993.383702363823,-0.002960606821362681,0.9821893372508552,92.86305955441362,0.5857969411478088,16332.818396260067,False
NGC 1380,inner,winsor_3.0,28.18059054837196,690.9650364350335,28.793906726349157,16843.590443160643,0.0014886138806422457,0.9821893372508552,92.88521229244536,0.6133161779771967,16152.62540672561,True
NGC 1380,inner,winsor_3.5,28.09400782472342,681.9455297646501,28.695241236889977,17017.088884954115,-0.0006215281149391016,0.9821893372508552,93.0233539626859,0.6012334121665575,16335.143355189464,False
NGC 1380,inner,winsor_4.0,28.05812694355467,671.7012027622028,28.64864618288543,17031.93068514341,-0.002298864714981598,0.9821893372508552,92.98281447943039,0.5905192393307601,16360.229482381206,False
NGC 1380,outer,raw,28.133784728921366,1624.4405959325993,28.72779048798393,48208.87050228757,0.0028920614303912418,0.9825726157736523,91.95265974792646,0.5940057590625649,46584.42990635498,True
NGC 1380,outer,winsor_3.0,28.15540329209435,1651.6971070189186,28.735735927947076,49217.30763811076,0.00014559867576479586,0.9825726157736523,92.19822803452386,0.5803326358527272,47565.61053109184,True
NGC 1380,outer,winsor_3.5,28.139850181977703,1625.6781615438758,28.729299798204405,48551.88526446191,0.001969431787243086,0.9825726157736523,92.01897101660207,0.5894496162267018,46926.20710291804,True
NGC 1380,outer,winsor_4.0,28.13563676942515,1623.2258260363246,28.72792113328042,48311.03184747922,0.002569164787201965,0.9825726157736523,91.9671950422954,0.5922843638552706,46687.8060214429,True
