galaxy,ring,production_P0,recreated_P0,relative_P0_difference,production_P1,recreated_P1,relative_P1_difference,production_Imean,recreated_Imean,relative_Imean_difference,production_mbar,recreated_mbar,delta_mbar,production_n_use,recreated_n_use,same_n_use,same_crop,passed
NGC 1380,inner,0.9167184816803396,0.9167184716142736,-1.0980542364258383e-08,-0.0788284683667092,-0.07882847248389942,-5.2229737543627146e-08,15.03484055777508,15.03484055777508,0.0,28.09400781280119,28.09400782472342,1.192222853774183e-08,646765,646765,True,True,True
NGC 1380,outer,0.8799907193033945,0.8799907132519643,-6.876697655755493e-09,-0.07277807250486,-0.07277807224209062,3.610556952925099e-09,5.799687290071032,5.799687290071032,0.0,28.1398501745013,28.139850181977703,7.47640171994135e-09,1940060,1940060,True,True,True
