galaxy,ring,variant,noise_model,P0_129,mbar_129,aicc_129,physical_129,P0_257,mbar_257,aicc_257,physical_257,delta_P0_257_minus_129,delta_mbar_257_minus_129
NGC 1380,inner,raw,constant,0.9737224100756869,28.028508505236783,665.4510393452581,True,0.9876744251312829,28.01306158848751,665.4064127598425,True,0.013952015055595957,-0.015446916749272788
NGC 1380,inner,raw,N(k),0.5670102875643865,28.61563478317986,16993.383702363823,False,0.5751469000598264,28.600164639128142,16993.36856693277,False,0.008136612495439843,-0.015470144051718648
NGC 1380,inner,winsor_3.0,constant,0.8474904548215686,28.179262642284048,694.3077829748867,True,0.85963375390412,28.163815675733513,694.2597864165208,True,0.012143299082551406,-0.015446966550534569
NGC 1380,inner,winsor_3.0,N(k),0.4811548259148042,28.793906726349157,16843.590443160643,True,0.48806119058079844,28.7784325267441,16843.57277947027,True,0.006906364665994258,-0.015474199605055361
NGC 1380,inner,winsor_3.5,constant,0.9178321154644261,28.09268962777889,686.5438430937883,True,0.9309832866035216,28.077242713072476,686.4982691748202,True,0.013151171139095474,-0.015446914706412684
NGC 1380,inner,winsor_3.5,N(k),0.5269258462551868,28.695241236889977,17017.088884954115,False,0.5344883045271945,28.679768901961303,17017.07234232397,False,0.007562458272007744,-0.015472334928674059
NGC 1380,inner,winsor_4.0,constant,0.9486738920852942,28.056804624987073,676.4644862343549,True,0.9622669684829952,28.041357734037796,676.4199852090231,True,0.01359307639770102,-0.015446890949277758
NGC 1380,inner,winsor_4.0,N(k),0.5500305896139305,28.64864618288543,17031.93068514341,False,0.5579243021962114,28.63317454493303,17031.91433374838,False,0.007893712582280887,-0.015471637952398254
NGC 1380,outer,raw,constant,0.885986056500983,28.132468226669406,1612.7203801159765,True,0.8986811794003486,28.117000676570022,1612.628332109239,True,0.012695122899365585,-0.015467550099383942
NGC 1380,outer,raw,N(k),0.5038154334124889,28.746466280768356,48273.11205700489,True,0.5110341211752838,28.7309838510334,48273.152280249844,True,0.007218687762794884,-0.015482429734955616
NGC 1380,outer,winsor_3.0,constant,0.8685386858268365,28.154091893835727,1641.1641844162789,True,0.8809838258601939,28.138623907176424,1641.0706048376808,True,0.012445140033357394,-0.015467986659302824
NGC 1380,outer,winsor_3.0,N(k),0.49998653341899973,28.754768888366755,49284.449140026416,True,0.5071501711509647,28.73928658602079,49284.49163455701,True,0.007163637731964989,-0.015482302345965593
NGC 1380,outer,winsor_3.5,constant,0.8810549237901493,28.13853617003403,1614.4174947494873,True,0.8936793939230424,28.12306849874584,1614.3257866058423,True,0.01262447013289314,-0.015467671288188711
NGC 1380,outer,winsor_3.5,N(k),0.5030683488257083,28.748081285367363,48617.05974158764,True,0.5102761482759696,28.732599194058373,48617.101384994974,True,0.007207799450261287,-0.015482091308989254
NGC 1380,outer,winsor_4.0,constant,0.8844773226943822,28.134321182062678,1611.5826507683976,True,0.8971508261813829,28.118853597970553,1611.4917952732678,True,0.012673503487000692,-0.015467584092125009
NGC 1380,outer,winsor_4.0,N(k),0.5037554649618291,28.746595828485354,48375.511259653635,True,0.5109731253169246,28.731113752597842,48375.5525605788,True,0.007217660355095523,-0.015482075887511826
