schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,phase,dataset,n_finite,start_sma_px,minsma_px,maxsma_requested_px,step_px,linear,fix_center,fix_pa,fix_eps,status,error,n_isophotes,max_sma_px,center_delta_px,x0_median,y0_median,eps_median,pa_median_rad,last_stop_code,stop_codes,region_id
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15268276,40.0,5.0,200.0,10.0,True,False,False,False,working,,19,190.0,2.9576066675835304,1075.9447418713,2999.30772703221,0.07229579343870585,2.2572608983932008,2,0;2,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15268276,50.0,5.0,200.0,10.0,True,False,False,False,working,,19,190.0,3.256013016167363,1075.8097968366635,2998.9802483326616,0.06416157222912437,2.28911557763991,0,0;2,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15268276,60.0,5.0,200.0,10.0,True,False,False,False,working,,19,190.0,3.0158528803635636,1075.6724281313047,2999.682659903856,0.06561599470433017,2.2176642910882567,2,0;2,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15268276,70.0,5.0,200.0,10.0,True,False,False,False,working,,19,190.0,3.2918379648240026,1075.6439315836021,2999.1574304070314,0.05391970214604534,2.2135470425963963,0,0;2,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,full,real_only,15268276,40.0,5.0,2000.0,10.0,True,False,False,False,working,,199,1990.0,18.025552729099655,1084.9625262854606,2984.131366396805,0.052955542737542174,2.708574814992575,4,0;1;2;4,
