label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_err_img,snr,flux_jy,mag_ab,mask_brighter_than_mcut
5288,6600.3960915157295,1164.3877502383223,4196,507896.9299226105,507896.9299226105,507896.9299226105,456.3724052132777,1112.9001756476791,0.011640510590878573,13.73513554651093,True
5308,6003.403072421361,1256.381126554499,1367,7733.2311918661,7733.2311918661,7733.2311918661,23.243977162319595,332.69827869226725,0.00017723824320880664,18.2786720306823,True
5295,6636.135135135135,1178.2612612612613,111,5980.142153672874,5980.142153672874,5980.142153672874,74.22720819407326,80.56536543900845,0.00013705912356153723,18.557795746406843,True
289,6843.1043256997455,311.8320610687023,393,5119.632590778172,5119.632590778172,5119.632590778172,12.85618077628285,398.22344441693735,0.00011733706955748102,18.726477528034568,True
5291,6640.28,1163.83,100,4865.9624390900135,4865.9624390900135,4865.9624390900135,70.45334815979004,69.0664470346233,0.00011152319293537638,18.781652635068205,True
5427,6119.533816425121,2640.8985507246375,414,4634.48926602304,4634.48926602304,4634.48926602304,7.10221907357569,652.541018238368,0.00010621804977768702,18.834569814110406,True
5410,6029.606133979016,2556.918482647296,1239,4087.3261701986194,4087.3261701986194,4087.3261701986194,12.305533635976419,332.15350842233494,9.367759631825663e-05,18.970976275765523,True
5299,6632.593406593407,1192.1648351648353,91,3456.882545493543,3456.882545493543,3456.882545493543,67.20821068070015,51.43542002504523,7.922843299795555e-05,19.152862956246874,True
5293,6646.102272727273,1171.2613636363637,88,3417.314440906048,3417.314440906048,3417.314440906048,66.09109890820125,51.70612226697283,7.832156998426906e-05,19.16536216110049,True
2661,6756.588377723971,2029.3462469733656,413,2753.4573711529374,2753.4573711529374,2753.4573711529374,11.783935808330202,233.66194588453936,6.31066025449735e-05,19.399878622791565,True
5297,6647.75641025641,1180.9102564102564,78,2415.875089392066,2415.875089392066,2415.875089392066,62.22271231794047,38.82625812014795,5.536954036834419e-05,19.541888326339688,True
5251,5848.492882562277,371.5409252669039,562,1887.0773800760508,1887.0773800760508,1887.0773800760508,6.035474481147032,312.6642960666474,4.3250003956373106e-05,19.810100243460443,True
5289,6604.6140350877195,1208.438596491228,57,1782.6920126751065,1782.6920126751065,1782.6920126751065,53.19111140169019,33.51484798301206,4.0857591434902286e-05,19.871883719071896,True
