region,kmin,kmax,P0_model_aware,P0_window_only,P1_model_aware,P1_window_only,P_fluc_model_aware,P_fluc_window_only,mbar_spec_model_aware,mbar_spec_window_only,P0_fit_sigma_model_aware,P0_fit_sigma_window_only,fit_resid_std_model_aware,fit_resid_std_window_only,corr_model_aware,corr_window_only,n_fit_model_aware,n_fit_window_only,psf_scatter_mag_model_aware,psf_scatter_mag_window_only,delta_mbar_model_minus_window,P0_ratio_model_to_window,delta_P1_model_minus_window,fit_resid_ratio_model_to_window
circular_inner_lit,0.01,0.2,1.0286243736840093,1.0263245061695483,-0.11220957384057588,-0.1118675033694248,1.02860473064627,1.026304863131809,27.968953222294726,27.97138354864755,0.015188631846006145,0.015869256276763725,0.03647216328698715,0.03675185583881213,0.9914163342720991,0.9911337121949825,21.0,21.0,0.004152211041500869,0.006118456667887442,-0.002430326352826029,1.0022408775203513,-0.00034207047115107636,0.9923897026302109
circular_inner_lit,0.01,0.25,0.9232772998184301,0.9237526494336337,-0.08030084647364844,-0.08009450359820074,0.9232576567806908,0.9237330063958944,28.08626722057174,28.08570836089927,0.018114377890559554,0.01807529037715983,0.04515607229145716,0.04573126465504835,0.9921234749613881,0.9919065381521577,27.0,27.0,0.0022729605488205143,0.0027208480096123705,0.0005588596724699357,0.9994854146123477,-0.0002063428754476987,0.9874223385701254
circular_inner_lit,0.01,0.3,0.8465865387041308,0.8442256786915606,-0.06266923836373364,-0.06226489858811477,0.8465668956663915,0.8442060356538214,28.180421311354507,28.183453383619696,0.01815031153508014,0.018139644884484638,0.05481258819940342,0.0551747027045922,0.9922574437008213,0.9919539490024637,33.0,33.0,0.004863602417048047,0.003917570375936456,-0.0030320722651886456,1.002796479747251,-0.0004043397756188713,0.993436946871693
circular_inner_lit,0.01,0.35,0.7510458862282077,0.7512114468799468,-0.04757200416926437,-0.04762048606667282,0.7510262431904684,0.7511918038422075,28.310436733498175,28.310197413787222,0.022047323659750314,0.021744270983079562,0.06900690594823622,0.06893255312700261,0.992046024032701,0.991698571679852,38.0,38.0,0.007630640700847523,0.006528271550816721,0.00023931971095336735,0.9997796084545479,4.848189740844916e-05,1.0010786314717899
circular_inner_lit,0.01,0.4,0.5142809873492428,0.5143150638584336,-0.02153772908758725,-0.02155580445921162,0.5142613443115035,0.5142954208206943,28.721614813766408,28.721542871991236,0.02701223244403084,0.027078173687524396,0.11236790274978703,0.11207819485814602,0.990851244401451,0.9904869679328715,44.0,44.0,0.005825699674171557,0.00666675952799024,7.194177517177991e-05,0.9999337439021614,1.8075371624372977e-05,1.002584872927403
circular_inner_lit,0.01,0.5,0.21304050674848696,0.21306807345294834,-0.003294444834791311,-0.0032842611008699588,0.21302086371074772,0.2130484304152091,29.678519162579246,29.678378668206456,0.017735944026708094,0.017650182827617208,0.16575903320165247,0.16559285370697885,0.9868864003715556,0.9866811511383573,55.0,55.0,0.011057213412685861,0.007419089553286645,0.00014049437278984556,0.9998706202012594,-1.0183733921352058e-05,1.0010035426707948
circular_inner_lit,0.03,0.2,1.020275871383794,1.0176877788018,-0.10995726261532476,-0.10958633815533873,1.0202562283460548,1.0176681357640607,27.977801378953586,27.980559074359444,0.012634478357894705,0.013262013088202785,0.008007576970662346,0.008079403007804452,0.9988850221035005,0.9987655647248334,19.0,19.0,0.003832925862062614,0.005719449942549268,-0.0027576954058581293,1.0025431106041591,-0.0003709244599860301,0.9911099821270551
circular_inner_lit,0.03,0.25,0.9184078369776861,0.9189056148085105,-0.07943091756821045,-0.07923092359029336,0.9183881939399469,0.9188859717707712,28.092008785295018,28.09142046218444,0.017654507438044174,0.017592847864303006,0.018172989980176132,0.017723731567363902,0.9986381168577833,0.9986151066549427,25.0,25.0,0.0021653149021698616,0.0025570265383049787,0.0005883231105769937,0.9994582927530287,-0.00019999397791709006,1.0253478456895322
circular_inner_lit,0.03,0.3,0.8434532433780884,0.8410847166364469,-0.06226443870297652,-0.06186972450926711,0.8434336003403491,0.8410650735987076,28.18444727002334,28.187500519004587,0.017949641221180666,0.017939848274670683,0.02749912620110389,0.027918429940643245,0.9981177316623093,0.9981766395246853,31.0,31.0,0.004897103056527835,0.0039323029372273464,-0.0030532489812458152,1.0028160382596338,-0.00039471419370941396,0.984981113177538
circular_inner_lit,0.03,0.35,0.7488459819096478,0.7490314210942026,-0.04735699321161204,-0.047402698106081685,0.7488263388719085,0.7490117780564634,28.313621736487235,28.31335289830612,0.02219060231631883,0.021892548016387316,0.041821278204673636,0.04175060801303988,0.9975796587889504,0.9976162500375,36.0,36.0,0.0076552269419125196,0.006587305441861973,0.00026883818111400615,0.9997524280299431,4.5704894469644763e-05,1.0016926745500732
circular_inner_lit,0.03,0.4,0.5131896780920348,0.5132234942324803,-0.021470036928636093,-0.02148796122373491,0.5131700350542955,0.513203851194741,28.723921292701217,28.723849748776548,0.027414801310097565,0.027481413655348,0.08049374823360889,0.08054227680112533,0.9960245374502222,0.996046253104469,42.0,42.0,0.005819855428394377,0.00666594314029925,7.154392466901527e-05,0.9999341103031613,1.7924295098815934e-05,0.9993974770835412
circular_inner_lit,0.03,0.5,0.21285464814914795,0.2128819423210251,-0.003290443827469984,-0.003280251790012297,0.2128350051114087,0.21286229928328587,29.679466870185756,29.679327643226504,0.01799328435468232,0.017908706798426446,0.12844055650290184,0.12843160219399616,0.9913940578556202,0.9913825647601983,53.0,53.0,0.011044045425469984,0.007407949514424227,0.00013922695925217,0.999871787284635,-1.019203745768714e-05,1.0000697204484934
circular_inner_lit,0.04,0.2,1.0190954141421946,1.0165336344381721,-0.10966009556641988,-0.1092842661212766,1.0190757711044554,1.0165139914004329,27.979058325158388,27.981791113948074,0.013427602434320009,0.013815937369323605,0.008073914838281853,0.008180722830564745,0.998588282630066,0.9985697354488616,18.0,18.0,0.004404528244615185,0.005686102723757445,-0.0027327887896859693,1.0025201130756862,-0.00037582944514327754,0.9869439419358108
circular_inner_lit,0.04,0.25,0.916244251167022,0.9167184816803396,-0.07904647258743372,-0.07882846836670923,0.9162246081292827,0.9166988386426004,28.094569635773237,28.09400781280119,0.01801807961985406,0.017924342870822795,0.017029385843595684,0.01651297872425012,0.9983828115063085,0.9983521744038003,24.0,24.0,0.00235264345971771,0.0025137108379202117,0.0005618229720454337,0.9994826868632032,-0.0002180042207244881,1.0312728023192566
circular_inner_lit,0.04,0.3,0.8415205441704395,0.839117507504501,-0.06201904714946662,-0.06162826859357045,0.8415009011327003,0.8390978644667617,28.186938052212348,28.190042976172876,0.018065879727013727,0.018059923307267082,0.025334991219554136,0.025509655082272105,0.9978428023312289,0.9978947104318695,30.0,30.0,0.004864302886562733,0.003882388330163084,-0.003104923960528083,1.0028637665695774,-0.0003907785558961707,0.9931530292293387
circular_inner_lit,0.04,0.35,0.7471961056751099,0.7474022490551313,-0.04719680139800273,-0.04724001212850577,0.7471764626373706,0.747382606017392,28.316016559659573,28.315717050142453,0.022322284871483165,0.022059217032330845,0.03826886719589679,0.038152905452146134,0.997254269591896,0.9973430015575744,35.0,35.0,0.007656554406671923,0.006636554627851957,0.0002995095171201001,0.9997241868347573,4.321073050304186e-05,1.0030393948344538
