k,Pk,E_interp,fit_0p01,delta_0p01,fit_0p03,delta_0p03,fit_0p04,delta_0p04,branch
0.004474848167866917,18.1191232069986,0.6324989295173677,8.377222576115782,9.741900630882819,8.753874044349377,9.365249162649224,8.605412065943309,9.513711141055293,current_mask_currentopd_detdist_ref
0.01342454450360075,9.349557347517369,0.5777491641158785,7.6159027204845415,1.733654627032827,7.893740316471337,1.4558170310460312,7.763772905030493,1.585784442486876,current_mask_currentopd_detdist_ref
0.022374240839334585,8.11335813146746,0.5299732431641946,6.951557275808057,1.1618008556594042,7.143167584522049,0.9701905469454122,7.0293389631360395,1.0840191683314213,current_mask_currentopd_detdist_ref
0.031323937175068414,6.77934626429851,0.4841566965141604,6.314457802863516,0.4648884614349935,6.423377156570368,0.35596910772814194,6.32502544515686,0.4543208191416497,current_mask_currentopd_detdist_ref
0.04027363351080225,5.874458286211297,0.4454845547063035,5.776704459041743,0.09775382716955416,5.815827274770959,0.058631011440337666,5.730539080819292,0.1439192053920051,current_mask_currentopd_detdist_ref
0.04922332984653609,5.530296695313772,0.4179508630474231,5.39383622198143,0.1364604733323418,5.383265478841272,0.14703121647249962,5.3072782143173525,0.2230184809964193,current_mask_currentopd_detdist_ref
0.05817302618226991,5.001842968735427,0.39644902810971094,5.094843637254472,-0.09300066851904543,5.045465795033136,-0.043622826297709416,4.97674188813668,0.025101080598746606,current_mask_currentopd_detdist_ref
0.06712272251800375,4.583533465499833,0.3725602297415907,4.762659263651176,-0.17912579815134233,4.670166265542565,-0.08663280004273144,4.60951203671501,-0.02597857121517677,current_mask_currentopd_detdist_ref
0.07607241885373758,4.230167023075888,0.3527232539293576,4.486817286050321,-0.25665026297443294,4.358521972090698,-0.1283549490148106,4.304568708552337,-0.07440168547644976,current_mask_currentopd_detdist_ref
0.08502211518947142,3.8987590270156263,0.32987203359308814,4.169060896779415,-0.2703018697637889,3.9995230761088854,-0.10076404909325909,3.9532889949569148,-0.054529967941288504,current_mask_currentopd_detdist_ref
0.09397181152520526,3.7180998612780405,0.3079378214928633,3.864055915167677,-0.14595605388963673,3.6549306293014174,0.06316923197662305,3.61610596354223,0.10199389773581036,current_mask_currentopd_detdist_ref
0.10292150786093908,3.255414847784494,0.29125723717267277,3.632104966092985,-0.376690118308491,3.392874105966631,-0.13745925818213678,3.35968417090385,-0.10426932311935566,current_mask_currentopd_detdist_ref
0.11187120419667292,2.85902397210787,0.2717645872754035,3.361050993590379,-0.5020270214825091,3.0866392664306126,-0.22761529432274274,3.0600339827578615,-0.2010100106499917,current_mask_currentopd_detdist_ref
0.12082090053240674,2.619335018715345,0.256352439226453,3.146738215415897,-0.5274031967005524,2.844510222429422,-0.2251752037140773,2.8231111894516103,-0.20377617073626553,current_mask_currentopd_detdist_ref
0.12977059686814058,2.569953391228102,0.23813677105217845,2.893441242123514,-0.323487850895412,2.558337113601782,0.011616277626319782,2.543091365343913,0.026862025884188956,current_mask_currentopd_detdist_ref
0.004474848167866917,18.1191232069986,,8.355921097630226,9.763202109368375,8.76970673918327,9.349416467815331,8.621258159043421,9.49786504795518,current_mask_currentopd_detsamp
0.01342454450360075,9.349557347517369,,7.591799523021894,1.7577578244954744,7.900180843375439,1.44937650414193,7.770385048235221,1.5791722992821473,current_mask_currentopd_detsamp
0.022374240839334585,8.11335813146746,,6.930035216253643,1.183322915213818,7.1471315632903165,0.9662265681771443,7.033489934901519,1.0798681965659416,current_mask_currentopd_detsamp
0.031323937175068414,6.77934626429851,,6.294886880917861,0.4844593833806483,6.424369710195433,0.35497655410307694,6.326232532584596,0.45311373171391356,current_mask_currentopd_detsamp
0.04027363351080225,5.874458286211297,,5.759995659667712,0.11446262654358463,5.815694620036278,0.05876366617501905,5.730614541295192,0.1438437449161052,current_mask_currentopd_detsamp
0.04922332984653609,5.530296695313772,,5.3785333764908065,0.15176331882296523,5.381612735008603,0.14868396030516884,5.305844438829363,0.22445225648440914,current_mask_currentopd_detsamp
0.05817302618226991,5.001842968735427,,5.082217777797744,-0.08037480906231753,5.044422823144792,-0.0425798544093654,4.975887814623072,0.025955154112354606,current_mask_currentopd_detsamp
0.06712272251800375,4.583533465499833,,4.751913186059241,-0.16837972055940753,4.668555414652789,-0.08502194915295558,4.6080833907906085,-0.024549925290775043,current_mask_currentopd_detsamp
0.07607241885373758,4.230167023075888,,4.47854552304861,-0.24837849997272254,4.357478918499607,-0.1273118954237189,4.303680005845682,-0.07351298276979445,current_mask_currentopd_detsamp
0.08502211518947142,3.8987590270156263,,4.164036688986086,-0.26527766197046,3.9995861632559553,-0.10082713624032902,3.9534646488815666,-0.0547056218659403,current_mask_currentopd_detsamp
0.09397181152520526,3.7180998612780405,,3.859508590811325,-0.14140872953328465,3.6530509047798523,0.0650489564981882,3.6143631513806236,0.1037367098974169,current_mask_currentopd_detsamp
0.10292150786093908,3.255414847784494,,3.6309783558821964,-0.3755635080977022,3.392996793171002,-0.1375819453865077,3.3598876354818,-0.10447278769730595,current_mask_currentopd_detsamp
0.11187120419667292,2.85902397210787,,3.362628307562291,-0.5036043354544213,3.0876300506143046,-0.22860607850643477,3.061071520367494,-0.20204754825962423,current_mask_currentopd_detsamp
0.12082090053240674,2.619335018715345,,3.149289645362376,-0.5299546266470312,2.844863064935474,-0.22552804622012923,2.8235122926297533,-0.20417727391440854,current_mask_currentopd_detsamp
0.12977059686814058,2.569953391228102,,2.899042739782193,-0.3290893485540911,2.560096645587505,0.009856745640596909,2.544854589331325,0.025098801896776823,current_mask_currentopd_detsamp
