region,role,shape,rin_px,rout_px,rin_arcsec,rout_arcsec,resid_source,model_source,region_pixels,usable_pixels,usable_fraction,kmin,kmax,status,measurement_ok,failure_reason,region_name,region_role,n_use,Imean,P0,P1,P_fluc,Pr,Pr_over_P0,frac,corr,n_fit,fit_resid_std,P0_fit_sigma,mbar_fit_sigma_raw,mbar_fit_sigma,Pf_spec_raw,Pf_spec,Pf_spec_sigma_formal_raw,Pf_spec_sigma_formal,mbar_spec_raw,mbar_spec,n_detected_sources,n_detected_sources_total,m_lim,m_lim_method,lf_model,lf_gamma,lf_phi_mlim,lf_fit_method,lf_fit_rmse,lf_n_fit_bins,lf_n_fit_sources,lf_fit_mbright,lf_fit_mfaint,pr_note
circular_inner_lit,science,circle,130.354519800383,260.709039600766,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,160169,159929,0.9985015827032697,0.01,0.25,ok,True,,circular_inner_lit,science,159929,6.101497908664295,2.011578790093253,-0.12986190207508783,1.9821937138317836,0.029385076261469502,0.014607966839870718,1.0690124550095625,0.990285778383491,27,0.043562502532526366,0.05648956425940339,0.030489864682159345,0.030941862381796473,0.32968605745758855,0.3248700144626804,0.009258310845142904,0.009258310845142904,27.683501069087512,27.699478452321728,780,780,25.375,region_turnover_hist,combined_power_law,0.3614854723936791,0.0038844047739476375,local_histogram,0.06838947750556067,6,527,23.875,25.375,local combined contaminant LF
circular_inner_lit,science,circle,130.354519800383,260.709039600766,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,160169,159929,0.9985015827032697,0.03,0.25,ok,True,,circular_inner_lit,science,159929,6.101497908664295,1.992032739418913,-0.1264618094388039,1.9626476631574434,0.029385076261469502,0.014751301863663793,1.0677871891154267,0.9863184458791405,25,0.043094874259252056,0.06942366750463125,0.0378386297500593,0.03840515579633203,0.3264825734989062,0.321666530503998,0.01137813509794828,0.01137813509794828,27.69410250897767,27.71023783477599,780,780,25.375,region_turnover_hist,combined_power_law,0.3614854723936791,0.0038844047739476375,local_histogram,0.06838947750556067,6,527,23.875,25.375,local combined contaminant LF
circular_inner_lit,science,circle,130.354519800383,260.709039600766,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,160169,159929,0.9985015827032697,0.04,0.25,ok,True,,circular_inner_lit,science,159929,6.101497908664295,1.9229492062299725,-0.11433142140226336,1.8935641299685029,0.029385076261469502,0.015281254526259823,1.0632148054505361,0.9849438199880907,24,0.03998126622507899,0.07195757544575887,0.040628709596155346,0.041259201962900796,0.3151601844359123,0.31034414144100414,0.011793427863603318,0.011793427863603318,27.732424156834654,27.749143643359425,780,780,25.375,region_turnover_hist,combined_power_law,0.3614854723936791,0.0038844047739476375,local_histogram,0.06838947750556067,6,527,23.875,25.375,local combined contaminant LF
circular_outer_lit,science,circle,260.709039600766,521.418079201532,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,640570,471032,0.7353325944081053,0.01,0.25,ok,True,,circular_outer_lit,science,471032,2.316380336355257,1.1805327331870095,-0.11428184259927403,1.1517884728839018,0.02874426030310751,0.024348550019031197,1.1071810055288958,0.9314429048967692,27,0.07090695742321854,0.09223992288891766,0.08483307661807238,0.08695018761026507,0.5096454648050311,0.49723633671325346,0.039820715726698805,0.03982071572669881,27.210582111995286,27.237345376193478,700,700,25.375,region_turnover_hist,combined_power_law,0.6219286271050105,0.00154297509229276,local_histogram,0.055626223670251156,6,444,23.875,25.375,local combined contaminant LF
circular_outer_lit,science,circle,260.709039600766,521.418079201532,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,640570,471032,0.7353325944081053,0.03,0.25,ok,True,,circular_outer_lit,science,471032,2.316380336355257,0.8971292736117612,-0.06059559441702724,0.8683850133086537,0.02874426030310751,0.032040265710409514,1.072436526973257,0.9973128257167646,25,0.0085363365847784,0.013741390090678448,0.016630295280734213,0.017180771773465966,0.38729791456586204,0.37488878647408436,0.005932268494516769,0.005932268494516769,27.50863962548573,27.543996396314842,700,700,25.375,region_turnover_hist,combined_power_law,0.6219286271050105,0.00154297509229276,local_histogram,0.055626223670251156,6,444,23.875,25.375,local combined contaminant LF
circular_outer_lit,science,circle,260.709039600766,521.418079201532,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,640570,471032,0.7353325944081053,0.04,0.25,ok,True,,circular_outer_lit,science,471032,2.316380336355257,0.8790505797114547,-0.05744597287451776,0.8503063194083472,0.02874426030310751,0.03269921090609224,1.0699192438753196,0.9976934626211109,24,0.007140214795966163,0.012751171016102854,0.015749273528480864,0.016281671333312528,0.37949319717271035,0.36708406908093266,0.005504782965031716,0.005504782965031715,27.530742533986384,27.566838678842824,700,700,25.375,region_turnover_hist,combined_power_law,0.6219286271050105,0.00154297509229276,local_histogram,0.055626223670251156,6,444,23.875,25.375,local combined contaminant LF
