kmin,kmax,P0,P1,corr,n_fit,mbar_spec_raw,Pr,mbar_spec,n_low_bins,low_mean_delta,low_median_delta,branch,psf_ext,opd_path
0.01,0.25,17.127224041575964,-1.4749393637468682,0.9922259815468171,27,27.82877808358658,0.20409455042034952,27.841793836632608,1,8.761111698844548,8.761111698844548,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.03,0.25,15.71027239241181,-1.1828564262773484,0.9972496370940549,25,27.922536242743117,0.20409455042034952,27.936733628955,3,3.930418913546889,1.4558170310460312,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.04,0.25,15.372470635096501,-1.117659154792399,0.9977865601775404,24,27.94613635024191,0.20409455042034952,27.96064781047407,4,3.15945889275381,1.3349018054091486,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.01,0.4,15.61241692898737,-0.9405153520747621,0.9895303006652412,44,27.929320179080005,0.20409455042034952,27.94360713967382,1,9.184801564310021,9.184801564310021,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.01,0.55,14.443735545215675,-0.5774057719330301,0.9827174872886361,60,28.01379671004158,0.20409455042034952,28.02924793016481,1,9.560881708350763,9.560881708350763,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.01,0.65,13.905445074483044,-0.41795654795729753,0.9792391897504109,72,28.0550332955914,0.20409455042034952,28.071087087780892,1,9.741900630882819,9.741900630882819,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.01,0.25,17.2323048947548,-1.5274078893527194,0.9922714843853581,27,27.822137105322128,0.20409455042034952,27.83507301491666,1,8.746298518941773,8.746298518941773,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.03,0.25,15.811802726802249,-1.2319922931222616,0.9972234542370649,25,27.915542062269818,0.20409455042034952,27.929647689825366,3,3.9216731800448024,1.44937650414193,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.04,0.25,15.472613108480813,-1.1658876982732114,0.9977459101116881,24,27.939086365102387,0.20409455042034952,27.953503277327613,4,3.1525048188792955,1.3295202479240444,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.01,0.4,15.684073878487775,-0.9804167388157765,0.9893749976998953,44,27.9243483321834,0.20409455042034952,27.938569589555087,1,9.17863533781689,9.17863533781689,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.01,0.55,14.460526731919161,-0.6004949823620255,0.9819793333776892,60,28.01253524893243,0.20409455042034952,28.0279683993802,1,9.572663934985494,9.572663934985494,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
0.01,0.65,13.895088869981883,-0.43336746774786944,0.9781851041725272,72,28.05584220859382,0.20409455042034952,28.071908054862806,1,9.763202109368375,9.763202109368375,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
