model_intensity,residual_median,residual_sigma,n_pixels,residual_sigma_monotonic
0.3208041191101074,-0.0022222325205802917,0.07220445573329926,6890,0.07220445573329926
0.4010308086872101,-0.0015304312109947205,0.08522491157054901,6890,0.08522491157054901
0.4931716024875641,0.00011762231588363647,0.10927365720272064,6890,0.10927365720272064
0.6109355688095093,-0.002378813922405243,0.12418555468320847,6889,0.12418555468320847
0.7531565427780151,-0.0005645677447319031,0.14807745814323425,6890,0.14807745814323425
0.9056060314178467,0.013789840042591095,0.17851096391677856,6890,0.17851096391677856
1.1157755851745605,-0.009395234286785126,0.19792111217975616,6890,0.19792111217975616
1.3410509824752808,-0.0233377143740654,0.22261369228363037,6889,0.22261369228363037
1.7064871788024902,-0.021808438003063202,0.2528970539569855,6890,0.2528970539569855
1.9905130863189697,-0.008348099887371063,0.2948504686355591,6890,0.2948504686355591
2.1644372940063477,0.0074729397892951965,0.30256757140159607,6890,0.30256757140159607
2.3994712829589844,0.022226519882678986,0.3295941948890686,6890,0.3295941948890686
2.7751622200012207,0.0212215855717659,0.3546343743801117,6889,0.3546343743801117
3.2871503829956055,0.023255057632923126,0.3951396048069,6890,0.3951396048069
4.0301513671875,0.02234918624162674,0.46234163641929626,6890,0.46234163641929626
5.096023082733154,0.08766741305589676,0.5967152118682861,6889,0.5967152118682861
6.08466100692749,0.35809582471847534,0.6374409198760986,6890,0.6374409198760986
7.773336410522461,0.6698607802391052,0.8200318217277527,6890,0.8200318217277527
10.797067642211914,1.5650525093078613,1.3643971681594849,6890,1.3643971681594849
18.9552001953125,6.448156833648682,7.045334815979004,6890,7.045334815979004
