region,kmin,kmax,expectation_method,status,P0,P1,P_fluc,mbar_spec,P0_fit_sigma,fit_resid_std,corr,n_fit,psf_scatter_mag
circular_outer_lit,0.01,0.2,window_only,ok,0.9780960379815807,-0.10198078327800718,0.9769046877842616,28.024944031623296,0.012021728941900223,0.02187532804993926,0.9969489816727608,21,0.0013213812588165205
circular_outer_lit,0.01,0.2,model_aware,ok,0.9769821745317516,-0.10180928663067099,0.9757908243344325,28.026182690695638,0.012234398751735634,0.021470221327064075,0.9971775283424757,21,0.0020886419523837244
circular_outer_lit,0.01,0.25,window_only,ok,0.886018586781585,-0.07385329743051991,0.8848272365842659,28.13242830932599,0.015169617216638598,0.0322414891135783,0.996680324260749,27,0.0033035526453850336
circular_outer_lit,0.01,0.25,model_aware,ok,0.8867671620274891,-0.07374305699298427,0.88557581183017,28.131510150835894,0.014968239027945003,0.03214142536884337,0.9968480957608282,27,0.002473235664033676
circular_outer_lit,0.01,0.3,window_only,ok,0.8232730781509868,-0.059583038420321935,0.8220817279536677,28.212287027064495,0.014561176897829093,0.04024016639173877,0.996328063817117,33,0.004121079730057393
circular_outer_lit,0.01,0.3,model_aware,ok,0.8239898275788967,-0.05965296059053958,0.8227984773815776,28.211340817303626,0.01442753892278813,0.04028896457367581,0.996396909038972,33,0.0033695891563794256
circular_outer_lit,0.01,0.35,window_only,ok,0.7383937497444364,-0.04605938043455499,0.7372023995471173,28.330607665292057,0.01861642495922203,0.0538199266335085,0.9958573567501185,38,0.001442203103488184
circular_outer_lit,0.01,0.35,model_aware,ok,0.7395949027737208,-0.046169513226205126,0.7384035525764017,28.328840071961988,0.018824092628505363,0.0538944122971809,0.9959067872801719,38,0.004920020700274296
circular_outer_lit,0.01,0.4,window_only,ok,0.5207295557933828,-0.021761905611956584,0.5195382055960637,28.71053079055747,0.025542129174860234,0.09403360299615635,0.9945469653739166,44,0.0051256427312269485
circular_outer_lit,0.01,0.4,model_aware,ok,0.5206871981692632,-0.021770606007257713,0.5194958479719441,28.710619313558084,0.025456312462157713,0.09407621301223192,0.99457338882902,44,0.002735602327519509
circular_outer_lit,0.01,0.5,window_only,ok,0.2296963989773298,-0.0036234736284162967,0.22850504878001066,29.602335015232345,0.01792603953426393,0.14647195014385192,0.9906752985837989,55,0.00751407120703547
circular_outer_lit,0.01,0.5,model_aware,ok,0.2298133327008664,-0.0036184273902553445,0.22862198250354726,29.601779549590276,0.017897220364220503,0.1463914460406522,0.9906706353220424,55,0.005610290101326354
circular_outer_lit,0.03,0.2,window_only,ok,0.9729350015352254,-0.10054670913092878,0.9717436513379063,28.030695235792585,0.011551301825195516,0.008596546417140319,0.9994241067493376,19,0.0018578666981301636
circular_outer_lit,0.03,0.2,model_aware,ok,0.9719033938423476,-0.1004302706644045,0.9707120436450285,28.031848470771855,0.011856382924901517,0.00869696812406033,0.9994166422290883,19,0.0023293750404724148
circular_outer_lit,0.03,0.25,window_only,ok,0.8823894887128918,-0.07319028531516725,0.8811981385155727,28.136890588028997,0.015131795669096114,0.01881409569239317,0.9986978980388409,25,0.0034481894128573854
circular_outer_lit,0.03,0.25,model_aware,ok,0.8831864609712091,-0.0731192286619997,0.88199511077389,28.135909071460325,0.014924070266275158,0.018798857700787024,0.9986901737783771,25,0.0025627815111072968
circular_outer_lit,0.03,0.3,window_only,ok,0.8208020563898405,-0.05926232636955825,0.8196107061925214,28.21555545878662,0.014526203301417538,0.026250836516043676,0.9981109702567026,31,0.004269176125382388
circular_outer_lit,0.03,0.3,model_aware,ok,0.821500737367706,-0.05933783757842237,0.8203093871703869,28.214630312150256,0.014404715806090913,0.02624770753552915,0.9981066812234931,31,0.0034191819568582956
circular_outer_lit,0.03,0.35,window_only,ok,0.7364617736711013,-0.04586783088600219,0.7352704234737822,28.333456774002848,0.018829180378711757,0.03820542404253788,0.9975276810680206,36,0.0014979014656652239
circular_outer_lit,0.03,0.35,model_aware,ok,0.7376558489100713,-0.04597565227445154,0.7364644987127522,28.331694974397383,0.01902738879585252,0.03833012865040207,0.9975227489558643,36,0.0049513276784288246
circular_outer_lit,0.03,0.4,window_only,ok,0.5195973470393733,-0.021690556356490524,0.5184059968420542,28.712899473807017,0.02595073143430091,0.07326033575413972,0.9959818117061239,42,0.005129125196088501
circular_outer_lit,0.03,0.4,model_aware,ok,0.519555427618227,-0.02169938829509915,0.518364077420908,28.71298727231582,0.025870456851931505,0.07329654173105825,0.9959707712438165,42,0.0027367311122692504
circular_outer_lit,0.03,0.5,window_only,ok,0.22946578150032232,-0.003618373179092862,0.22827443130300318,29.603431341912636,0.01818708809443233,0.1190196274493991,0.9914479619190768,53,0.007507793233425346
circular_outer_lit,0.03,0.5,model_aware,ok,0.22958117661415872,-0.003613329345015487,0.22838982641683958,29.602882629577508,0.01815899343329013,0.1190796259164454,0.9914193607196964,53,0.005613126796993398
circular_outer_lit,0.04,0.2,window_only,ok,0.970421336407681,-0.09995145913167676,0.9692299862103619,28.033507410784125,0.011782554151804044,0.007819360271693372,0.9993081918922676,18,0.0020251075447561256
circular_outer_lit,0.04,0.2,model_aware,ok,0.9690914080593546,-0.09974802101145301,0.9679000578620355,28.034998226115597,0.012059758006046336,0.007915411184324452,0.9992711543539768,18,0.0025401851169552605
circular_outer_lit,0.04,0.25,window_only,ok,0.8799907193033945,-0.07277807250486007,0.8787993691060754,28.1398501745013,0.015189368952006363,0.01686721984776405,0.9985619317461649,24,0.003301157914112936
circular_outer_lit,0.04,0.25,model_aware,ok,0.8807149075543234,-0.07269244616720798,0.8795235573570043,28.138955825191832,0.01495491593301789,0.016776705278443278,0.998564472524926,24,0.0024497844798214356
circular_outer_lit,0.04,0.3,window_only,ok,0.8189963220355028,-0.05903359576744192,0.8178049718381837,28.217950149378346,0.0145200020942963,0.02351993387134002,0.9979659220985619,30,0.004219206738336009
circular_outer_lit,0.04,0.3,model_aware,ok,0.8196555367378379,-0.059105167317607045,0.8184641865405188,28.217075313714428,0.014367720127404891,0.023398647277622375,0.9979869430163352,30,0.0033728339447211962
circular_outer_lit,0.04,0.35,window_only,ok,0.7349526882365877,-0.0457184989608853,0.7337613380392686,28.335687453163903,0.018909246940013703,0.034444651283814146,0.9973618144236795,35,0.0014610086702147192
circular_outer_lit,0.04,0.35,model_aware,ok,0.7361309407793285,-0.04582356606045623,0.7349395905820094,28.33394540794079,0.01909409745206582,0.03446986094050227,0.997391331751676,35,0.004936810687596082
circular_outer_lit,0.04,0.4,window_only,ok,0.5186466432848784,-0.021630805075496806,0.5174552930875593,28.71489243133157,0.026120942490529573,0.06687624541553308,0.9956906483987873,41,0.005127823276728049
circular_outer_lit,0.04,0.4,model_aware,ok,0.5186035402791204,-0.021639598733825368,0.5174121900818013,28.714982874783846,0.026043955151877275,0.06688886136177058,0.9957179251244253,41,0.0027333633241556055
circular_outer_lit,0.04,0.5,window_only,ok,0.22926242884062178,-0.0036139004010616034,0.22807107864330264,29.60439897435241,0.0182970281506334,0.10953288325539813,0.990741845819306,52,0.007509493568410089
circular_outer_lit,0.04,0.5,model_aware,ok,0.22937834340603652,-0.0036088740415707384,0.22818699320871738,29.603847301293666,0.018269001792405506,0.10954732668872968,0.9907687697653051,52,0.005614591303005394
