region,kmin,kmax,expectation_method,status,P0,P1,P_fluc,mbar_spec,P0_fit_sigma,fit_resid_std,corr,n_fit,psf_scatter_mag
circular_inner_lit,0.01,0.2,window_only,ok,1.0263245061695483,-0.1118675033694248,1.026304863131809,27.97138354864755,0.015869256276763725,0.03675185583881213,0.9911337121949825,21,0.006118456667887442
circular_inner_lit,0.01,0.2,model_aware,ok,1.0286243736840093,-0.11220957384057588,1.02860473064627,27.968953222294726,0.015188631846006145,0.03647216328698715,0.9914163342720991,21,0.004152211041500869
circular_inner_lit,0.01,0.25,window_only,ok,0.9237526494336337,-0.08009450359820074,0.9237330063958944,28.08570836089927,0.01807529037715983,0.04573126465504835,0.9919065381521577,27,0.0027208480096123705
circular_inner_lit,0.01,0.25,model_aware,ok,0.9232772998184301,-0.08030084647364844,0.9232576567806908,28.08626722057174,0.018114377890559554,0.04515607229145716,0.9921234749613881,27,0.0022729605488205143
circular_inner_lit,0.01,0.3,window_only,ok,0.8442256786915606,-0.06226489858811477,0.8442060356538214,28.183453383619696,0.018139644884484638,0.0551747027045922,0.9919539490024637,33,0.003917570375936456
circular_inner_lit,0.01,0.3,model_aware,ok,0.8465865387041308,-0.06266923836373364,0.8465668956663915,28.180421311354507,0.01815031153508014,0.05481258819940342,0.9922574437008213,33,0.004863602417048047
circular_inner_lit,0.01,0.35,window_only,ok,0.7512114468799468,-0.04762048606667282,0.7511918038422075,28.310197413787222,0.021744270983079562,0.06893255312700261,0.991698571679852,38,0.006528271550816721
circular_inner_lit,0.01,0.35,model_aware,ok,0.7510458862282077,-0.04757200416926437,0.7510262431904684,28.310436733498175,0.022047323659750314,0.06900690594823622,0.992046024032701,38,0.007630640700847523
circular_inner_lit,0.01,0.4,window_only,ok,0.5143150638584336,-0.02155580445921162,0.5142954208206943,28.721542871991236,0.027078173687524396,0.11207819485814602,0.9904869679328715,44,0.00666675952799024
circular_inner_lit,0.01,0.4,model_aware,ok,0.5142809873492428,-0.02153772908758725,0.5142613443115035,28.721614813766408,0.02701223244403084,0.11236790274978703,0.990851244401451,44,0.005825699674171557
circular_inner_lit,0.01,0.5,window_only,ok,0.21306807345294834,-0.0032842611008699588,0.2130484304152091,29.678378668206456,0.017650182827617208,0.16559285370697885,0.9866811511383573,55,0.007419089553286645
circular_inner_lit,0.01,0.5,model_aware,ok,0.21304050674848696,-0.003294444834791311,0.21302086371074772,29.678519162579246,0.017735944026708094,0.16575903320165247,0.9868864003715556,55,0.011057213412685861
circular_inner_lit,0.03,0.2,window_only,ok,1.0176877788018,-0.10958633815533873,1.0176681357640607,27.980559074359444,0.013262013088202785,0.008079403007804452,0.9987655647248334,19,0.005719449942549268
circular_inner_lit,0.03,0.2,model_aware,ok,1.020275871383794,-0.10995726261532476,1.0202562283460548,27.977801378953586,0.012634478357894705,0.008007576970662346,0.9988850221035005,19,0.003832925862062614
circular_inner_lit,0.03,0.25,window_only,ok,0.9189056148085105,-0.07923092359029336,0.9188859717707712,28.09142046218444,0.017592847864303006,0.017723731567363902,0.9986151066549427,25,0.0025570265383049787
circular_inner_lit,0.03,0.25,model_aware,ok,0.9184078369776861,-0.07943091756821045,0.9183881939399469,28.092008785295018,0.017654507438044174,0.018172989980176132,0.9986381168577833,25,0.0021653149021698616
circular_inner_lit,0.03,0.3,window_only,ok,0.8410847166364469,-0.06186972450926711,0.8410650735987076,28.187500519004587,0.017939848274670683,0.027918429940643245,0.9981766395246853,31,0.0039323029372273464
circular_inner_lit,0.03,0.3,model_aware,ok,0.8434532433780884,-0.06226443870297652,0.8434336003403491,28.18444727002334,0.017949641221180666,0.02749912620110389,0.9981177316623093,31,0.004897103056527835
circular_inner_lit,0.03,0.35,window_only,ok,0.7490314210942026,-0.047402698106081685,0.7490117780564634,28.31335289830612,0.021892548016387316,0.04175060801303988,0.9976162500375,36,0.006587305441861973
circular_inner_lit,0.03,0.35,model_aware,ok,0.7488459819096478,-0.04735699321161204,0.7488263388719085,28.313621736487235,0.02219060231631883,0.041821278204673636,0.9975796587889504,36,0.0076552269419125196
circular_inner_lit,0.03,0.4,window_only,ok,0.5132234942324803,-0.02148796122373491,0.513203851194741,28.723849748776548,0.027481413655348,0.08054227680112533,0.996046253104469,42,0.00666594314029925
circular_inner_lit,0.03,0.4,model_aware,ok,0.5131896780920348,-0.021470036928636093,0.5131700350542955,28.723921292701217,0.027414801310097565,0.08049374823360889,0.9960245374502222,42,0.005819855428394377
circular_inner_lit,0.03,0.5,window_only,ok,0.2128819423210251,-0.003280251790012297,0.21286229928328587,29.679327643226504,0.017908706798426446,0.12843160219399616,0.9913825647601983,53,0.007407949514424227
circular_inner_lit,0.03,0.5,model_aware,ok,0.21285464814914795,-0.003290443827469984,0.2128350051114087,29.679466870185756,0.01799328435468232,0.12844055650290184,0.9913940578556202,53,0.011044045425469984
circular_inner_lit,0.04,0.2,window_only,ok,1.0165336344381721,-0.1092842661212766,1.0165139914004329,27.981791113948074,0.013815937369323605,0.008180722830564745,0.9985697354488616,18,0.005686102723757445
circular_inner_lit,0.04,0.2,model_aware,ok,1.0190954141421946,-0.10966009556641988,1.0190757711044554,27.979058325158388,0.013427602434320009,0.008073914838281853,0.998588282630066,18,0.004404528244615185
circular_inner_lit,0.04,0.25,window_only,ok,0.9167184816803396,-0.07882846836670923,0.9166988386426004,28.09400781280119,0.017924342870822795,0.01651297872425012,0.9983521744038003,24,0.0025137108379202117
circular_inner_lit,0.04,0.25,model_aware,ok,0.916244251167022,-0.07904647258743372,0.9162246081292827,28.094569635773237,0.01801807961985406,0.017029385843595684,0.9983828115063085,24,0.00235264345971771
circular_inner_lit,0.04,0.3,window_only,ok,0.839117507504501,-0.06162826859357045,0.8390978644667617,28.190042976172876,0.018059923307267082,0.025509655082272105,0.9978947104318695,30,0.003882388330163084
circular_inner_lit,0.04,0.3,model_aware,ok,0.8415205441704395,-0.06201904714946662,0.8415009011327003,28.186938052212348,0.018065879727013727,0.025334991219554136,0.9978428023312289,30,0.004864302886562733
circular_inner_lit,0.04,0.35,window_only,ok,0.7474022490551313,-0.04724001212850577,0.747382606017392,28.315717050142453,0.022059217032330845,0.038152905452146134,0.9973430015575744,35,0.006636554627851957
circular_inner_lit,0.04,0.35,model_aware,ok,0.7471961056751099,-0.04719680139800273,0.7471764626373706,28.316016559659573,0.022322284871483165,0.03826886719589679,0.997254269591896,35,0.007656554406671923
circular_inner_lit,0.04,0.4,window_only,ok,0.5122173579060897,-0.02142538951319404,0.5121977148683504,28.725980424256704,0.027655504729712087,0.07407724546533503,0.9956415436151945,41,0.006671192152379647
circular_inner_lit,0.04,0.4,model_aware,ok,0.5121838079007489,-0.02140756689949713,0.5121641648630096,28.72605154454379,0.027589551076491442,0.07406603119625207,0.9955473301212407,41,0.005822327958783317
circular_inner_lit,0.04,0.5,window_only,ok,0.21269052448461243,-0.0032760908935114434,0.21267088144687318,29.68030443798028,0.01801501467624723,0.11863697271921578,0.990529187095832,52,0.007401940778547108
circular_inner_lit,0.04,0.5,model_aware,ok,0.21266301906118926,-0.003286345627651813,0.21264337602345001,29.680444868890152,0.01809917991498772,0.11865812372816742,0.9904534785442435,52,0.011039423593941543
