region,expectation_method,k,E_median,E_psf_mad
circular_inner_lit,window_only,0.004473650243842351,0.9222181251098907,0.008345615311921318
circular_inner_lit,window_only,0.013420950731527052,0.8384556181084488,0.002772579729714476
circular_inner_lit,window_only,0.02236825121921175,0.7558986656122715,0.0016391272715328934
circular_inner_lit,window_only,0.031315551706896455,0.6928921783127797,0.005763678402309093
circular_inner_lit,window_only,0.04026285219458116,0.6462901141985178,0.005113987224701905
circular_inner_lit,window_only,0.04921015268226586,0.6036247947877625,0.000984821077670796
circular_inner_lit,window_only,0.05815745316995056,0.5676472013461796,0.0021570852496342495
circular_inner_lit,window_only,0.06710475365763527,0.5390658674226828,0.0010333988040438695
circular_inner_lit,window_only,0.07605205414531996,0.5058058683995414,0.0006014824014967934
circular_inner_lit,window_only,0.08499935463300468,0.47618990350333307,0.0009904214301975926
circular_inner_lit,window_only,0.09394665512068937,0.4469590521285461,0.0028181257825493707
circular_inner_lit,window_only,0.10289395560837407,0.4183181779654756,0.0008821631756965507
circular_inner_lit,window_only,0.11184125609605877,0.3919961781547588,0.0011509522620454435
circular_inner_lit,window_only,0.12078855658374346,0.3678646963189372,0.002286066909386596
circular_inner_lit,window_only,0.12973585707142818,0.34501007941184847,0.0011500724079532413
circular_inner_lit,window_only,0.13868315755911287,0.3240012694929798,0.0006354807388202318
circular_inner_lit,window_only,0.14763045804679759,0.30508944326582793,0.001518398827525313
circular_inner_lit,window_only,0.15657775853448228,0.28533024309737004,0.001512381065645245
circular_inner_lit,window_only,0.16552505902216696,0.2662190272568297,0.001431837125638245
circular_inner_lit,window_only,0.17447235950985168,0.24814734206475295,0.0007158244867426378
circular_inner_lit,window_only,0.1834196599975364,0.23108134352837387,0.002425016300613372
circular_inner_lit,window_only,0.1923669604852211,0.21669265323884737,0.002285956910289069
circular_inner_lit,window_only,0.20131426097290578,0.20094693539239056,0.0011229717490030995
circular_inner_lit,window_only,0.2102615614605905,0.1877196580837619,0.0007901434944401211
circular_inner_lit,window_only,0.21920886194827519,0.17514800960815793,0.001335345928545104
circular_inner_lit,window_only,0.22815616243595988,0.1631797147302837,0.0012663617625283765
circular_inner_lit,window_only,0.2371034629236446,0.152814782361195,0.0007452353811297579
circular_inner_lit,window_only,0.2460507634113293,0.143431793513438,0.0012818671252482392
circular_inner_lit,window_only,0.254998063899014,0.13574552224474185,0.0006415184881961991
circular_inner_lit,window_only,0.2639453643866987,0.12890313781182663,0.0005350684949809958
circular_inner_lit,window_only,0.2728926648743834,0.1221702664143464,0.0007307533468786863
circular_inner_lit,window_only,0.2818399653620681,0.11643102881657963,0.0009360160499807038
circular_inner_lit,window_only,0.2907872658497528,0.11111438738984923,0.0008240561525044778
circular_inner_lit,window_only,0.2997345663374375,0.10640578124301905,0.00021610586666150625
circular_inner_lit,window_only,0.3086818668251222,0.1011527207048205,0.0010097609701954402
circular_inner_lit,window_only,0.3176291673128069,0.0962061749752722,0.0007542979656622739
circular_inner_lit,window_only,0.32657646780049165,0.0912007905771329,0.00025592499455357604
circular_inner_lit,window_only,0.3355237682881763,0.08624309280681128,0.0003711991232126089
circular_inner_lit,window_only,0.344471068775861,0.08072454869219214,0.0005462816046202582
circular_inner_lit,window_only,0.35341836926354575,0.07511417245566582,0.0004207710647515656
circular_inner_lit,window_only,0.3623656697512304,0.06950999988277144,0.0006094365678765795
circular_inner_lit,window_only,0.3713129702389151,0.0642015693609968,0.0003923299442474373
circular_inner_lit,window_only,0.38026027072659985,0.05896508739300567,0.0005319666890033291
circular_inner_lit,window_only,0.3892075712142845,0.05369960739954074,0.0003793764188003447
circular_inner_lit,window_only,0.3981548717019692,0.048884755934691,0.0005580247983367816
circular_inner_lit,window_only,0.40710217218965394,0.04416235774370236,0.0003428461620424624
circular_inner_lit,window_only,0.4160494726773386,0.03996136307788246,0.0003983877076362001
circular_inner_lit,window_only,0.4249967731650233,0.035951831791952035,0.0004308378283690784
circular_inner_lit,window_only,0.43394407365270804,0.03230888161197636,0.00025928789078353377
circular_inner_lit,window_only,0.4428913741403927,0.029092377078908164,0.00025452139455438283
circular_inner_lit,window_only,0.4518386746280775,0.026273021282655958,0.0001881068408942208
circular_inner_lit,window_only,0.46078597511576214,0.023945905698274927,8.928514010649308e-05
circular_inner_lit,window_only,0.4697332756034468,0.021735450623595734,0.0002543229835593797
circular_inner_lit,window_only,0.47868057609113157,0.019946202253801892,0.00021579969245924953
circular_inner_lit,window_only,0.48762787657881623,0.018403242453397476,0.000270045671570978
circular_inner_lit,window_only,0.49657517706650095,0.017011639827898644,0.0002590353960361323
circular_inner_lit,window_only,0.5055224775541856,0.01274745255089357,0.00022583621891017694
circular_inner_lit,window_only,0.5144697780418703,0.009715489458143094,8.648732938026528e-05
circular_inner_lit,window_only,0.5234170785295551,0.0075917967195108715,6.01553344132319e-05
circular_inner_lit,window_only,0.5323643790172398,0.005924740800955605,6.618221706779527e-05
circular_inner_lit,window_only,0.5413116795049244,0.004602923259519369,2.8105267192241063e-05
circular_inner_lit,window_only,0.5502589799926092,0.0035358221756843613,1.8470645510165243e-05
circular_inner_lit,window_only,0.5592062804802939,0.002713844344272134,4.4453690292172716e-05
circular_inner_lit,window_only,0.5681535809679785,0.0020260243845641986,2.7959443779032136e-05
circular_inner_lit,window_only,0.5771008814556633,0.001484093263260736,1.344870783403436e-05
circular_inner_lit,window_only,0.586048181943348,0.0010647308266235923,1.3948113238439322e-05
circular_inner_lit,window_only,0.5949954824310326,0.0007512924156353193,1.452047281786011e-05
circular_inner_lit,window_only,0.6039427829187174,0.0005383450351570942,1.53249999776371e-05
circular_inner_lit,window_only,0.612890083406402,0.0003970717387841057,1.0432844205861922e-05
circular_inner_lit,window_only,0.6218373838940867,0.00030810851885415324,8.176195644116726e-06
circular_inner_lit,window_only,0.6307846843817715,0.00025249912691493055,4.3019782300066345e-06
