summary,signal_filter,color_filter,color_name,sampling_mode,color_index,sigma_proxy,notes
SBF-weighted circular-annuli color,F150W,F090W,F090W-F150W,wcs_bilinear,0.5960616321552855,0.00434838292234313,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,F150W,F090W,F090W-F150W,wcs_bilinear,0.5972024070277422,0.0061495421031692084,simple annulus-matched diagnostic color summary
