summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.5325333798727435,0.0068483083386745025,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.5359421973003788,0.009684970531866241,simple annulus-matched diagnostic color summary
