galaxy,variant,sigma_limit,median,scale,lower,upper,changed_pixels,changed_fraction
NGC 3379,raw,,-0.2370540052652359,1.4928677082061768,-inf,inf,0,0.0
NGC 3379,winsor_3.0,3.0,-0.2560669481754303,1.02470064163208,-3.3301688730716705,2.81803497672081,161378,0.046359400405628234
NGC 3379,winsor_3.5,3.5,-0.24763907492160797,1.1301071643829346,-4.203014150261879,3.707736000418663,88848,0.025523553441232742
NGC 3379,winsor_4.0,4.0,-0.24340499937534332,1.2086143493652344,-5.077862396836281,4.591052398085594,52379,0.015047026446271495
