galaxy,ring,variant,noise_model,psf_id,n_fit,effective_kmin,kmax,P0,noise_coefficient,noise_coefficient_nonnegative,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,P0_sigma_formal,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation
NGC 3379,inner,raw,constant,stpsf_R2024052602-NRCA3_FP1-1,24,0.04,0.25,2.99620518885408,-0.25933438116999985,False,True,8.367643804884014e-05,2.9961215124160314,26.808368084652688,0.019885614478217125,0.05487494758367265,0.003011259872310821,-0.0005474487910067858,-0.0005474487910067853,0.00010882676324578132,615.9611982550637,27.998236284321077,620.5326268264922,18.590466518536203,,-0.9563162298796167
NGC 3379,inner,raw,N(k),stpsf_R2024052602-NRCA3_FP1-1,24,0.04,0.25,-0.78992220117163,0.7642822922981065,True,False,8.367643804884014e-05,-0.7900058776096789,,,2.609076003823505,6.807277593727631,-2.094325734548876,-2.0943257345488764,0.6450211650277563,17210.278992072297,782.285408730559,17214.850420643725,109.41982622087649,0.9901715588399175,-0.9994717333022777
NGC 3379,inner,raw,constant,stpsf_field_1280_1024,24,0.04,0.25,2.991780286426979,-0.2569584127148863,False,True,8.367643804884014e-05,2.99169660998893,26.809972768543865,0.019153276210549207,0.05277597933841273,0.0027853039951285675,-0.0005049068204855211,-0.0005049068204855214,0.00010015956528651402,571.7306890572036,25.987758593509252,576.3021176286321,18.554665607189435,,-0.9559357879145338
NGC 3379,inner,raw,N(k),stpsf_field_1280_1024,24,0.04,0.25,-0.34701142345061187,0.6277555196259391,True,False,8.367643804884014e-05,-0.3470950998886607,,,2.7494852252176996,7.559669003690425,-2.320122025501879,-2.3201220255018766,0.7127473939536368,17269.482021098644,784.9764555044839,17274.05344967007,115.06182547684296,0.9909868419298561,-0.9995202970232642
NGC 3379,inner,raw,constant,stpsf_field_768_1024,24,0.04,0.25,2.9934126674804133,-0.2602309605258886,False,True,8.367643804884014e-05,2.9933289910423646,26.809380512011725,0.019156678850314603,0.052814156812159556,0.00278933515977938,-0.000508411274667633,-0.0005084112746676331,0.0001013034452143881,571.9324820959123,25.99693100435965,576.5039106673408,18.57132599866217,,-0.956428953221229
NGC 3379,inner,raw,N(k),stpsf_field_768_1024,24,0.04,0.25,-0.9238573132765785,0.8061932024780698,True,False,8.367643804884014e-05,-0.9239409897146273,,,2.6415945733322577,6.978021889858432,-2.152177768238652,-2.152177768238651,0.6644600437200641,17186.43363207626,781.201528730739,17191.005060647687,110.90797874328759,0.9910708729143398,-0.9994879024820233
NGC 3379,inner,raw,constant,stpsf_field_1024_1280,24,0.04,0.25,3.005566277247482,-0.2532026434531874,False,True,8.367643804884014e-05,3.005482600809433,26.804981096562436,0.018784836437143754,0.051999278299339494,0.0027039249436521594,-0.00048452771977480535,-0.00048452771977480546,9.513023071503698e-05,550.0888449776387,25.004038408074486,554.6602735490673,18.624159599994737,,-0.9553489639083018
NGC 3379,inner,raw,N(k),stpsf_field_1024_1280,24,0.04,0.25,0.5416376368996547,0.35683583537771846,True,True,8.367643804884014e-05,0.5415539604616059,28.66566230125321,5.361048186217661,2.6740352442409834,7.150464487442936,-2.170589998211486,-2.170589998211485,0.6595856531422082,17249.8162367142,784.0825562142818,17254.387665285627,111.75897509288484,0.9906081120834638,-0.9994822140236748
NGC 3379,inner,raw,constant,stpsf_field_1024_768,24,0.04,0.25,2.9865496901440807,-0.26124835106573135,False,True,8.367643804884014e-05,2.986466013706032,26.811872699865066,0.02028262877196748,0.05579014610606172,0.0031125404025357135,-0.0005696857904455276,-0.0005696857904455275,0.00011394159717474615,640.6125583520234,29.118752652364698,645.1839869234519,18.541369562100396,,-0.956614009711465
NGC 3379,inner,raw,N(k),stpsf_field_1024_768,24,0.04,0.25,-1.1907343378198023,0.8899557715656126,True,False,8.367643804884014e-05,-1.190818014257851,,,2.5769123912515606,6.640477472185835,-2.0561675587358406,-2.0561675587358406,0.6373524237538813,17115.871592519914,777.9941632963597,17120.44302109134,108.48971335259411,0.9906616290868989,-0.9994683088766408
NGC 3379,inner,winsor_3.0,constant,stpsf_R2024052602-NRCA3_FP1-1,24,0.04,0.25,2.3455853433183593,-0.20341550131055686,False,True,8.367643804884014e-05,2.3455016668803106,27.07417727704253,0.02107692700817917,0.045532208665190255,0.0020731820259304264,-0.0003767583781718249,-0.0003767583781718248,7.483627622345925e-05,694.4954728313505,31.56797603778866,699.0669014027791,18.64079170552019,,-0.9565069205553669
NGC 3379,inner,winsor_3.0,N(k),stpsf_R2024052602-NRCA3_FP1-1,24,0.04,0.25,-0.6297212229835863,0.6009204551645044,True,False,8.367643804884014e-05,-0.6298048994216352,,,2.0557612382522157,4.226154268700283,-1.3001688898672865,-1.300168889867287,0.40041425939627784,17434.13982690795,792.4609012230886,17438.71125547938,109.85838364170695,0.9901715588399175,-0.9994759067506838
NGC 3379,inner,winsor_3.0,constant,stpsf_field_1280_1024,24,0.04,0.25,2.3421939902229556,-0.201579741939581,False,True,8.367643804884014e-05,2.342110313784907,27.075748275451275,0.020369748694505835,0.04394087467796725,0.0019308004674648237,-0.0003498781850150671,-0.00034987818501506704,6.935225421307501e-05,649.0255435168835,29.50116106894925,653.5969720883121,18.60538323972626,,-0.956132050421874
NGC 3379,inner,winsor_3.0,N(k),stpsf_field_1280_1024,24,0.04,0.25,-0.28342398071260205,0.4941711580853739,True,False,8.367643804884014e-05,-0.2835076571506509,,,2.165466112223617,4.689243483188867,-1.439137168364427,-1.4391371683644265,0.44209481817022495,17494.875521279864,795.2216146036302,17499.44694985129,115.47138691058133,0.9909868419298561,-0.9995236758154786
NGC 3379,inner,winsor_3.0,constant,stpsf_field_768_1024,24,0.04,0.25,2.3434584125353384,-0.20413452144287972,False,True,8.367643804884014e-05,2.3433747360972896,27.07516228313613,0.020351733466687456,0.04392571402944551,0.0019294683529966267,-0.0003515516040623343,-0.00035155160406233403,6.999393237338717e-05,647.8868669064553,29.449403041202515,652.4582954778839,18.621817270633443,,-0.9566213234749245
