galaxy,ring,winsor_effect_with_constant_noise,winsor_effect_with_Nk,Nk_effect_on_raw,Nk_effect_on_winsor_3p5,interaction
NGC 3379,inner,0.12430021347060105,,,,
NGC 3379,outer,0.005495697093582663,,,,
