galaxy,ring,production_P0,recreated_P0,relative_P0_difference,production_P1,recreated_P1,relative_P1_difference,production_Imean,recreated_Imean,relative_Imean_difference,production_mbar,recreated_mbar,delta_mbar,production_n_use,recreated_n_use,same_n_use,same_crop,passed
NGC 3379,inner,2.6696110057612383,2.6696109764743037,-1.0970487629435866e-08,-0.2327755474313108,-0.23277553328674117,6.076484314078034e-08,23.78122178936182,23.78122178936182,0.0,26.933680713570897,26.933680725482326,1.1911428288158277e-08,646663,646663,True,True,True
NGC 3379,outer,2.3022467320003397,2.3022467451762263,5.7230558070386905e-09,-0.1722396266513274,-0.17223962191733005,2.7484948876554015e-08,7.599174457032785,7.599174457032785,0.0,27.101681851633312,27.101681845377694,-6.255618245631922e-09,1912953,1912953,True,True,True
