galaxy,psf_size_pix,radius_pix,encircled_energy
NGC 3379,129,1,0.5806605272396376
NGC 3379,129,2,0.6704284707105352
NGC 3379,129,3,0.7633655466473594
NGC 3379,129,5,0.8276913810714316
NGC 3379,129,10,0.8928280694955767
NGC 3379,129,20,0.9514717914247615
NGC 3379,129,32,0.9768697624039797
NGC 3379,129,48,0.9917242444692247
NGC 3379,129,64,0.9984231541185451
NGC 3379,257,1,0.5765450231959094
NGC 3379,257,2,0.6656767180673427
NGC 3379,257,3,0.757955087194151
NGC 3379,257,5,0.8218250013300996
NGC 3379,257,10,0.8865000221150519
NGC 3379,257,20,0.9447280968794978
NGC 3379,257,32,0.9699460553962381
NGC 3379,257,48,0.984695253794166
NGC 3379,257,64,0.9913506708201483
NGC 3379,257,96,0.9963809701492197
NGC 3379,257,128,0.9992484702935029
