galaxy,ring,psf_id,k,E,N
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.004473650243842351,0.9245042818222592,16.75956835576027
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.013420950731527052,0.8405883414626596,8.578232574656877
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.02236825121921175,0.7557622217243293,4.420592515621954
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.031315551706896455,0.689304546926924,3.377973686615999
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.04026285219458116,0.6395476784499923,2.523951194178571
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.04921015268226586,0.6040385112740242,2.29745243123665
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.05815745316995056,0.567522218653635,2.140600046572272
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.06710475365763527,0.5374581844071172,1.8379711788450923
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.07605205414531996,0.5062468165063383,1.6638967202170818
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.08499935463300468,0.4766784849206269,1.606845850691183
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.09394665512068937,0.44451481190442627,1.4498196876177925
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.10289395560837407,0.4180675664941303,1.3890292150836314
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.11184125609605877,0.39243178187810884,1.2690563806668154
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.12078855658374346,0.3661236729728326,1.1881103823889316
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.12973585707142818,0.3444800699275635,1.1277879869671175
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.13868315755911287,0.3226115712496329,1.0249572172452461
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.14763045804679759,0.30415701793329586,0.9750427827547538
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.15657775853448228,0.2841520397966729,0.9132750164648591
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.16552505902216696,0.26507748979724827,0.8573331942548237
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.17447235950985168,0.24657470875267423,0.7738432537435743
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.1834196599975364,0.23001458826939583,0.7056598169056042
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.1923669604852211,0.21609739405068334,0.6804940185975862
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.20131426097290578,0.19994077365339824,0.6487580651538339
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2102615614605905,0.186472123695313,0.6103374532648252
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.21920886194827519,0.17462649486449913,0.5575893618431434
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.22815616243595988,0.16255743903954428,0.5434629565726218
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2371034629236446,0.15222630385256403,0.5078725813288311
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2460507634113293,0.14290309468193818,0.45793525878938274
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.254998063899014,0.13527525975696364,0.42891005752348604
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2639453643866987,0.128454202027594,0.4066900384996802
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2728926648743834,0.12172019721932988,0.39626730696550955
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2818399653620681,0.11602640797390705,0.3670820435759751
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2907872658497528,0.11077749486796178,0.35583233536652353
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.2997345663374375,0.1061172385309015,0.31840849568345236
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.3086818668251222,0.10095804964525756,0.30317883091873654
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.3176291673128069,0.096024013422893,0.2909932456561741
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.32657646780049165,0.09102944025010525,0.27921159980054894
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.3355237682881763,0.08615981014429663,0.2655421413437988
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.344471068775861,0.08069809182803023,0.25232242890060064
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.35341836926354575,0.07515098943871111,0.23080732918307664
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.3623656697512304,0.06958113385262288,0.22826614538412557
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.3713129702389151,0.06425870139630042,0.21427243488256534
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.38026027072659985,0.05908138211294592,0.19771902051144663
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.3892075712142845,0.05387911906377943,0.19140351672049444
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.3981548717019692,0.04908364186052342,0.18988031458405827
NGC 3379,inner,stpsf_R2024052602-NRCA3_FP1-1,0.40710217218965394,0.04437394602687521,0.17811344306452243
