galaxy,ring,variant,noise_model,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,noise_coefficient,noise_coefficient_negative_fraction,P0_negative_fraction,physical_solution_fraction,Pr,P_fluctuation,mbar_observed,mbar_sigma_with_psf,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation,delta_P0_vs_raw,delta_P0_fraction_vs_raw,delta_mbar_vs_raw,delta_mbar_from_production_branch
NGC 3379,inner,raw,constant,5,2.9934126674804133,0.052814156812159556,0.0041401921885984155,0.052976186642093366,-0.25933438116999985,1.0,0.0,1.0,8.367643804884014e-05,2.9933289910423646,26.809380512011725,0.0192154500890045,571.9324820959123,25.99693100435965,576.5039106673408,18.57132599866217,,-0.9563162298796167,0.0,0.0,0.0,-0.12430021347060105
NGC 3379,inner,raw,N(k),5,-0.78992220117163,2.6415945733322577,0.5942440737945802,2.707609260786794,0.7642822922981065,0.0,0.8,0.2,8.367643804884014e-05,-0.7900058776096789,,,17210.278992072297,782.285408730559,17214.850420643725,110.90797874328759,0.9906616290868989,-0.9994822140236748,0.0,,,
NGC 3379,inner,winsor_3.0,constant,5,2.3434584125353384,0.04394087467796725,0.0031533875789068644,0.04405387974614299,-0.20341550131055686,1.0,0.0,1.0,8.367643804884014e-05,2.3433747360972896,27.07516228313613,0.020411115415585213,649.0255435168835,29.50116106894925,653.5969720883121,18.621817270633443,,-0.9565069205553669,-0.649954254945075,-0.21712818349637986,0.2657817711244057,0.14148155765380466
NGC 3379,inner,winsor_3.0,N(k),5,-0.6297212229835863,2.0807774039570766,0.47237191719795035,2.1337220608541356,0.6009204551645044,0.0,0.8,0.2,8.367643804884014e-05,-0.6298048994216352,,,17434.13982690795,792.4609012230886,17438.71125547938,111.32025746068513,0.9906616290868989,-0.9994848370535038,0.16020097818804369,,,
NGC 3379,inner,winsor_3.5,constant,5,2.6696109764743037,0.04964402366298199,0.00361077539709242,0.049775162324385884,-0.23277553328674117,1.0,0.0,1.0,8.367643804884014e-05,2.669527300036255,26.933680725482326,0.020244294123744157,639.5714753444727,29.071430697476032,644.1429039159012,18.667711542800006,,-0.9566488373467604,-0.32380169100610967,-0.10817141736714064,0.12430021347060105,0.0
NGC 3379,inner,winsor_3.5,N(k),5,-0.7186915763143115,2.3798735401397315,0.5360001973499808,2.439486478465588,0.6829842027125247,0.0,0.8,0.2,8.367643804884014e-05,-0.7187752527523603,,,17666.92527241964,803.0420578372564,17671.49670099107,111.36628486111773,0.9906616290868989,-0.9994853759600574,0.07123062485731857,,,
NGC 3379,inner,winsor_4.0,constant,5,2.835742931611878,0.05193895410897256,0.0038850912818405724,0.052084055988394294,-0.24689798159070117,1.0,0.0,1.0,8.367643804884014e-05,2.8356592551738293,26.86813153439732,0.019942292140380097,619.0511045621475,28.138686571006705,623.6225331335761,18.64452134506587,,-0.9565741586530837,-0.15766973586853528,-0.052672235131966505,0.058751022385596485,-0.06554919108500457
NGC 3379,inner,winsor_4.0,N(k),5,-0.753292704147932,2.520844407584325,0.5661094168887572,2.5836285335046316,0.7231308902990831,0.0,0.8,0.2,8.367643804884014e-05,-0.7533763805859809,,,17544.874756518555,797.4943071144797,17549.446185089982,111.21599865267731,0.9906616290868989,-0.9994842767673808,0.036629497023698,,,
NGC 3379,outer,raw,constant,5,2.3138513936486733,0.02581750276108204,0.00514164740233229,0.0263245130406697,-0.172336870898961,1.0,0.0,1.0,0.0154165467881636,2.2984348468605096,27.09618614828411,0.012435191243259633,639.1809023546144,29.0536773797552,643.752330926043,17.552643941718674,,-0.9532410698649881,0.0,0.0,0.0,-0.005495697093582663
NGC 3379,outer,raw,N(k),5,-0.7355441374080729,1.5349160623176648,0.08954852010577573,1.537526017930721,0.6675927789636812,0.0,1.0,0.0,0.0154165467881636,-0.7509606841962365,,,31703.01995098994,1441.0463614086336,31707.591379561367,100.93158568271308,0.9904004499580282,-0.9993597567424863,0.0,,,
