galaxy,ring,variant,noise_model,psf_size_pix,P0,noise_coefficient,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise
NGC 3379,inner,raw,constant,129,2.99620518885408,-0.25933438116999985,True,8.367643804884014e-05,2.9961215124160314,26.808368084652688,0.019885614478217125,615.9611982550637,27.998236284321077,620.5326268264922,18.590466518536203,,-0.9563162298796167,0.003011259872310821,-0.0005474487910067858,-0.0005474487910067853,0.00010882676324578132
NGC 3379,inner,raw,N(k),129,-0.78992220117163,0.7642822922981065,False,8.367643804884014e-05,-0.7900058776096789,,,17210.278992072297,782.285408730559,17214.850420643725,109.41982622087649,0.9901715588399175,-0.9994717333022777,6.807277593727631,-2.094325734548876,-2.0943257345488764,0.6450211650277563
NGC 3379,inner,raw,constant,257,3.039135995741509,-0.25933500962150474,True,8.367643804884014e-05,3.0390523193034604,26.792921199821723,0.019885461709608372,615.9522859810538,27.997831180956993,620.5237145524824,18.839817163877786,,-0.9563163198063939,0.003098125967314626,-0.0005552853995832239,-0.0005552853995832235,0.00010882540766745736
NGC 3379,inner,raw,N(k),257,-0.8011395827052311,0.7642519191053685,False,8.367643804884014e-05,-0.80122325914328,,,17210.28806444004,782.2858211109109,17214.859493011467,110.71144568320497,0.9901714253702709,-0.9994716681383945,7.002875093991322,-2.124070844234906,-2.1240708442349066,0.6449419698099984
NGC 3379,inner,winsor_3.0,constant,129,2.3455853433183593,-0.20341550131055686,True,8.367643804884014e-05,2.3455016668803106,27.07417727704253,0.02107692700817917,694.4954728313505,31.56797603778866,699.0669014027791,18.64079170552019,,-0.9565069205553669,0.0020731820259304264,-0.0003767583781718249,-0.0003767583781718248,7.483627622345925e-05
NGC 3379,inner,winsor_3.0,N(k),129,-0.6297212229835863,0.6009204551645044,False,8.367643804884014e-05,-0.6298048994216352,,,17434.13982690795,792.4609012230886,17438.71125547938,109.85838364170695,0.9901715588399175,-0.9994759067506838,4.226154268700283,-1.3001688898672865,-1.300168889867287,0.40041425939627784
NGC 3379,inner,winsor_3.0,constant,257,2.3791935440904113,-0.2034159373203823,True,8.367643804884014e-05,2.3791098676523625,27.058730396139573,0.021076742717801758,694.4841220209521,31.56746009186146,699.0555505923807,18.89082836448701,,-0.9565069982959452,0.002132982758524628,-0.00038215077041345373,-0.00038215077041345394,7.48351838905926e-05
NGC 3379,inner,winsor_3.0,N(k),257,-0.6386468504093593,0.6008911457035914,False,8.367643804884014e-05,-0.6387305268474082,,,17434.153003720967,792.4615001691349,17438.724432292394,111.15509201998937,0.9901714253702709,-0.9994758410892663,4.347579480716848,-1.3186325779992571,-1.3186325779992574,0.4003644152234852
NGC 3379,inner,winsor_3.5,constant,129,2.672046411114188,-0.23277553328674117,True,8.367643804884014e-05,2.671962734676139,26.932690649781016,0.020903236213842786,685.1204676420069,31.141839438273042,689.6918962134355,18.68669454040913,,-0.9566488373467604,0.0026463008131168042,-0.000480544399875412,-0.0004805443998754117,9.535044728710822e-05
NGC 3379,inner,winsor_3.5,N(k),129,-0.7186915763143115,0.6829842027125247,False,8.367643804884014e-05,-0.7187752527523603,,,17666.92527241964,803.0420578372564,17671.49670099107,109.90531755435849,0.9901715588399175,-0.9994763889618407,5.5286844794979615,-1.700958861136947,-1.7009588611369473,0.5238666316096855
NGC 3379,inner,winsor_3.5,constant,257,2.7103323109054855,-0.2327760472636874,True,8.367643804884014e-05,2.710248634467437,26.91724380615681,0.02090308585461305,685.1112923513482,31.141422379606738,689.6827209227768,18.937373385046232,,-0.9566489188711137,0.0027226413575422246,-0.0004874237226056357,-0.00048742372260563555,9.534934566919337e-05
NGC 3379,inner,winsor_3.5,N(k),257,-0.7288871276344562,0.6829534406626794,False,8.367643804884014e-05,-0.728970804072505,,,17666.936763120415,803.042580141837,17671.508191691843,111.20257510426094,0.9901714253702709,-0.9994763235081084,5.687534728509451,-1.7251144589816811,-1.7251144589816807,0.5238015119430305
NGC 3379,inner,winsor_4.0,constant,129,2.8383633897812026,-0.24689798159070117,True,8.367643804884014e-05,2.838279713343154,26.867128659137094,0.02060574782641951,664.2662116557717,30.193918711625987,668.8376402272003,18.66368194881215,,-0.9565741586530837,0.0029016064466039636,-0.0005270818002467331,-0.0005270818002467328,0.00010463578692615353
NGC 3379,inner,winsor_4.0,N(k),129,-0.753292704147932,0.7231308902990831,False,8.367643804884014e-05,-0.7533763805859809,,,17544.874756518555,797.4943071144797,17549.446185089982,109.74134415793036,0.9901715588399175,-0.9994748212339846,6.201090565957485,-1.9078251224349483,-1.907825122434949,0.587577743097367
NGC 3379,inner,winsor_4.0,constant,257,2.879032393354085,-0.24689853966174033,True,8.367643804884014e-05,2.878948716916036,26.85168181984339,0.020605595429593348,664.257012232008,30.193500556000366,668.8284408034366,18.914041216858557,,-0.9565742421657005,0.0029853108193303272,-0.0005346271173818207,-0.0005346271173818204,0.00010463453458245999
NGC 3379,inner,winsor_4.0,N(k),257,-0.7639817826463522,0.7230994558870159,False,8.367643804884014e-05,-0.764065459084401,,,17544.885471620448,797.4947941645659,17549.456900191875,111.03670377839974,0.9901714253702709,-0.9994747559233986,6.37926427376119,-1.9349196365984056,-1.9349196365984052,0.5875050597312226
NGC 3379,outer,raw,constant,129,2.3153461016186996,-0.1727002526764022,True,0.0154165467881636,2.299929554830536,27.095480306609122,0.012090533929380741,628.240834312563,28.556401559661957,632.8122628839916,17.56593193138228,,-0.953305546198812,0.0006559509849577976,-0.00012196168979047164,-0.00012196168979047172,2.495233761334588e-05
NGC 3379,outer,raw,N(k),129,-0.7773807899935192,0.6799108872705278,False,0.0154165467881636,-0.7927973367816828,,,31668.282566155394,1439.4673893706997,31672.853994726822,100.93158568271308,0.9904940539030511,-0.9993597567424863,2.3559673183607655,-0.7114621501216554,-0.7114621501216557,0.21512487236411842
NGC 3379,outer,raw,constant,257,2.3485213671231313,-0.1727007942391832,True,0.0154165467881636,2.3331048203349676,27.079931014466496,0.012089263798152177,628.2278343883445,28.55581065401566,632.799262959773,17.800815863332215,,-0.9533056531596139,0.0006748691419394031,-0.00012370679771864134,-0.00012370679771864137,2.495187707484858e-05
NGC 3379,outer,raw,N(k),257,-0.7884420400198233,0.6798881005640184,False,0.0154165467881636,-0.8038585868079869,,,31668.31889787912,1439.4690408126871,31672.890326450546,102.13273202535736,0.9904937227289391,-0.9993596955029169,2.423731083985108,-0.7215872417344549,-0.7215872417344552,0.21510455090555958
NGC 3379,outer,winsor_3.0,constant,129,2.2669654843269256,-0.17163827010930874,True,0.0154165467881636,2.251548937538762,27.118563164812745,0.01264614568137591,694.1690447766287,31.553138398937666,698.7404733480572,17.6831557508209,,-0.9537280734198024,0.0006877498473864405,-0.0001276313719903255,-0.00012763137199032552,2.603965583537395e-05
NGC 3379,outer,winsor_3.0,N(k),129,-0.8131257574911743,0.6770251655848898,False,0.0154165467881636,-0.828542304279338,,,33170.842167033814,1507.7655530469915,33175.41359560524,101.54097802524758,0.9904940539030511,-0.9993675414181595,2.3495177444987494,-0.709602194092501,-0.7096021940925006,0.2145856570821459
NGC 3379,outer,winsor_3.0,constant,257,2.299447613192799,-0.17163881555120072,True,0.0154165467881636,2.2840310664046353,27.103011625101974,0.012644779595254688,694.153386022992,31.552426637408725,698.7248145944205,17.9196711530993,,-0.9537281823413838,0.0007075838321844523,-0.00012945737219935996,-0.00012945737219935996,2.603912828749679e-05
NGC 3379,outer,winsor_3.0,N(k),257,-0.8246973918567378,0.6770018566188027,False,0.0154165467881636,-0.8401139386449015,,,33170.88162322169,1507.767346510077,33175.45305179312,102.74926560827892,0.9904937227289391,-0.9993674802257712,2.4170934352116036,-0.7197000520310107,-0.7197000520310102,0.21456515903129172
